sample_index,received_timestamp_sec,source_timestamp_sec,Fx,Fy,Fz,user_number,object_diameter_mm,task_performed,trial_number,sensor_number,finger_name,topic,raw_msg_length
,,1781121144.950998068,0.422096098,-0.721216230,-1.223015662,,,,,,,,
,,1781121144.967730999,0.418826263,-0.712792638,-1.220048768,,,,,,,,
,,1781121144.984299421,0.416655591,-0.709727937,-1.217061283,,,,,,,,
,,1781121145.001049995,0.416522208,-0.728334705,-1.229153648,,,,,,,,
,,1781121145.017663240,0.416538382,-0.722116906,-1.225615865,,,,,,,,
,,1781121145.034356117,0.420219726,-0.726608245,-1.211432967,,,,,,,,
,,1781121145.051043987,0.422640438,-0.732526493,-1.216628222,,,,,,,,
,,1781121145.067725182,0.425827080,-0.720588360,-1.215919316,,,,,,,,
,,1781121145.083656311,0.428899286,-0.717110079,-1.219087345,,,,,,,,
,,1781121145.099124193,0.434485095,-0.703207590,-1.211708640,,,,,,,,
,,1781121145.115118027,0.447644845,-0.718400263,-1.216274278,,,,,,,,
,,1781121145.134219885,0.458650083,-0.692336765,-1.209703049,,,,,,,,
,,1781121145.150971889,0.464915573,-0.706860228,-1.215237015,,,,,,,,
,,1781121145.167788982,0.480052105,-0.679348288,-1.223653682,,,,,,,,
,,1781121145.184220791,0.480156279,-0.679301785,-1.230163036,,,,,,,,
,,1781121145.200973511,0.492154392,-0.662660862,-1.217318197,,,,,,,,
,,1781121145.217626095,0.512921313,-0.663004675,-1.223409624,,,,,,,,
,,1781121145.234261751,0.537955719,-0.667927508,-1.205615840,,,,,,,,
,,1781121145.250999212,0.569190521,-0.655471704,-1.189200519,,,,,,,,
,,1781121145.267659903,0.591828314,-0.647336376,-1.189832473,,,,,,,,
,,1781121145.284412384,0.609493145,-0.649281641,-1.154855642,,,,,,,,
,,1781121145.300961733,0.616279993,-0.619922168,-1.142166348,,,,,,,,
,,1781121145.317717314,0.616649763,-0.612031221,-1.139600068,,,,,,,,
,,1781121145.333283186,0.594579733,-0.585754562,-1.122023679,,,,,,,,
,,1781121145.351178408,0.608974720,-0.607326822,-1.116349217,,,,,,,,
,,1781121145.367673159,0.624992952,-0.623330161,-1.099581023,,,,,,,,
,,1781121145.384289026,0.640430772,-0.621621000,-1.096805426,,,,,,,,
,,1781121145.400924206,0.626087364,-0.621470823,-1.121285357,,,,,,,,
,,1781121145.417624712,0.617474331,-0.624233865,-1.129860893,,,,,,,,
,,1781121145.434327841,0.626861212,-0.636304854,-1.150950060,,,,,,,,
,,1781121145.451057196,0.632117078,-0.629964114,-1.132285637,,,,,,,,
,,1781121145.467705727,0.646285145,-0.646885434,-1.137235808,,,,,,,,
,,1781121145.484294415,0.647895641,-0.635734498,-1.118663842,,,,,,,,
,,1781121145.500926018,0.652526753,-0.635663047,-1.142000204,,,,,,,,
,,1781121145.517631769,0.646918850,-0.639641268,-1.133890952,,,,,,,,
,,1781121145.534201384,0.642915685,-0.624673684,-1.126681346,,,,,,,,
,,1781121145.551039219,0.653408447,-0.621416273,-1.136793761,,,,,,,,
,,1781121145.566423893,0.656679866,-0.614329802,-1.142342304,,,,,,,,
,,1781121145.582366228,0.653878473,-0.602535730,-1.122400580,,,,,,,,
,,1781121145.601132870,0.664988630,-0.628878210,-1.135502283,,,,,,,,
,,1781121145.617663622,0.662824274,-0.506501952,-1.271259312,,,,,,,,
,,1781121145.634370327,0.643730082,-0.483125568,-1.221456798,,,,,,,,
,,1781121145.651041508,0.656472486,-0.404241551,-1.281187980,,,,,,,,
,,1781121145.667695999,0.670338969,-0.291614134,-1.292252782,,,,,,,,
,,1781121145.684340954,0.733007521,-0.273465499,-1.317304461,,,,,,,,
,,1781121145.701031685,0.692938529,-0.245968882,-1.306652311,,,,,,,,
,,1781121145.717741966,0.712820333,-0.275244619,-1.283564997,,,,,,,,
,,1781121145.734507561,0.750053019,-0.319857709,-1.269150349,,,,,,,,
,,1781121145.750992298,0.770622842,-0.340785318,-1.219821949,,,,,,,,
,,1781121145.767594099,0.797288017,-0.353568430,-1.212807856,,,,,,,,
,,1781121145.784353971,0.807927650,-0.367104705,-1.204018721,,,,,,,,
,,1781121145.801051140,0.811055717,-0.400624990,-1.207619599,,,,,,,,
,,1781121145.817639112,0.809097347,-0.419632681,-1.184497195,,,,,,,,
,,1781121145.833438158,0.772265226,-0.384192149,-1.198561798,,,,,,,,
,,1781121145.851039410,0.756116548,-0.322026726,-1.212246313,,,,,,,,
,,1781121145.867637396,0.410627895,-0.088752546,-1.285334143,,,,,,,,
,,1781121145.884331226,0.542578998,-0.007861057,-1.255387448,,,,,,,,
,,1781121145.901012421,0.737116315,-0.087778238,-1.211728670,,,,,,,,
,,1781121145.917773485,0.796229301,-0.110206034,-1.177815136,,,,,,,,
,,1781121145.934288263,0.914647072,-0.201433296,-1.138347790,,,,,,,,
,,1781121145.951049328,0.891147625,-0.279928381,-1.109860936,,,,,,,,
