sample_index,received_timestamp_sec,source_timestamp_sec,Fx,Fy,Fz,user_number,object_diameter_mm,task_performed,trial_number,sensor_number,finger_name,topic,raw_msg_length
,,1781121144.935777187,-0.110877389,0.035331849,0.018572567,,,,,,,,
,,1781121144.937443256,-0.110627013,0.038629101,0.018593991,,,,,,,,
,,1781121144.939172268,-0.110550172,0.033464386,0.018548241,,,,,,,,
,,1781121144.940776348,-0.112828830,0.031246618,0.014139415,,,,,,,,
,,1781121144.942442179,-0.115325315,0.025607451,0.011492371,,,,,,,,
,,1781121144.944120646,-0.113247768,0.023013942,0.009009580,,,,,,,,
,,1781121144.945776939,-0.112386378,0.015873285,0.004222672,,,,,,,,
,,1781121144.947454214,-0.115246946,0.023119864,0.007125480,,,,,,,,
,,1781121144.949108601,-0.114800744,0.027083832,0.013003171,,,,,,,,
,,1781121144.950818777,-0.112266748,0.030777334,0.020594659,,,,,,,,
,,1781121144.952444315,-0.112721350,0.035098053,0.024307285,,,,,,,,
,,1781121144.954108715,-0.114765333,0.038368464,0.029235664,,,,,,,,
,,1781121144.955774546,-0.115800494,0.034683614,0.027733990,,,,,,,,
,,1781121144.957445621,-0.120267254,0.032576265,0.024989928,,,,,,,,
,,1781121144.959115028,-0.121662792,0.023749792,0.021737393,,,,,,,,
,,1781121144.960779428,-0.120528395,0.023479156,0.018758384,,,,,,,,
,,1781121144.962455988,-0.119426852,0.023730186,0.019781072,,,,,,,,
,,1781121144.964154005,-0.124489169,0.023298602,0.025104961,,,,,,,,
,,1781121144.965831518,-0.121116545,0.027633604,0.028903688,,,,,,,,
,,1781121144.967442989,-0.127001073,0.036096316,0.037332672,,,,,,,,
,,1781121144.969109535,-0.125661671,0.034561775,0.036841473,,,,,,,,
,,1781121144.970773935,-0.128616020,0.041845653,0.043179593,,,,,,,,
,,1781121144.972518444,-0.125758989,0.038115578,0.040289486,,,,,,,,
,,1781121144.974121809,-0.124644495,0.036011625,0.035678935,,,,,,,,
,,1781121144.975780964,-0.126395966,0.026595734,0.033399552,,,,,,,,
,,1781121144.977444887,-0.126530014,0.026083482,0.025786690,,,,,,,,
,,1781121144.979110241,-0.128886243,0.023227059,0.020664779,,,,,,,,
,,1781121144.980823040,-0.126648057,0.024547810,0.027456913,,,,,,,,
,,1781121144.982449293,-0.123654342,0.036581849,0.033625298,,,,,,,,
,,1781121144.984116554,-0.124819632,0.032704496,0.035562867,,,,,,,,
,,1781121144.985783815,-0.129837394,0.036576424,0.041947744,,,,,,,,
,,1781121144.987496138,-0.124244068,0.039994326,0.041625480,,,,,,,,
,,1781121144.989157200,-0.123504477,0.039855075,0.038725720,,,,,,,,
,,1781121144.990798712,-0.125851875,0.035106378,0.033572144,,,,,,,,
,,1781121144.992458105,-0.126101526,0.031750158,0.031732446,,,,,,,,
,,1781121144.994120836,-0.128711455,0.024558362,0.027416028,,,,,,,,
,,1781121144.995779753,-0.123519417,0.020649651,0.022892285,,,,,,,,
,,1781121144.997502804,-0.123314365,0.027198757,0.028037400,,,,,,,,
,,1781121144.999156713,-0.125974928,0.033369157,0.031825048,,,,,,,,
,,1781121145.000776291,-0.125657280,0.037504817,0.036054054,,,,,,,,
,,1781121145.002444506,-0.128847329,0.035338636,0.041524066,,,,,,,,
,,1781121145.004108906,-0.126599846,0.038659173,0.039923528,,,,,,,,
,,1781121145.005784988,-0.124595339,0.036785361,0.039846616,,,,,,,,
,,1781121145.007447720,-0.131169484,0.034859586,0.035473953,,,,,,,,
,,1781121145.009115934,-0.127211957,0.029740007,0.032132047,,,,,,,,
,,1781121145.010798454,-0.129714049,0.024967986,0.028709260,,,,,,,,
,,1781121145.012449026,-0.125661613,0.022403237,0.024429186,,,,,,,,
,,1781121145.014116287,-0.127413040,0.026484596,0.025277958,,,,,,,,
,,1781121145.015786171,-0.127236662,0.029579507,0.032064752,,,,,,,,
,,1781121145.017445326,-0.129034472,0.036586505,0.033780122,,,,,,,,
,,1781121145.019112587,-0.126614907,0.038501242,0.039764554,,,,,,,,
,,1781121145.020776749,-0.125508366,0.041204554,0.045251994,,,,,,,,
,,1781121145.022445917,-0.128765846,0.038583105,0.039595690,,,,,,,,
,,1781121145.024162292,-0.127069390,0.033743616,0.034509130,,,,,,,,
,,1781121145.025791168,-0.129210208,0.033054181,0.033718732,,,,,,,,
,,1781121145.027447939,-0.126647403,0.022524849,0.025436508,,,,,,,,
,,1781121145.029109240,-0.127936122,0.020627130,0.024151180,,,,,,,,
,,1781121145.030774832,-0.127790269,0.022999997,0.026618279,,,,,,,,
,,1781121145.032441616,-0.129566699,0.031416583,0.030043174,,,,,,,,
,,1781121145.034105301,-0.127097671,0.035213160,0.037742251,,,,,,,,
,,1781121145.035777330,-0.125759550,0.036974118,0.040608709,,,,,,,,
,,1781121145.037443399,-0.125568518,0.041111856,0.043233859,,,,,,,,
,,1781121145.039113760,-0.125983368,0.036300019,0.037973640,,,,,,,,
