sample_index,received_timestamp_sec,source_timestamp_sec,Fx,Fy,Fz,user_number,object_diameter_mm,task_performed,trial_number,sensor_number,finger_name,topic,raw_msg_length
,,1781121144.950998068,0.124506443,-0.023677970,-0.056911820,,,,,,,,
,,1781121144.967730999,0.128968502,-0.018313936,-0.058710994,,,,,,,,
,,1781121144.984299421,0.124241261,-0.023913217,-0.058318712,,,,,,,,
,,1781121145.001049995,0.128488642,-0.019514263,-0.066009603,,,,,,,,
,,1781121145.017663240,0.125035965,-0.018685227,-0.066762830,,,,,,,,
,,1781121145.034356117,0.122746533,-0.019668167,-0.066332018,,,,,,,,
,,1781121145.051043987,0.122413923,-0.020031226,-0.061083580,,,,,,,,
,,1781121145.067725182,0.120146492,-0.016741789,-0.059792840,,,,,,,,
,,1781121145.083656311,0.122442027,-0.019667310,-0.060950944,,,,,,,,
,,1781121145.099124193,0.124192156,-0.023049610,-0.059295162,,,,,,,,
,,1781121145.115118027,0.125209752,-0.024223140,-0.057143562,,,,,,,,
,,1781121145.134219885,0.129873140,-0.022499716,-0.062848659,,,,,,,,
,,1781121145.150971889,0.125378559,-0.018413612,-0.062119267,,,,,,,,
,,1781121145.167788982,0.115517660,-0.018121353,-0.078584778,,,,,,,,
,,1781121145.184220791,0.108299047,-0.026318951,-0.099470402,,,,,,,,
,,1781121145.200973511,0.089882046,-0.035234552,-0.116170952,,,,,,,,
,,1781121145.217626095,0.095253208,-0.038577141,-0.121660313,,,,,,,,
,,1781121145.234261751,0.099123864,-0.034622736,-0.119702666,,,,,,,,
,,1781121145.250999212,0.105222004,-0.026126080,-0.113033635,,,,,,,,
,,1781121145.267659903,0.167160144,-0.048687731,-0.138903450,,,,,,,,
,,1781121145.284412384,0.234434313,-0.071349882,-0.159679542,,,,,,,,
,,1781121145.300961733,0.255363398,-0.091764224,-0.170033214,,,,,,,,
,,1781121145.317717314,0.238995817,-0.111772002,-0.175707861,,,,,,,,
,,1781121145.333283186,0.221497913,-0.115133040,-0.170311834,,,,,,,,
,,1781121145.351178408,0.218371489,-0.092436816,-0.143511978,,,,,,,,
,,1781121145.367673159,0.212301841,-0.059073911,-0.097897185,,,,,,,,
,,1781121145.384289026,0.190907049,-0.045587272,-0.064454116,,,,,,,,
,,1781121145.400924206,0.169497028,-0.046291624,-0.061589896,,,,,,,,
,,1781121145.417624712,0.163529541,-0.040274757,-0.062672990,,,,,,,,
,,1781121145.434327841,0.157059278,-0.035181679,-0.063816643,,,,,,,,
,,1781121145.451057196,0.150445140,-0.033186989,-0.048900576,,,,,,,,
,,1781121145.467705727,0.141320041,-0.024869897,-0.034412898,,,,,,,,
,,1781121145.484294415,0.136865906,-0.021171253,-0.041975204,,,,,,,,
,,1781121145.500926018,0.129977099,-0.021870207,-0.048552574,,,,,,,,
,,1781121145.517631769,0.133385312,-0.032907604,-0.052785154,,,,,,,,
,,1781121145.534201384,0.146582735,-0.047812516,-0.062614411,,,,,,,,
,,1781121145.551039219,0.167737457,-0.058256097,-0.075306913,,,,,,,,
,,1781121145.566423893,0.180239229,-0.060983458,-0.080276436,,,,,,,,
,,1781121145.582366228,0.204679799,-0.076909720,-0.086759354,,,,,,,,
,,1781121145.601132870,0.220092402,-0.083211743,-0.094673728,,,,,,,,
,,1781121145.617663622,0.262292334,-0.066293506,-0.093096343,,,,,,,,
,,1781121145.634370327,0.210282875,-0.087952955,-0.111497356,,,,,,,,
,,1781121145.651041508,0.168354134,-0.137037057,-0.181871059,,,,,,,,
,,1781121145.667695999,0.136362885,-0.212601042,-0.239447044,,,,,,,,
,,1781121145.684340954,0.133214269,-0.232604736,-0.296374955,,,,,,,,
,,1781121145.701031685,0.136979093,-0.227854744,-0.264979682,,,,,,,,
,,1781121145.717741966,0.106025957,-0.218191160,-0.258424566,,,,,,,,
