source_timestamp_sec,Fx,Fy,Fz
1781283323.180493593,0.261087037,-0.374818365,0.114419373
1781283323.181388617,0.249551585,-0.365043897,0.133980407
1781283323.182594776,0.000000000,0.000000000,0.000000000
1781283323.184180737,0.249091670,-0.371427837,0.129214952
1781283323.185936928,0.255960305,-0.375619470,0.116401281
1781283323.192959785,0.256168911,-0.372825505,0.118527379
1781283323.194200754,0.256359247,-0.375418595,0.113722061
1781283323.195947886,0.259479143,-0.379348564,0.110768524
1781283323.197938919,0.252933077,-0.369243811,0.118241190
1781283323.199152470,0.253686614,-0.363250276,0.133252745
1781283323.201467991,0.247141955,-0.361210663,0.125218172
1781283323.205357790,0.257589503,-0.375111830,0.121942589
1781283323.206133604,0.252593401,-0.372424587,0.115921485
1781283323.207561016,0.248240599,-0.372295039,0.118622125
1781283323.210424185,0.252240333,-0.375769121,0.126801873
1781283323.211191893,0.248657301,-0.366096270,0.120067243
1781283323.212494612,0.254007491,-0.371588775,0.121354996
1781283323.217055798,0.248871162,-0.371606313,0.113209851
1781283323.217683077,0.258572771,-0.377215398,0.111687553
1781283323.219258785,0.253229527,-0.375397347,0.114674551
1781283323.220944405,0.241997406,-0.362042201,0.126921197
1781283323.222924948,0.248118139,-0.372669713,0.121849657
1781283323.224131584,0.266032206,-0.384895706,0.116640853
1781283323.230385303,0.253372532,-0.378203386,0.109532499
1781283323.231140852,0.250184971,-0.374617257,0.119043209
1781283323.232574463,0.246512604,-0.371141507,0.121418213
1781283323.235474825,0.238653884,-0.355463730,0.121592039
1781283323.236242771,0.251049660,-0.371086967,0.122402827
1781283323.237461329,0.251619396,-0.373702092,0.117643276
1781283323.242824793,0.257677032,-0.381545118,0.107859070
1781283323.244266510,0.240703003,-0.363515529,0.121219046
1781283323.245986462,0.241936038,-0.365802504,0.127600170
1781283323.247949600,0.240215612,-0.366534387,0.118846559
1781283323.249216795,0.263527215,-0.383978252,0.108286091
1781283323.255339146,0.257385258,-0.379207124,0.109233271
1781283323.256114721,0.240637551,-0.360244878,0.113568173
1781283323.257564545,0.245800030,-0.363369580,0.119343289
1781283323.260371447,0.243385156,-0.364783745,0.119569826
1781283323.261001825,0.000000000,0.000000000,0.000000000
1781283323.263422251,0.245377109,-0.369571437,0.121497216
1781283323.264193296,0.255199945,-0.380500404,0.113253921
1781283323.267918587,0.259573515,-0.383762064,0.108175320
1781283323.269173861,0.247966375,-0.362191106,0.115727663
1781283323.270990610,0.242279261,-0.374707832,0.121912448
1781283323.272939444,0.253985981,-0.375935446,0.115094890
1781283323.274138451,0.251738605,-0.377504109,0.115477242
1781283323.278580904,0.256906499,-0.385676656,0.108034526
1781283323.279135227,0.000000000,0.000000000,0.000000000
1781283323.280907154,0.247774910,-0.373978679,0.111202817
1781283323.282627583,0.246164039,-0.369530264,0.122655517
1781283323.284184694,0.249695165,-0.384460844,0.115798365
1781283323.285887718,0.255753490,-0.386527852,0.116816208
1781283323.292912006,0.250781075,-0.380863850,0.112976025
1781283323.294192791,0.242057173,-0.366295651,0.118396517
1781283323.295952320,0.239904882,-0.361765141,0.116250833
1781283323.297953606,0.245066205,-0.372755745,0.113475747
1781283323.299173117,0.252558871,-0.374169482,0.116526420
1781283323.305314302,0.247670789,-0.382501121,0.106564889
1781283323.306084871,0.236471075,-0.369436029,0.114930227
1781283323.307489157,0.233725969,-0.368441692,0.119900857
1781283323.310045958,0.251837659,-0.371972281,0.121004960
1781283323.310986757,0.259959318,-0.375624464,0.119540730
1781283323.312598705,0.253292654,-0.373792900,0.111547370
1781283323.317951918,0.253860283,-0.376295216,0.107065125
1781283323.319169283,0.246291899,-0.378325759,0.122227819
1781283323.320991755,0.261479550,-0.380597996,0.114736799
1781283323.322966099,0.253445047,-0.385285203,0.107489808
1781283323.324198008,0.250618600,-0.381400051,0.114571682
1781283323.326083899,0.240897981,-0.372589674,0.111459792
1781283323.330343723,0.245488785,-0.367158855,0.119333063
1781283323.331111908,0.250417453,-0.387025625,0.110351284
1781283323.332487106,0.249369482,-0.378694876,0.105424048
1781283323.335422993,0.250658679,-0.378078377,0.107370486
1781283323.336168289,0.247611960,-0.371521531,0.112235275
1781283323.337479830,0.239943736,-0.364424210,0.113387126
1781283323.341523647,0.245564727,-0.367060531,0.116953986
1781283323.342905760,0.249034483,-0.367729838,0.116271277
1781283323.344342947,0.251977740,-0.380281782,0.107346003
1781283323.345890284,0.255697027,-0.380620722,0.104293227
1781283323.347938776,0.246393985,-0.375118112,0.112725989
1781283323.349152088,0.248488416,-0.379918324,0.114933009
1781283323.355369568,0.242408537,-0.366013875,0.115347479
1781283323.356020212,0.000000000,0.000000000,0.000000000
1781283323.357603788,0.250135320,-0.378631944,0.107762108
1781283323.359175444,0.238609297,-0.365503015,0.116131925
1781283323.360900402,0.239934014,-0.364703566,0.118068522
1781283323.367899895,0.237505893,-0.374791051,0.119065485
1781283323.369357824,0.248812081,-0.382187597,0.108121688
1781283323.370957136,0.245617357,-0.378858757,0.117666087
1781283323.372950792,0.242699423,-0.368525327,0.115300415
1781283323.374163628,0.239762330,-0.370402926,0.118299783
1781283323.380357981,0.253223673,-0.388233242,0.105359624
1781283323.381119728,0.248456326,-0.374344201,0.123701596
1781283323.382539988,0.241846235,-0.375264195,0.120569808
1781283323.385468483,0.251056448,-0.381008763,0.119042795
1781283323.386234999,0.247126076,-0.388849687,0.106651328
1781283323.387546778,0.242332289,-0.368570513,0.106561712
1781283323.392922401,0.244513147,-0.379157094,0.111316634
1781283323.394157410,0.240891521,-0.375517239,0.120954625
1781283323.395976782,0.249579727,-0.381819031,0.115179696
1781283323.397888422,0.250441747,-0.383789179,0.108190031
1781283323.399333000,0.245428120,-0.369903645,0.113162947
1781283323.403577328,0.236845753,-0.366722776,0.123843507
1781283323.404220343,0.243148479,-0.379800433,0.114173965
1781283323.405804873,0.240517242,-0.387023479,0.110542367
1781283323.407582998,0.252638407,-0.382944553,0.114781103
1781283323.410422087,0.237892064,-0.380185470,0.112991238
1781283323.411188364,0.235190805,-0.364193501,0.114778303
1781283323.412503958,0.238629506,-0.376954890,0.119490715
1781283323.417869568,0.231870935,-0.366383207,0.120178576
1781283323.419345379,0.247674873,-0.391592417,0.111658417
1781283323.420863628,0.252948009,-0.391097530,0.110454100
1781283323.422956228,0.248039937,-0.385204472,0.106513398
1781283323.424186707,0.235755269,-0.369432830,0.105826949
1781283323.430318594,0.235872253,-0.367216067,0.123950912
1781283323.431087732,0.249211403,-0.375971405,0.110428042
