source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1782842049.198247433,0.038278090,-0.022647148,-0.024643585,-0.201912475,-0.250124889,-0.088601772
1782842049.199907541,0.034115531,-0.023806893,-0.023560496,-0.202802923,-0.220859058,-0.065138141
1782842049.201575041,0.037295726,-0.021903012,-0.023497336,-0.184208301,-0.228548914,-0.079172795
1782842049.203245401,0.037297672,-0.019364075,-0.023547056,-0.168604351,-0.228276047,-0.069385152
1782842049.204949617,0.035148010,-0.026999369,-0.022345327,-0.222250401,-0.235320439,-0.070534154
1782842049.206583977,0.034119436,-0.026290994,-0.024700660,-0.218120821,-0.213377717,-0.074778684
1782842049.208281994,0.035204707,-0.023225951,-0.024743785,-0.192454508,-0.231307804,-0.069623003
1782842049.209907770,0.036266760,-0.021350087,-0.025867723,-0.180896631,-0.229854586,-0.083371978
1782842049.211712360,0.035186208,-0.023120686,-0.022418989,-0.191822111,-0.223497031,-0.055850448
1782842049.213276863,0.034184489,-0.020027096,-0.021183279,-0.166311001,-0.213201847,-0.064858518
1782842049.214906216,0.035223794,-0.021895266,-0.021182909,-0.177670439,-0.219772222,-0.065213602
1782842049.216577530,0.035270932,-0.022140771,-0.022331910,-0.172385902,-0.247169452,-0.079083911
1782842049.218277693,0.036294460,-0.021375771,-0.025951941,-0.174305573,-0.241617714,-0.069212279
1782842049.219907761,0.036196086,-0.025004296,-0.023609477,-0.209917849,-0.233726941,-0.056060666
1782842049.221578360,0.035166854,-0.020771234,-0.022329472,-0.184015189,-0.234778188,-0.074287502
1782842049.223283768,0.037252288,-0.023183268,-0.023543532,-0.198646025,-0.240027931,-0.069956741
1782842049.224908113,0.036204246,-0.023794316,-0.023564256,-0.202502478,-0.233661666,-0.065278955
1782842049.226626396,0.036153159,-0.022615445,-0.025900730,-0.208561003,-0.240912972,-0.074205751
1782842049.228245258,0.035255517,-0.020891395,-0.024667429,-0.171420778,-0.243009504,-0.088010234
1782842049.229962111,0.036252749,-0.022614903,-0.024723061,-0.188598055,-0.237674068,-0.074300790
1782842049.231584549,0.034133402,-0.018848226,-0.023519781,-0.172369685,-0.220453239,-0.073785311
1782842049.233305454,0.034145930,-0.022521985,-0.022394498,-0.188264648,-0.217063089,-0.060389185
1782842049.234909534,0.035246384,-0.023370844,-0.024687791,-0.186638125,-0.243211212,-0.083685767
1782842049.236536264,0.037321236,-0.019570182,-0.027076854,-0.169770048,-0.251578239,-0.082963489
1782842049.238287687,0.036196596,-0.021335190,-0.025854562,-0.194123438,-0.229434042,-0.083421802
1782842049.239935875,0.034199315,-0.022712424,-0.024733374,-0.182692603,-0.236708514,-0.074114159
1782842049.241578579,0.037200236,-0.023107155,-0.019944607,-0.204890891,-0.228208142,-0.070490989
1782842049.243243694,0.035182072,-0.023301109,-0.025864569,-0.199578866,-0.235036095,-0.083588483
1782842049.244908810,0.036245691,-0.018875048,-0.021142743,-0.165619005,-0.237350886,-0.074218097
1782842049.246574402,0.034103012,-0.019966423,-0.018775212,-0.179292168,-0.205041593,-0.065247901
1782842049.248242855,0.036145952,-0.023928491,-0.018790474,-0.209851167,-0.252844941,-0.065914959
1782842049.249907970,0.037205115,-0.024321787,-0.021109630,-0.212406815,-0.220590368,-0.075237710
1782842049.251574755,0.037281714,-0.023167828,-0.022352674,-0.191909725,-0.236368396,-0.070101606
1782842049.253288031,0.037189115,-0.022102810,-0.017604727,-0.198478791,-0.266828980,-0.065846024
1782842049.254910946,0.038343410,-0.020063389,-0.024776541,-0.172693660,-0.250203810,-0.064653961
1782842049.256578922,0.036259935,-0.022674391,-0.024652980,-0.188984658,-0.237745227,-0.088412900
1782842049.258242130,0.035206619,-0.022071039,-0.023508631,-0.185326657,-0.238994700,-0.078986634
1782842049.259910107,0.037279768,-0.025706765,-0.022302954,-0.207513675,-0.236641263,-0.079889249
1782842049.261658192,0.035074331,-0.024344921,-0.021176919,-0.219341553,-0.219132745,-0.060988787
1782842049.263310194,0.038217913,-0.022396992,-0.022374699,-0.207096628,-0.230410977,-0.060766465
1782842049.264952898,0.035107029,-0.022071582,-0.024686300,-0.205289605,-0.242233604,-0.078891596
1782842049.266640902,0.037202183,-0.020568218,-0.019994327,-0.189286941,-0.227935275,-0.060703347
1782842049.268294334,0.037258847,-0.018178825,-0.021107940,-0.167966994,-0.231882499,-0.078943465
1782842049.269929409,0.035157292,-0.019467020,-0.025854931,-0.182764000,-0.222863667,-0.083066718
1782842049.271580458,0.035154603,-0.020610901,-0.021194608,-0.183095271,-0.219215244,-0.060369604
1782842049.273283720,0.037287566,-0.023112993,-0.023542558,-0.191623673,-0.228614188,-0.069954506
1782842049.274911880,0.036246897,-0.022669741,-0.023533122,-0.188884120,-0.245428641,-0.074447897
1782842049.276584864,0.036237531,-0.020085028,-0.021187965,-0.173034377,-0.237416161,-0.064999809
1782842049.278259516,0.035185550,-0.019596000,-0.018783651,-0.170049031,-0.246491000,-0.069832754
