source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1782842096.178605318,0.079975540,-0.081102434,-0.016313194,-1.398777228,-1.529299226,-0.060368922
1782842096.179584503,0.086563540,-0.081235700,-0.023787066,-1.397304421,-1.568618627,-0.088929725
1782842096.181388617,0.085718711,-0.079403752,-0.016461357,-1.400736803,-1.564451249,-0.044898208
1782842096.182997942,0.086739518,-0.078736407,-0.022533511,-1.410384172,-1.601476502,-0.079303011
1782842096.190265417,0.082371649,-0.081306476,-0.013722596,-1.448988844,-1.547377674,-0.074649850
1782842096.191381454,0.077664062,-0.082320216,-0.017332449,-1.428187934,-1.518209259,-0.094921371
1782842096.192935944,0.083353138,-0.080536273,-0.022528244,-1.421937742,-1.532168703,-0.079442562
1782842096.194701195,0.085629299,-0.079365933,-0.017626651,-1.393583528,-1.567725753,-0.059578290
1782842096.196398020,0.087872765,-0.080729397,-0.022583785,-1.429114444,-1.596491956,-0.079162021
1782842096.202712536,0.086922898,-0.082828918,-0.012509657,-1.478367136,-1.595721187,-0.079135285
1782842096.203600645,0.085473847,-0.077979501,-0.021231205,-1.371060236,-1.565988671,-0.083966147
1782842096.204701662,0.086883998,-0.078822275,-0.016434338,-1.410988348,-1.571219848,-0.049585506
1782842096.206249475,0.088098604,-0.080919203,-0.011431497,-1.445130988,-1.599617500,-0.049565152
1782842096.208055496,0.079031741,-0.080465093,-0.021277246,-1.450934900,-1.537651947,-0.065708887
1782842096.215196133,0.078873839,-0.080409240,-0.019933804,-1.422782492,-1.521020348,-0.080106979
1782842096.216301918,0.083507832,-0.089731165,-0.016703004,-1.477985363,-1.576670819,-0.026564693
1782842096.218096018,0.084375702,-0.070912545,-0.015711496,-1.364779821,-1.553369692,-0.137060801
1782842096.220330715,0.091353730,-0.080279717,-0.015326921,-1.404630503,-1.607787380,-0.039334920
1782842096.221410036,0.080859031,-0.076218122,-0.013397244,-1.430942130,-1.595956776,0.090402448
1782842096.224806070,0.074411594,-0.072401000,-0.017537806,-1.318598680,-1.437476325,-0.035815094
1782842096.227752209,0.079104744,-0.083061952,-0.013122111,-1.389077412,-1.514129542,0.027247077
1782842096.228615999,0.083238876,-0.081864843,-0.022208520,-1.452098585,-1.591433690,-0.128754577
1782842096.229733229,0.078735144,-0.079229045,-0.014219197,-1.466879496,-1.563061582,-0.177647537
1782842096.231280088,0.081855879,-0.084964640,-0.020877579,-1.429309268,-1.543620393,-0.148138651
1782842096.233029842,0.083468979,-0.088371708,-0.024076146,-1.490351893,-1.586565166,-0.051216099
1782842096.240064144,0.086099833,-0.085956885,-0.020926791,-1.467048362,-1.592205484,0.046850473
1782842096.241408587,0.083375343,-0.080510323,-0.019137881,-1.365286533,-1.534721639,-0.020853875
1782842096.242947102,0.089939810,-0.080784180,-0.019912335,-1.408494419,-1.613759862,-0.108000808
1782842096.245336533,0.086568945,-0.081300880,-0.022321650,-1.426495954,-1.600331860,-0.118401460
1782842096.246428013,0.087749441,-0.083398623,-0.013558451,-1.446726042,-1.580699333,-0.117808060
1782842096.252777338,0.081291648,-0.080605716,-0.013855546,-1.430681408,-1.541181396,-0.050413327
1782842096.253633261,0.083431616,-0.079273974,-0.018949175,-1.393253747,-1.546015866,-0.045250136
1782842096.254743099,0.083103287,-0.077887779,-0.018495988,-1.364661135,-1.531179641,-0.113207390
1782842096.256283283,0.084611716,-0.077466207,-0.016211003,-1.417886152,-1.580684738,-0.074379952
1782842096.258068323,0.083438313,-0.081940159,-0.021135043,-1.473303401,-1.588742925,-0.099479137
1782842096.265254259,0.079212944,-0.083134491,-0.017853173,-1.466888606,-1.540341121,-0.017046683
1782842096.266351223,0.083756167,-0.079360667,-0.015823290,-1.371974916,-1.586775469,0.056805753
1782842096.267919779,0.084893610,-0.078749374,-0.020643823,-1.409896314,-1.583600431,0.022785797
1782842096.270317554,0.086951172,-0.080066106,-0.024157475,-1.424620908,-1.607397614,-0.025913299
1782842096.271432400,0.084528733,-0.081312680,-0.019950953,-1.448123145,-1.592066917,-0.089458229
1782842096.277768850,0.087807156,-0.082077601,-0.018601004,-1.452211674,-1.596120887,-0.113193093
1782842096.278763533,0.083710195,-0.078029671,-0.019341519,-1.391759826,-1.536036384,0.018216451
1782842096.279672384,0.083827522,-0.074172968,-0.019370155,-1.375225207,-1.548361850,0.032937388
1782842096.281287670,0.085936276,-0.080780248,-0.016717203,-1.429826562,-1.602555931,-0.006366124
1782842096.282993555,0.082465406,-0.076054335,-0.018907535,-1.401993542,-1.539026180,-0.040362217
1782842096.286830425,0.076759622,-0.083023949,-0.015020656,-1.453640566,-1.517137970,-0.060995824
1782842096.290247679,0.077825315,-0.084932616,-0.017696157,-1.443228631,-1.495904311,-0.046175722
1782842096.291384697,0.083576293,-0.079321350,-0.017878438,-1.400263538,-1.543268399,-0.015965321
1782842096.292953730,0.082436902,-0.077290978,-0.019188055,-1.366890420,-1.540391908,-0.001464389
1782842096.295329571,0.083683781,-0.076804025,-0.014116147,-1.392344155,-1.556220172,-0.006056617
1782842096.296431780,0.082572603,-0.081326642,-0.012941012,-1.427178131,-1.546097920,-0.001532089
1782842096.301874161,0.082476541,-0.081269823,-0.015368899,-1.419720520,-1.541041050,-0.016184356
1782842096.302987814,0.083659328,-0.079331201,-0.018064809,-1.392984146,-1.556455391,0.013140978
1782842096.304949999,0.086907532,-0.078681684,-0.023133756,-1.366307655,-1.531501027,0.009000624
1782842096.306330681,0.086790315,-0.081359216,-0.017768739,-1.405177892,-1.575401161,-0.044935734
1782842096.308007479,0.086746710,-0.078766101,-0.016348006,-1.389734205,-1.558446492,-0.064068323
1782842096.315181494,0.084467347,-0.077438939,-0.012350601,-1.390132237,-1.556393354,-0.088617969
1782842096.316289663,0.080256656,-0.082412953,-0.020559645,-1.419254231,-1.506951711,0.007784319
1782842096.317929506,0.076831561,-0.079056528,-0.014203312,-1.365230685,-1.466651857,0.012810218
1782842096.320333004,0.081324356,-0.079183068,-0.019301001,-1.371400222,-1.521972147,0.012986314
1782842096.321454525,0.081206942,-0.079154369,-0.020366254,-1.371593033,-1.536909231,-0.016411041
1782842096.327765703,0.084496127,-0.077402466,-0.012637010,-1.354319310,-1.569993982,-0.044888189
1782842096.328641653,0.076811931,-0.081637746,-0.021528625,-1.429934664,-1.500846290,-0.026909121
1782842096.329744101,0.076741043,-0.086806616,-0.017998215,-1.426264016,-1.490614842,-0.002609345
1782842096.331333160,0.080173464,-0.082442040,-0.015425681,-1.406209855,-1.515370935,-0.006706595
1782842096.333032846,0.085775995,-0.078130636,-0.016467247,-1.400026998,-1.576686149,-0.040066256
1782842096.340229273,0.085823169,-0.078205867,-0.012593138,-1.422060760,-1.564754485,-0.054444937
1782842096.341349125,0.078950655,-0.083096908,-0.014960726,-1.453666011,-1.530516483,-0.075296163
1782842096.342899561,0.081184666,-0.083104658,-0.017715135,-1.424262281,-1.528699961,-0.045707925
1782842096.345337868,0.079094976,-0.080476990,-0.015372666,-1.401674608,-1.520412182,-0.006856959
1782842096.346416712,0.080139317,-0.082413777,-0.016685532,-1.398913096,-1.519172477,-0.006781945
1782842096.348415852,0.084630239,-0.079928174,-0.022974004,-1.389096968,-1.565724922,-0.011293780
1782842096.352879763,0.081327888,-0.076636106,-0.019026368,-1.384606090,-1.544917535,-0.021173353
1782842096.354598522,0.082344583,-0.081249307,-0.018756517,-1.448191857,-1.562697245,-0.074970000
1782842096.356276989,0.078976551,-0.080485059,-0.016243323,-1.430544438,-1.534408592,-0.065482528
1782842096.357902765,0.077821190,-0.083612560,-0.018967381,-1.428019465,-1.499751137,-0.041306579
1782842096.359579325,0.078968818,-0.081682442,-0.022728545,-1.422663350,-1.518026346,-0.041284810
1782842096.363852262,0.085733180,-0.079366047,-0.019078358,-1.392992224,-1.560448455,-0.030341010
1782842096.364677429,0.083543154,-0.078047182,-0.018855026,-1.421077477,-1.557837130,-0.055041665
1782842096.366238117,0.081334748,-0.083217215,-0.015178982,-1.460463605,-1.557665728,-0.045894845
1782842096.368082762,0.083533601,-0.083233469,-0.018998646,-1.452440135,-1.558710073,-0.045610171
1782842096.370344877,0.078985738,-0.083058881,-0.018834836,-1.452819698,-1.530371932,-0.060823690
1782842096.371224165,0.079960146,-0.082317585,-0.023866414,-1.419268823,-1.503644932,-0.065371602
1782842096.377754688,0.080012677,-0.079810811,-0.015078428,-1.390748800,-1.489030816,-0.055020833
1782842096.378631830,0.085746836,-0.082071340,-0.015070494,-1.452602089,-1.584468038,-0.069551030
1782842096.379576445,0.079000784,-0.081823176,-0.016131911,-1.466990380,-1.533949673,-0.085050502
1782842096.381386042,0.081116013,-0.079171700,-0.021239654,-1.407455287,-1.538772724,-0.074933444
1782842096.383060694,0.084558201,-0.077392085,-0.016416566,-1.374803929,-1.557246178,-0.044926657
1782842096.390128374,0.087970723,-0.076826835,-0.021558135,-1.376794362,-1.581577320,-0.034912439
1782842096.391244411,0.078936186,-0.083134613,-0.012343725,-1.461410591,-1.534519278,-0.089853360
1782842096.392897129,0.079772567,-0.082364941,-0.017183445,-1.421154261,-1.518871118,-0.123713902
1782842096.395226717,0.078565327,-0.086830739,-0.018436197,-1.448530626,-1.503691996,-0.133841641
1782842096.396321535,0.079871659,-0.081102319,-0.014861486,-1.399368532,-1.536576524,-0.089606201
1782842096.402801514,0.082184883,-0.078610834,-0.013664493,-1.383519837,-1.534581483,-0.079224933
1782842096.403653622,0.082271228,-0.079939015,-0.017413480,-1.426532245,-1.570490163,-0.084648680
1782842096.404768705,0.081126642,-0.084405572,-0.017603721,-1.439520774,-1.540317257,-0.065369689
1782842096.406313181,0.079941160,-0.081083585,-0.017564817,-1.391690647,-1.557423301,-0.060659978
1782842096.408058882,0.083274355,-0.085732325,-0.020057604,-1.446849955,-1.536987739,-0.084558890
1782842096.415229321,0.085597911,-0.078027200,-0.018903359,-1.371171760,-1.559382961,-0.054596608
1782842096.416355848,0.085748855,-0.080788667,-0.014981827,-1.452035769,-1.596175901,-0.079323810
1782842096.417922497,0.082387473,-0.080043418,-0.011206039,-1.434692686,-1.576218622,-0.069864154
1782842096.420306683,0.080118972,-0.081195991,-0.015039634,-1.434674216,-1.549933619,-0.060528027
1782842096.421389103,0.080083471,-0.082393081,-0.021433043,-1.433929036,-1.520891419,-0.050831875
1782842096.424820185,0.079030954,-0.077845705,-0.017723259,-1.385738270,-1.527108457,-0.026337514
1782842096.427756548,0.084726016,-0.076138083,-0.016611570,-1.373807156,-1.570535154,-0.010885241
1782842096.428631544,0.084708568,-0.081351552,-0.017814961,-1.433752676,-1.586458583,-0.030869850
1782842096.429733038,0.082392768,-0.081287770,-0.015077004,-1.441548600,-1.551706254,-0.060120468
1782842096.431284428,0.083602545,-0.079376795,-0.017678359,-1.436143159,-1.554517343,-0.045306075
1782842096.433047771,0.076788042,-0.079111043,-0.016311884,-1.415614163,-1.533208277,-0.046340862
1782842096.439809084,0.077834489,-0.083650559,-0.016442193,-1.428628137,-1.516413885,-0.041362210
1782842096.441313744,0.089151416,-0.078886086,-0.017823372,-1.403430065,-1.589453980,-0.034751730
1782842096.443099737,0.085862649,-0.079478926,-0.015285096,-1.422295282,-1.585555979,-0.030443206
1782842096.445319891,0.081314786,-0.079304337,-0.015121286,-1.422674844,-1.557217838,-0.045656725
1782842096.446415901,0.082470974,-0.080034440,-0.011408864,-1.426992937,-1.540760547,-0.040326443
1782842096.452783108,0.078883101,-0.083012585,-0.017585952,-1.424523805,-1.514267371,-0.060617050
1782842096.453671694,0.086947787,-0.081462975,-0.014075518,-1.427134864,-1.588846107,-0.030320657
1782842096.454556227,0.084776861,-0.081408077,-0.015295260,-1.448346194,-1.578855499,-0.030719150
1782842096.456392288,0.075681082,-0.074457853,-0.022500026,-1.393875907,-1.496156182,-0.051067897
1782842096.458039284,0.076767788,-0.082987798,-0.014049956,-1.410929373,-1.526880355,-0.017181319
1782842096.465318918,0.080128234,-0.081054613,-0.024150488,-1.404143718,-1.541726779,-0.016931785
1782842096.466279507,0.085841099,-0.076800815,-0.020352731,-1.391268278,-1.576586881,-0.020649291
1782842096.467893600,0.084716103,-0.077447938,-0.017760008,-1.402956338,-1.573877777,-0.030528565
1782842096.470341444,0.081359992,-0.084518565,-0.015262166,-1.468232528,-1.558147483,-0.036234605
1782842096.471290112,0.083595737,-0.079396732,-0.013993360,-1.415515055,-1.567792185,-0.030662875
1782842096.477770090,0.077829353,-0.082367270,-0.017518822,-1.442095990,-1.519320036,-0.065721282
1782842096.478671312,0.084696500,-0.077411493,-0.016697494,-1.367381053,-1.570960208,-0.001215626
1782842096.479545593,0.085845497,-0.078111902,-0.019170577,-1.392349113,-1.597532927,-0.011120032
1782842096.481336594,0.084796194,-0.082662630,-0.016746562,-1.441262093,-1.547153683,-0.006201282
1782842096.483064651,0.084855573,-0.080136364,-0.011724418,-1.419452021,-1.568380129,0.003688982
1782842096.486095190,0.079236390,-0.081853221,-0.014187774,-1.438137917,-1.529338713,0.002756716
1782842096.487159967,0.078007169,-0.083688814,-0.015471498,-1.428291842,-1.502003839,0.002639877
1782842096.488018751,0.083488126,-0.079237350,-0.019246555,-1.364223065,-1.523161044,-0.001201484
1782842096.490292788,0.085791709,-0.078046750,-0.019287070,-1.363395221,-1.549301496,0.003934862
1782842096.491327286,0.083733910,-0.075530293,-0.015287333,-1.405668524,-1.559653361,-0.015810956
1782842096.493044138,0.083691811,-0.083309430,-0.015410949,-1.459848419,-1.548302822,-0.016165281
1782842096.495359182,0.082383720,-0.086455674,-0.015317922,-1.458572749,-1.553049535,-0.036074866
1782842096.496238708,0.082485961,-0.083834231,-0.017968640,-1.441785601,-1.512681857,-0.011309812
1782842096.501893759,0.078975702,-0.081692028,-0.021474179,-1.422757508,-1.502035187,-0.041096920
1782842096.502953291,0.081313779,-0.080550243,-0.015404549,-1.394564146,-1.546450650,-0.006655731
1782842096.505016804,0.083664460,-0.079405351,-0.016510322,-1.436304010,-1.563375755,-0.030729159
1782842096.506388664,0.076804112,-0.081694450,-0.017649031,-1.437983580,-1.513180459,-0.041494134
1782842096.508029222,0.085659554,-0.078064725,-0.017646251,-1.385460943,-1.543448503,-0.054418092
1782842096.515243292,0.081007790,-0.085670685,-0.013915573,-1.405407450,-1.541300498,-0.055549066
1782842096.516356230,0.083604185,-0.081998352,-0.016479348,-1.452339002,-1.587607722,-0.040833849
1782842096.517975807,0.082380246,-0.081222418,-0.017788559,-1.412473088,-1.560306713,-0.031052329
1782842096.520376682,0.081140606,-0.084386250,-0.020123424,-1.446114704,-1.535844126,-0.065426599
1782842096.521259308,0.081092875,-0.080473079,-0.019973914,-1.415461851,-1.522736282,-0.079690046
1782842096.527679443,0.083355737,-0.079264740,-0.017597508,-1.386498965,-1.541630585,-0.059770143
1782842096.528560638,0.076721496,-0.077780814,-0.018653846,-1.414582655,-1.527726353,-0.070662744
1782842096.529664993,0.079723805,-0.083524477,-0.026182885,-1.405882257,-1.522281574,-0.099779425
1782842096.531237602,0.085627280,-0.080648606,-0.017715318,-1.394149849,-1.556017891,-0.049805510
1782842096.533209562,0.083670605,-0.082187457,-0.003691725,-1.483218666,-1.572690656,-0.069477394
1782842096.534764290,0.083581338,-0.075510099,-0.017417840,-1.427241595,-1.577451312,-0.074511875
1782842096.540300608,0.081348699,-0.079342014,-0.013853208,-1.430181782,-1.577738830,-0.045797081
1782842096.541425705,0.083391536,-0.085770439,-0.018984124,-1.446867322,-1.546373189,-0.055377241
1782842096.542996407,0.084643266,-0.079975142,-0.020359747,-1.403833970,-1.557594800,-0.025747812
1782842096.545327425,0.083548797,-0.079312087,-0.017875695,-1.393271114,-1.555401316,-0.016068487
1782842096.546421766,0.085919282,-0.082119009,-0.014091571,-1.452475972,-1.594380526,-0.025764649
1782842096.552766323,0.087050802,-0.077605040,-0.016434746,-1.438668593,-1.583568151,-0.044772303
1782842096.553622484,0.078681140,-0.084238325,-0.018650799,-1.418223819,-1.504779937,-0.094733817
1782842096.554757833,0.082225027,-0.079826573,-0.021401341,-1.389739617,-1.534247097,-0.055224480
1782842096.556314468,0.085748227,-0.078130342,-0.016375433,-1.407162906,-1.564026195,-0.054567822
1782842096.558095455,0.084662205,-0.080068907,-0.016377370,-1.433423997,-1.581648248,-0.055059472
1782842096.562321901,0.084593924,-0.083868262,-0.022742548,-1.455706232,-1.564705100,-0.055364846
1782842096.563238621,0.077806720,-0.083650265,-0.016350380,-1.435764045,-1.503753931,-0.055863777
1782842096.565185308,0.082355077,-0.079950591,-0.012766010,-1.384170219,-1.557108641,-0.025881477
1782842096.566298008,0.080012875,-0.079772319,-0.020106864,-1.397154415,-1.516540004,-0.055453523
1782842096.568074226,0.084586128,-0.077353442,-0.021455973,-1.387991790,-1.548299916,-0.045040476
1782842096.570276737,0.087893959,-0.080740214,-0.018998827,-1.401140254,-1.598104219,-0.049801548
1782842096.571368694,0.089013389,-0.078857709,-0.017631514,-1.396724610,-1.600532820,-0.064064360
1782842096.577687025,0.084639067,-0.081370286,-0.015111630,-1.441430561,-1.565611806,-0.059816074
1782842096.578608751,0.083275512,-0.081800742,-0.021354315,-1.401620950,-1.540868430,-0.069791388
1782842096.579724073,0.087959012,-0.075554069,-0.018957991,-1.369423933,-1.573435780,-0.044412604
1782842096.581281185,0.085700547,-0.078073495,-0.020152243,-1.399467653,-1.575487523,-0.054803247
1782842096.583051443,0.084687018,-0.081418164,-0.011423890,-1.434997483,-1.578943349,-0.045182248
1782842096.590167999,0.082529859,-0.081382437,-0.010134900,-1.456397128,-1.536970423,-0.045204960
1782842096.591294050,0.081036097,-0.081727812,-0.020065323,-1.401833146,-1.510971719,-0.069907891
1782842096.593090534,0.084381914,-0.079871269,-0.022601261,-1.382468303,-1.551427153,-0.069600169
1782842096.595262289,0.083351537,-0.077915161,-0.023808098,-1.391823746,-1.548193727,-0.069732093
1782842096.596403599,0.086699967,-0.081387687,-0.013800072,-1.406167690,-1.575018675,-0.074012939
1782842096.602715015,0.085825694,-0.076904810,-0.012601768,-1.407155930,-1.576932684,-0.049603610
1782842096.603591919,0.083414033,-0.077954856,-0.017797993,-1.357112141,-1.554806159,-0.025709978
1782842096.604710340,0.084648118,-0.077411521,-0.015348571,-1.367618695,-1.554442011,-0.015632468
1782842096.606260300,0.087030694,-0.077586979,-0.015274934,-1.417431818,-1.580180245,-0.030073471
1782842096.608092308,0.085885136,-0.082090747,-0.015351422,-1.445179213,-1.598182068,-0.025839999
1782842096.610080719,0.081273769,-0.083122369,-0.021480980,-1.452159681,-1.552464307,-0.046074639
