source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1782841716.710049152,-0.098313928,0.119314368,-0.019844724,0.628864335,0.547962799,-0.048905798
1782841716.711709738,-0.095432275,0.123881145,-0.018728881,0.610644136,0.534613791,-0.025276754
1782841716.713402510,-0.099352651,0.122296554,-0.019884952,0.647207824,0.531420847,-0.043611553
1782841716.715091944,-0.096181851,0.125245906,-0.016206864,0.672359648,0.500533277,-0.067305803
1782841716.716711044,-0.095271535,0.124900998,-0.019844847,0.643593204,0.518275033,-0.048313293
1782841716.718338490,-0.095299396,0.127435756,-0.015189940,0.659258889,0.510847489,-0.025049067
1782841716.720041990,-0.099438621,0.123405380,-0.022222421,0.634128244,0.512753310,-0.052542346
1782841716.721707344,-0.096410811,0.126779886,-0.015127428,0.641787570,0.517565542,-0.034531450
1782841716.723466873,-0.099402370,0.124745124,-0.022246306,0.648952571,0.524303486,-0.047646290
1782841716.725040674,-0.096325429,0.124235112,-0.018675631,0.639450686,0.516886725,-0.043782614
1782841716.726714849,-0.094402961,0.129506636,-0.014032838,0.645385079,0.521021350,-0.011013865
1782841716.728373289,-0.094224814,0.125637862,-0.015188596,0.654921802,0.515690857,-0.025401916
1782841716.730044842,-0.095120113,0.122327617,-0.020941336,0.654342483,0.524844396,-0.071966286
1782841716.731707573,-0.097297849,0.123663774,-0.019899491,0.649105803,0.530589324,-0.038906127
1782841716.733467817,-0.095235675,0.126085291,-0.019883815,0.657599774,0.506576718,-0.043371885
1782841716.735041142,-0.099242554,0.120723109,-0.013936886,0.664429177,0.491671556,-0.049141242
1782841716.736705780,-0.093092777,0.121061905,-0.011510913,0.646961345,0.496509068,-0.050044237
1782841716.738387823,-0.095283205,0.126175347,-0.018749841,0.651497173,0.510725650,-0.029456234
1782841716.740044117,-0.098313217,0.124108754,-0.016234238,0.658440845,0.525102861,-0.057996048
1782841716.741706371,-0.096225256,0.125349673,-0.017537877,0.666398010,0.497013658,-0.038938483
1782841716.743402719,-0.096281532,0.123270952,-0.016394219,0.646712442,0.547460439,-0.020787286
1782841716.745041609,-0.099459300,0.126035870,-0.017482358,0.650223627,0.528505501,-0.043433817
1782841716.746749401,-0.098464248,0.126837585,-0.015122694,0.648509477,0.541781893,-0.034388401
1782841716.748457670,-0.099492466,0.127120849,-0.016248167,0.650331253,0.509403673,-0.052802304
1782841716.750082970,-0.096180221,0.122990688,-0.019867062,0.658388543,0.523663680,-0.048429676
1782841716.751708508,-0.097407976,0.123697978,-0.024577758,0.622591757,0.539128517,-0.052484127
1782841716.753373623,-0.094232197,0.124416854,-0.021129350,0.640709865,0.519664421,-0.029517103
1782841716.755046129,-0.097280715,0.122133592,-0.022214482,0.639853521,0.499393724,-0.057527157
1782841716.756710052,-0.096301983,0.120515346,-0.019945262,0.623308628,0.512539567,-0.030045164
1782841716.758387089,-0.099428276,0.122412066,-0.018666824,0.634512723,0.547335675,-0.043853828
1782841716.760052204,-0.096272790,0.125594948,-0.016388856,0.661111864,0.524413386,-0.025066413
1782841716.761709452,-0.097208627,0.123440317,-0.015081951,0.667824124,0.510493802,-0.053554594
1782841716.763409138,-0.099353423,0.122152365,-0.014004522,0.653187948,0.504131577,-0.030234488
1782841716.765039444,-0.096319729,0.119392269,-0.016320558,0.616284151,0.535637031,-0.035470992
1782841716.766709328,-0.097401346,0.126147331,-0.019936940,0.644460428,0.519868724,-0.029170555
1782841716.768400192,-0.098323686,0.121743629,-0.017514565,0.643896154,0.532726520,-0.039412370
1782841716.770044088,-0.097400722,0.121238622,-0.022287460,0.614211262,0.534903295,-0.034339515
1782841716.771710873,-0.096326960,0.123068939,-0.025806297,0.625524953,0.528614401,-0.047750696
1782841716.773430109,-0.098421526,0.123001527,-0.024612654,0.624938457,0.533662802,-0.047756983
1782841716.775045395,-0.099405651,0.122320513,-0.023456607,0.634021290,0.531856351,-0.043174715
1782841716.776709795,-0.098271832,0.120387020,-0.026984135,0.635542327,0.524809233,-0.057105423
1782841716.778385639,-0.099389460,0.121060107,-0.027016564,0.626259587,0.531734877,-0.047581874
1782841716.780048847,-0.098335914,0.123121277,-0.023575113,0.645676226,0.537041707,-0.019629569
1782841716.781708241,-0.097384912,0.119989474,-0.019951876,0.613247580,0.530740580,-0.025414964
1782841716.783378839,-0.098296564,0.120448707,-0.017573915,0.642686693,0.520824556,-0.030148257
1782841716.785043716,-0.101454206,0.121008362,-0.024632000,0.632410832,0.540440045,-0.047734799
1782841716.786710024,-0.099445026,0.123775769,-0.022262365,0.636150515,0.559321354,-0.038520934
1782841716.788372278,-0.097204699,0.122173531,-0.023417527,0.653366380,0.506727387,-0.057330233
1782841716.790040016,-0.098173018,0.120398591,-0.019910906,0.662302000,0.524009384,-0.043866989
1782841716.791706085,-0.101434934,0.122327898,-0.026966604,0.640397537,0.556017716,-0.056657971
1782841716.793357611,-0.098403775,0.124446535,-0.022311715,0.640395027,0.553023846,-0.029088375
1782841716.795043468,-0.099475425,0.122490861,-0.023428363,0.621612240,0.555525386,-0.043269890
1782841716.796711445,-0.099339974,0.123675699,-0.022289691,0.655581930,0.547066427,-0.038423517
1782841716.798408031,-0.097355728,0.124902363,-0.022306067,0.643435178,0.523406688,-0.033722575
1782841716.800092459,-0.098399669,0.123087714,-0.017596309,0.638859228,0.533352350,-0.020458032
1782841716.801705837,-0.095192747,0.123696441,-0.017592535,0.656243086,0.513762836,-0.025226803
1782841716.803375006,-0.095095103,0.121158047,-0.016365118,0.660602243,0.516728960,-0.035109488
1782841716.805040121,-0.095169369,0.122376546,-0.021082410,0.648094780,0.513570203,-0.043746073
1782841716.806706905,-0.095198795,0.122361107,-0.022273268,0.641358480,0.509910669,-0.043601208
1782841716.808482885,-0.094207683,0.124262898,-0.017488540,0.646485976,0.507746053,-0.044066528
1782841716.810070992,-0.097275640,0.122199458,-0.017508888,0.646936152,0.503109458,-0.044046574
1782841716.811716795,-0.096226811,0.122966186,-0.017473103,0.651611971,0.519989186,-0.048771472
1782841716.813328505,-0.095301901,0.125000116,-0.022295718,0.637531028,0.522438828,-0.033910975
1782841716.815041780,-0.095167457,0.123531458,-0.019847257,0.655222631,0.505883307,-0.053109704
1782841716.816706657,-0.098370276,0.121719131,-0.015120634,0.637119442,0.529052487,-0.039754164
1782841716.818386316,-0.095233682,0.122446281,-0.022259188,0.635154038,0.521745321,-0.043648789
1782841716.820039749,-0.095253421,0.124962214,-0.016259111,0.650575297,0.529674182,-0.048797713
1782841716.821713209,-0.096328395,0.126604657,-0.016275454,0.654094460,0.501582054,-0.048399524
1782841716.823375702,-0.099399474,0.127336218,-0.015125502,0.671498202,0.535961003,-0.038829726
1782841716.825044155,-0.095314963,0.123787451,-0.013980448,0.636771412,0.526003169,-0.025810875
1782841716.826712132,-0.096432591,0.124460538,-0.014012877,0.627488672,0.532928814,-0.016287326
1782841716.828376770,-0.097361847,0.128527665,-0.017465763,0.665739964,0.515907002,-0.047897333
1782841716.830083847,-0.095179151,0.123588496,-0.011556866,0.662266305,0.509582141,-0.040117545
1782841716.831705570,-0.097315209,0.124779762,-0.010459084,0.662846021,0.503424027,-0.021120142
1782841716.833464146,-0.094301803,0.124328454,-0.013960691,0.633606969,0.508220760,-0.030492661
1782841716.835050106,-0.097314432,0.124768731,-0.016354589,0.656049595,0.507462404,-0.034453621
1782841716.836750746,-0.096220401,0.122917729,-0.011507516,0.658021794,0.515879649,-0.049550104
1782841716.838328123,-0.094180170,0.123123427,-0.017532835,0.646094425,0.519092484,-0.034847762
1782841716.840049028,-0.096265604,0.125535460,-0.016318775,0.660725261,0.524342227,-0.039178523
1782841716.841721535,-0.095256116,0.123496400,-0.017524346,0.641811765,0.490863827,-0.039343390
1782841716.843380690,-0.094144309,0.124307720,-0.017571803,0.660100994,0.507394169,-0.029906354
1782841716.845046282,-0.096189620,0.124191375,-0.016237031,0.665762187,0.523716397,-0.058132861
1782841716.846709251,-0.098360170,0.125468048,-0.015125132,0.660138764,0.529390628,-0.039184810
1782841716.848378181,-0.098403217,0.124343239,-0.015156218,0.646518937,0.541159640,-0.030014110
1782841716.850100756,-0.098318225,0.121643017,-0.018719559,0.643364309,0.517232698,-0.039219916
1782841716.851707458,-0.098262305,0.125427464,-0.015222484,0.679956769,0.517206495,-0.024975290
1782841716.853371620,-0.094222124,0.126781745,-0.019848976,0.655253088,0.512042800,-0.048099023
1782841716.855099440,-0.095278360,0.123576692,-0.018630047,0.635505164,0.510384027,-0.053354221
1782841716.856707096,-0.097354547,0.119890356,-0.017501005,0.619309756,0.526576785,-0.039817282
1782841716.858488321,-0.097302949,0.122380595,-0.017409644,0.641162865,0.538121442,-0.058251618
1782841716.860043049,-0.095288433,0.121211800,-0.019910422,0.620961941,0.518005648,-0.034772302
1782841716.861711979,-0.098416090,0.121683598,-0.018622151,0.623546291,0.529416466,-0.053429443
1782841716.863368750,-0.098340827,0.122951882,-0.021125160,0.644716036,0.521463804,-0.034034129
1782841716.865044117,-0.096274737,0.123056011,-0.016339136,0.645507914,0.524140520,-0.034854056
1782841716.866708755,-0.097369378,0.122253753,-0.019876524,0.627259111,0.507625041,-0.043804425
1782841716.868412971,-0.097259057,0.121094501,-0.021053791,0.639992360,0.526236379,-0.048499081
1782841716.870041132,-0.097228273,0.122212929,-0.025798324,0.646916145,0.510822426,-0.057038260
1782841716.871716022,-0.097225768,0.124648570,-0.018692546,0.668644005,0.499231087,-0.048176352
1782841716.873393536,-0.095281998,0.122380654,-0.021140248,0.628232211,0.502647799,-0.029686028
1782841716.875045538,-0.097343858,0.124753291,-0.017545447,0.649313295,0.503802869,-0.034308755
1782841716.876713276,-0.097199623,0.122239399,-0.018711989,0.660449024,0.510443487,-0.043849643
1782841716.878374100,-0.096157596,0.122899136,-0.024656817,0.657896957,0.508184452,-0.047750567
1782841716.880048513,-0.097327275,0.123648335,-0.021090349,0.642369503,0.526929790,-0.038761262
1782841716.881708860,-0.096320912,0.124404277,-0.021125591,0.640409420,0.532467030,-0.029376289
1782841716.883438349,-0.098411420,0.126750444,-0.024617153,0.647957778,0.534000943,-0.047187629
1782841716.885042191,-0.098333248,0.123047846,-0.021040080,0.645147357,0.544641406,-0.048191579
1782841716.886713982,-0.099435068,0.122471785,-0.018736898,0.634900782,0.547404431,-0.029743483
1782841716.888345957,-0.097269373,0.123627060,-0.025879186,0.648900282,0.522864670,-0.038079911
1782841716.890043259,-0.099423173,0.123540027,-0.021171718,0.641639206,0.516552760,-0.024464756
1782841716.891710520,-0.099399241,0.122272055,-0.017491049,0.640431266,0.527746719,-0.043953342
1782841716.893428326,-0.096257572,0.123065073,-0.019923982,0.645548340,0.524155383,-0.034367390
1782841716.895093203,-0.096406061,0.121884887,-0.019942852,0.611679201,0.524931293,-0.025248753
1782841716.896712303,-0.096302956,0.119245878,-0.019920401,0.615506653,0.512403134,-0.034938985
1782841716.898406982,-0.096292850,0.122994795,-0.019924900,0.638525974,0.512741275,-0.034369631
1782841716.900043964,-0.098423277,0.121743087,-0.018692233,0.623932894,0.529487625,-0.039317333
