source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1782841717.329770803,-0.005668059,-0.002102391,-0.002400650,-0.139934583,0.159975681,-0.029733614
1782841717.336188793,0.003064411,0.008166312,0.000662424,-0.006732912,0.067063853,-0.019994415
1782841717.337063074,-0.003428798,0.004135197,0.000633283,0.024944417,0.155017719,-0.049841675
1782841717.338188887,-0.001090919,0.000251110,0.010299930,-0.137560927,0.124137879,-0.078988001
1782841717.339729309,0.000900019,0.009464060,-0.004554478,-0.068376971,0.039374721,-0.028973085
1782841717.348819256,-0.001181038,0.002811332,-0.002012102,-0.108807333,0.035085152,-0.068819143
1782841717.349768162,-0.003354506,-0.001053963,0.002899086,-0.104546768,0.113293104,-0.069336524
1782841717.351364851,0.005344336,0.014570726,0.005773488,0.048142417,0.094523649,-0.039335555
1782841717.353878736,-0.001125052,0.005341979,0.015439848,-0.036975682,0.116466315,-0.059386551
1782841717.354751348,0.009786167,0.014474945,0.023505619,0.117798057,0.124737434,-0.040377428
1782841717.361234188,-0.005616095,0.002977215,0.000122398,-0.108142571,0.143603554,-0.039083602
1782841717.362115383,0.005409953,0.011912280,0.013141661,-0.010090539,0.069322265,-0.049217856
1782841717.366324902,0.003104167,0.000374266,0.013093864,-0.040992459,0.107041529,-0.021039073
1782841717.367262840,-0.005588964,0.002942796,0.005050303,-0.122357104,0.135198888,-0.039049755
1782841717.368149042,0.003135193,0.010651418,0.003241164,0.023352222,0.074928793,-0.039534761
1782841717.373841763,-0.003337321,0.006610350,0.002938190,-0.057261946,0.064637275,-0.068561619
1782841717.374720097,-0.003311790,0.006728149,0.005223639,-0.097762539,0.121679787,-0.068301984
1782841717.376535654,0.003066518,0.008279211,-0.002023710,-0.061544584,0.083430612,-0.019559883
1782841717.378890514,0.012038556,0.010565120,0.001136650,-0.030929749,-0.011529413,-0.098656411
1782841717.379762650,0.003170151,0.005521315,0.000737817,-0.021515876,0.115271746,-0.059578030
1782841717.383872271,0.001015524,0.001665728,0.005397009,-0.115284003,0.119774525,-0.059379381
1782841717.384800673,-0.001189375,0.005436613,0.017755159,-0.065305665,0.100499852,-0.029726372
1782841717.386540174,-0.003287613,0.004015860,0.010508795,-0.016560735,0.162179212,-0.079167237
1782841717.388076544,0.003221555,0.008056768,0.012966188,-0.062023996,0.082271982,-0.049254511
1782841717.389753103,-0.003381638,-0.001019543,-0.002028819,-0.090332235,0.121697771,-0.069370371
1782841717.391613007,-0.001179497,0.007956214,0.010571328,0.020828672,0.125216397,-0.049535869
1782841717.393079281,-0.012103363,0.003976668,-0.004690290,-0.017578241,0.166505176,-0.078372875
1782841717.398506403,0.001031694,0.006594519,0.023100711,0.025946654,0.103467079,-0.040249141
1782841717.399775505,-0.005500441,0.002740079,0.007712461,-0.109147130,0.093722536,-0.068668799
1782841717.401466608,0.001002623,0.006686589,0.000865458,0.041631690,0.128427454,-0.069537424
1782841717.403879642,0.003166285,0.010710238,0.005461098,-0.059936789,0.058350675,-0.038962009
1782841717.404765606,-0.007712732,0.001404243,-0.004481510,-0.033111581,0.139835736,-0.088750255
1782841717.411233902,0.001001058,0.006727068,0.012921502,-0.057010302,0.071069176,-0.039503721
1782841717.412111759,0.005337064,0.009314275,0.013249055,0.014635999,0.045090567,-0.030112042
1782841717.413212061,-0.007775021,-0.001066179,-0.007175328,-0.105079658,0.107388315,-0.068904080
1782841717.414770842,-0.001149686,0.007862899,0.018113966,0.048068480,0.124942910,-0.049839469
1782841717.423812866,-0.007757027,-0.003621443,-0.009756207,-0.162503683,0.098953992,-0.078652618
1782841717.424782276,-0.001259308,-0.002273089,-0.006826485,-0.070667664,0.092533335,-0.059944822
1782841717.426400661,-0.003393619,0.009244245,-0.001908492,0.014805214,0.097927567,-0.058815309
1782841717.428633451,-0.001208013,0.005485715,0.012712175,-0.092974074,0.084322037,-0.029454390
1782841717.429712534,-0.001093291,0.002721599,0.000644169,-0.066166271,0.091727368,-0.098654219
1782841717.436239958,0.000907303,0.012004565,0.002976145,-0.010904673,0.063944587,-0.019295071
1782841717.437137604,0.003125946,0.013353925,0.003042669,-0.001655561,0.099687602,-0.029150233
1782841717.438261986,-0.003416150,-0.001018224,0.007829130,-0.091422410,0.105457821,-0.040013792
1782841717.439838648,-0.001177390,0.008069112,0.007885194,-0.033983000,0.141583155,-0.049101337
1782841717.444153309,-0.005432338,0.005284080,0.007676469,-0.120516338,0.093456295,-0.087871697
1782841717.444982529,-0.003332269,0.004080966,0.015208682,-0.087202261,0.105178966,-0.049232848
1782841717.448835850,-0.003306251,0.004064963,0.005465811,-0.044229144,0.146001397,-0.078895256
1782841717.449738264,0.005500667,0.011784471,0.030446871,-0.038899934,0.052197173,-0.049252306
1782841717.451546192,0.001007031,0.001651044,0.005512088,-0.073401060,0.144357007,-0.059685210
1782841717.453862906,0.005430445,0.011843517,0.018162807,0.003315065,0.060959870,-0.049385466
1782841717.454735756,-0.005521962,0.002789267,0.005349724,-0.052572780,0.159296530,-0.069047381
1782841717.459752083,0.007610223,0.010727355,0.020507095,-0.045092821,0.104931218,-0.039569351
1782841717.461545467,-0.005505931,0.005477014,0.010100973,-0.077532290,0.200190882,-0.058733379
1782841717.463056803,0.005369614,0.014555967,0.010723232,0.048190690,0.110659192,-0.039406080
1782841717.464723587,-0.001091365,0.005379894,0.002945328,-0.091602655,0.100034875,-0.088301311
1782841717.466458559,0.005396926,0.011976151,0.010663846,0.004600869,0.110313777,-0.049290610
1782841717.468031168,0.000969502,0.001616691,-0.001909586,-0.088189013,0.071094408,-0.059471406
1782841717.473802328,0.007567060,0.008074027,0.010827941,-0.005918778,0.072441531,-0.049917200
1782841717.474843979,-0.001048094,0.002809871,0.005314194,-0.148978408,0.107736096,-0.098120374
1782841717.476507425,0.005344336,0.014570726,0.005773488,0.048142417,0.094523649,-0.039335555
1782841717.478879690,-0.007749851,0.004142413,0.005084704,-0.086829675,0.148312324,-0.048807692
1782841717.479742765,0.000973150,0.006874471,0.007987710,-0.013364681,0.177592411,-0.039753601
1782841717.486180782,-0.001148223,0.005469637,0.007803970,-0.091835627,0.116697530,-0.058881494
1782841717.487070799,0.003214915,0.008022424,0.013059428,-0.034403859,0.082314254,-0.049455968
1782841717.488181114,-0.003404990,0.001653511,-0.004677405,-0.115816892,0.113869735,-0.058946937
1782841717.491580963,0.007402524,0.010866418,-0.001696157,0.010101717,0.057452002,-0.010168204
1782841717.493134975,-0.001219704,0.007980755,0.000534923,-0.035413623,0.043822618,-0.048984618
1782841717.498809576,-0.001201661,0.005499240,0.000584729,-0.007689413,0.166178253,-0.059391008
1782841717.499706984,0.007637283,0.008014981,0.023112004,-0.048133776,0.063678834,-0.049784040
1782841717.501518488,-0.003345814,0.006595666,0.003053268,-0.015379004,0.089219757,-0.068867448
1782841717.503887415,-0.001161684,0.007946346,0.012977742,-0.007220066,0.108722823,-0.049366031
1782841717.504741192,-0.007763582,-0.003693778,0.007666219,-0.122091243,0.106980765,-0.049704012
1782841717.506948233,-0.005627058,0.007940425,0.012898194,0.047302619,0.135700775,-0.019987209
1782841717.511205673,-0.009968386,-0.002430298,-0.002292108,-0.114280497,0.087780842,-0.059119442
1782841717.512087345,0.001017770,0.004019670,0.015663328,-0.003905508,0.078939484,-0.050128611
1782841717.513214350,-0.007622843,0.001315669,0.010187129,-0.117638123,0.090039254,-0.088342884
1782841717.514746189,-0.005478943,0.000086685,0.010382885,-0.069399667,0.126090781,-0.079196605
1782841717.521884203,-0.003341841,0.003972959,0.015351485,-0.060487600,0.056183089,-0.049427017
1782841717.523370981,-0.001209578,-0.002263372,0.000436433,-0.126288266,0.092133033,-0.059644052
1782841717.525015593,0.005284907,0.009496012,0.000707110,-0.011746606,0.078266659,-0.029745205
1782841717.526758671,-0.001205153,0.002881424,0.010339615,-0.080895021,0.100512468,-0.039710214
1782841717.528164148,0.005340105,0.004164587,0.005889203,-0.002660235,0.069340249,-0.050286243
1782841717.529824495,0.001012411,0.004137460,0.010433864,-0.086814191,0.062677125,-0.049453717
1782841717.531368971,0.001067867,0.011834882,0.003202025,0.018183429,0.111970783,-0.078484498
1782841717.536245584,-0.001241604,0.002940395,0.002890218,-0.080514692,0.100828227,-0.039608071
1782841717.537223101,0.003131034,0.002923234,0.005679876,-0.038624008,0.082593110,-0.040236912
1782841717.538148403,0.003226268,0.005432816,0.010571790,-0.064207748,0.073922203,-0.059405963
1782841717.541605711,-0.001182332,0.005375144,-0.011695587,-0.022244395,0.076252999,-0.088597021
1782841717.543111563,0.005423986,0.009263777,0.013268755,0.001559913,0.069061393,-0.059505299
1782841717.548783541,0.000942081,0.009419858,0.005460089,-0.026397483,0.096228289,-0.029419964
1782841717.549896002,0.003199781,0.007973397,0.013267746,0.035099220,0.106939008,-0.049963253
1782841717.551490307,-0.003324515,-0.003692673,0.005454432,-0.106682248,0.121078869,-0.079558501
1782841717.553902864,-0.001157272,0.015807088,0.007874735,0.014207298,0.141965474,-0.048333720
1782841717.554778337,0.003160466,-0.002259629,0.017940545,-0.113059619,0.073751237,-0.030785383
1782841717.561291456,-0.003331637,0.009303074,0.007826355,-0.026075707,0.154654320,-0.058657818
1782841717.562169075,-0.001099859,0.005365211,0.003060406,-0.049719713,0.124617357,-0.088607139
1782841717.566392899,0.005419344,0.014565683,0.017986150,-0.007429912,0.110258890,-0.039105311
1782841717.568068504,0.007578306,0.010707771,0.015650591,-0.017520957,0.088837946,-0.039700282
1782841717.573718309,0.001088792,0.009353281,0.000571584,-0.038335121,0.152574608,-0.088240325
1782841717.574878693,0.005400634,0.011936831,0.010620169,-0.023924744,0.061233357,-0.049081865
1782841717.576464653,-0.003370767,0.009420939,-0.002237775,-0.067149720,0.146838899,-0.058218227
1782841717.578847170,0.013996298,0.001788831,0.018511686,-0.004388971,0.057718729,-0.002251375
1782841717.579742193,-0.007707207,0.009246570,0.005086260,-0.068871868,0.123851289,-0.058021689
1782841717.582793236,0.007535396,0.008187001,0.003307141,-0.018895780,0.097255228,-0.049717972
1782841717.583554506,-0.003340848,0.004104273,-0.002005425,-0.058111622,0.121776946,-0.078688740
1782841717.586222887,0.001092512,0.006598015,0.015534096,-0.042894852,0.078630972,-0.069130053
1782841717.587098598,0.000979584,0.004195101,-0.014388396,-0.127751777,0.005927964,-0.078292892
1782841717.588238001,-0.001187787,0.008000340,0.005391427,-0.062985487,0.059915890,-0.048853686
1782841717.589789629,-0.003334768,0.001594465,0.007606658,-0.158031890,0.105107038,-0.058813777
1782841717.591552496,-0.003368160,0.006684089,-0.001946039,-0.014521801,0.122122361,-0.068804210
1782841717.598348618,-0.009981593,0.000178970,0.000217368,-0.070213801,0.120713103,-0.049273819
1782841717.599919796,-0.005545458,0.000106411,-0.001944855,-0.055710282,0.085773059,-0.079121020
1782841717.601452112,0.005318354,0.006685422,0.005883074,-0.001858832,-0.003934966,-0.040088597
1782841717.603848457,-0.005549166,0.000145731,-0.001901179,-0.027184669,0.134853479,-0.079329765
1782841717.604705095,0.000955035,0.006678031,0.005614908,-0.029915312,0.022389059,-0.039595746
1782841717.611229897,-0.009986198,-0.002420430,-0.004698522,-0.086231759,0.104274417,-0.059289280
1782841717.612104654,-0.007718259,0.001351484,0.010282507,-0.062679095,0.090650909,-0.059255456
1782841717.613209248,-0.003507479,0.004067819,0.003162800,0.036686426,0.065557442,-0.020472749
1782841717.616646767,-0.007805909,-0.001066189,-0.014690241,-0.147487747,0.034083444,-0.068488819
1782841717.618163586,0.003096509,0.005640500,0.000531636,-0.063680063,0.091216376,-0.029781860
1782841717.623730898,0.000905107,-0.000966631,-0.001917270,-0.105345418,0.022280228,-0.040059763
1782841717.624857187,-0.001175499,0.000148145,-0.001769929,-0.055273938,0.059406762,-0.079412414
1782841717.626439095,-0.001185288,0.010486841,0.012993451,0.007844142,0.059987818,-0.039272757
1782841717.628305912,-0.009918095,0.000123571,-0.004734514,-0.097600966,0.104008177,-0.078492179
1782841717.629738569,0.005384784,0.006703687,0.000881628,-0.028340522,0.028398256,-0.069314244
1782841717.636250973,-0.014289060,0.002666467,-0.002558719,-0.124379169,0.089643833,-0.067840589
1782841717.637114286,0.009748621,0.004260250,0.010827394,-0.057415892,0.059024952,-0.050245249
1782841717.638211727,-0.001210024,0.002865411,-0.006918169,-0.080329994,0.068030029,-0.068957362
1782841717.639782906,0.005237549,0.007015807,0.003099952,-0.027520661,0.111077472,-0.010379756
1782841717.641570568,-0.005584250,0.000318844,0.002655905,-0.124540857,0.126849108,-0.049201206
1782841717.648775339,-0.001241978,0.010747133,-0.002141388,-0.045729998,0.109572940,-0.038672844
1782841717.649922848,0.005406156,-0.000906697,0.005605789,-0.130817344,0.093105085,-0.069756761
1782841717.651495218,-0.001177655,0.010652500,-0.004456700,-0.017400016,0.125539403,-0.068333024
1782841717.653877735,0.001040441,0.006741761,0.020321337,-0.056485154,0.119791565,-0.039613153
1782841717.654733896,-0.001234657,0.005386332,-0.004244051,0.004714168,0.076506624,-0.059410280
1782841717.658439875,0.009645813,0.006978911,0.010702438,-0.041727452,0.059855207,-0.010668921
1782841717.661287546,0.007601729,0.010712672,0.020622173,-0.003209878,0.129513700,-0.039875179
1782841717.662186623,0.000984323,0.006830260,0.010487364,-0.013793282,0.161141109,-0.039785219
1782841717.663096905,0.005453152,0.006664301,0.013187531,-0.056292714,0.044175768,-0.069285456
1782841717.664898157,-0.005455894,0.007898324,0.010322862,-0.020303894,0.175511248,-0.078436275
1782841717.673800945,0.005351241,0.012021682,0.018022142,0.003939296,0.110525130,-0.019902412
1782841717.674800158,0.003242498,0.015755509,0.015592299,0.041883449,0.115325690,-0.048928714
1782841717.676441431,-0.001132156,0.000256077,0.002921933,-0.123823268,0.099955700,-0.078982942
1782841717.678889751,0.003174395,0.013211508,0.015628291,0.053252657,0.115591930,-0.029725815
1782841717.679755211,-0.005504149,0.002779399,0.007756137,-0.080621518,0.142802955,-0.068877543
1782841717.686187983,0.003208907,0.013210188,0.005770341,0.054342831,0.131831880,-0.059082394
1782841717.687055588,-0.007749851,0.004142413,0.005084704,-0.086829675,0.148312324,-0.048807692
1782841717.688156843,-0.001184476,0.013163552,0.000623832,0.039595409,0.117522423,-0.058616103
1782841717.691646338,-0.003305403,0.006629934,0.007794694,-0.084833810,0.080730546,-0.068430687
1782841717.693077087,0.000938481,0.004235826,-0.001806523,-0.016073580,0.120520243,-0.049795621
1782841717.698749542,-0.001151155,0.005395973,0.007853533,-0.092741103,0.067659382,-0.058874207
1782841717.699852467,-0.005484748,0.005333258,-0.002201181,-0.106350078,0.085725419,-0.087835020
1782841717.701442719,0.007439083,0.005584095,-0.001557048,-0.008480321,0.032347777,-0.030437260
1782841717.703855276,-0.007706399,-0.000973006,0.002466279,-0.173580715,0.164072796,-0.068545132
1782841717.704762697,-0.001212059,0.005430468,-0.001909039,-0.036691900,0.084510987,-0.059143357
1782841717.711352110,-0.003398784,0.004100692,0.002880942,-0.073512875,0.064861243,-0.049157264
1782841717.713113546,0.000987778,0.006658381,0.013107982,-0.001770029,0.071153720,-0.039906634
1782841717.714809895,-0.009965827,0.005450104,-0.007373277,-0.078590327,0.145563704,-0.058191504
1782841717.716406584,0.005353204,0.006778671,0.010690015,-0.028525220,0.061196454,-0.039964953
1782841717.718075991,-0.009920130,0.002688627,0.000274616,-0.053962873,0.120489135,-0.068678175
1782841717.720355988,-0.001213719,0.000188785,0.008131697,-0.027838500,0.092247232,-0.050264579
1782841717.723814487,-0.007750930,0.004049089,0.005112429,-0.101997957,0.074733966,-0.048696032
1782841717.724910975,-0.001121164,0.002757262,0.010408879,-0.094876582,0.075445146,-0.069096183
1782841717.726489067,-0.003360514,0.004133801,-0.004390001,-0.015800078,0.162810730,-0.078962950
1782841717.728863716,0.003168332,0.005429235,0.015458157,-0.079609002,0.017006500,-0.029874487
1782841717.729722738,-0.005422013,0.002674897,0.007847239,-0.080340274,0.142275844,-0.098367885
1782841717.735894203,0.003174503,0.007988156,0.008318002,0.035050947,0.090803464,-0.049892728
1782841717.736664534,-0.001184029,0.008034769,0.007978434,-0.006362864,0.141625427,-0.049302794
1782841717.741353989,0.003221735,0.005511372,0.007978896,-0.091399284,0.090331233,-0.059172888
1782841717.742306709,-0.001253138,0.008075399,0.010365148,-0.021335516,0.101161027,-0.019739699
1782841717.743212700,-0.001173501,0.005484396,0.002854226,-0.091883900,0.100561987,-0.058810969
1782841717.748788595,0.003110253,0.010760745,0.012956311,-0.004452613,0.107684719,-0.009984013
1782841717.749890804,0.000970399,0.004255411,0.003049982,-0.043645444,0.136613514,-0.049664690
1782841717.751465559,-0.001127912,0.007946270,0.017812407,-0.049054736,0.100275884,-0.049130727
1782841717.753851652,0.003225046,0.010674584,0.003211301,0.011181612,0.147937767,-0.068935305
1782841717.754709005,0.003189709,0.010715139,0.010432680,-0.045625710,0.099026428,-0.039136907
1782841717.761227369,0.001139276,0.006645808,0.008148076,-0.027064997,0.151997978,-0.098629911
1782841717.762111425,-0.001127087,0.007907035,0.020448978,0.006662411,0.132947273,-0.049572547
1782841717.763223886,-0.005620165,0.008107328,0.010140658,-0.020866383,0.176565471,-0.019455593
1782841717.764799118,0.001085945,0.009241626,0.017950333,-0.026448294,0.111520962,-0.059082974
1782841717.773854017,-0.005508303,0.007947503,0.000445212,-0.006137634,0.167780371,-0.078399597
1782841717.774804831,-0.003446142,0.001620487,0.005273784,-0.089286930,0.097672057,-0.029791815
1782841717.776397228,0.007491944,0.013302421,0.005925567,0.067855260,0.081494757,-0.029980531
1782841717.778859615,-0.003325449,0.001569913,0.010128150,-0.144197685,0.113195945,-0.058949768
1782841717.779734612,0.001033354,0.011836201,0.013059975,0.017093254,0.095730833,-0.049127919
1782841717.786182404,0.003237513,0.008066560,0.015394440,-0.075809928,0.090318618,-0.049189046
1782841717.787068605,0.000854515,0.006964194,-0.002183474,-0.098413832,0.047645325,-0.009503264
1782841717.788186312,-0.005589036,0.000264840,0.002727307,-0.111183526,0.102351170,-0.049298291
1782841717.789765835,0.007577968,0.010613203,0.000985700,0.010235605,0.039946477,-0.069180505
1782841717.791555882,0.001092693,0.004052619,0.010546805,-0.072270140,0.086690224,-0.079048430
1782841717.796940088,-0.005527013,0.005318650,-0.006920769,-0.022632466,0.118754839,-0.088376152
1782841717.798772335,-0.001191386,0.002816308,-0.001875185,-0.052661584,0.084207844,-0.069229344
1782841717.799897671,0.003230801,0.005354261,0.013164683,-0.037016213,0.057513172,-0.059639039
1782841717.801451921,-0.005548065,0.002843261,-0.002236591,-0.108338201,0.110489597,-0.068535037
1782841717.803897619,0.000972000,0.004103192,0.005692438,-0.017359385,0.071166336,-0.049890477
1782841717.804754019,-0.005521186,0.002676283,0.005355610,-0.082003868,0.061177962,-0.068831349
1782841717.811234713,-0.003393064,-0.001107891,-0.001864178,-0.049354768,0.097242105,-0.069668912
1782841717.812101841,-0.003361593,0.004040477,-0.004362276,-0.030968360,0.089232372,-0.078851290
1782841717.813263893,0.003157900,0.005472203,-0.001734112,-0.036255556,0.058144691,-0.059434751
