source_timestamp_sec,Fx,Fy,Fz
1784826459.076088905,-0.008291201,-0.036895681,-0.048454908
1784826459.077735424,-0.005273873,-0.036137265,-0.046841966
1784826459.079421043,-0.005548917,-0.038896482,-0.046497623
1784826459.081071377,-0.007485342,-0.039676760,-0.045027919
1784826459.082727194,-0.007019028,-0.037078785,-0.045263693
1784826459.084408045,-0.004194439,-0.037984957,-0.043994343
1784826459.086057425,-0.007245221,-0.036335876,-0.044252633
1784826459.087766886,-0.005306996,-0.035558501,-0.045721501
1784826459.089391232,-0.009327786,-0.037865775,-0.045268782
1784826459.091073751,-0.005212819,-0.036454983,-0.046743291
1784826459.092726469,-0.003263526,-0.036018719,-0.045030805
1784826459.094514370,-0.008071548,-0.036543045,-0.047291132
1784826459.096065283,-0.005365682,-0.035191450,-0.044755011
1784826459.097758055,-0.007684078,-0.039490803,-0.049489095
1784826459.099400997,-0.007553467,-0.036600986,-0.045763748
1784826459.101114035,-0.006886234,-0.034577412,-0.046950382
1784826459.102725029,-0.003114377,-0.038437984,-0.046257510
1784826459.104503155,-0.007211843,-0.036008501,-0.043157903
1784826459.106061220,-0.006418640,-0.037640671,-0.049153474
1784826459.107724905,-0.004048075,-0.037230353,-0.045821684
1784826459.109393835,-0.005742568,-0.036045913,-0.047183729
1784826459.111125231,-0.005782170,-0.037672171,-0.047441262
1784826459.112729073,-0.008716020,-0.039695362,-0.043878374
1784826459.114417076,-0.004853811,-0.035064561,-0.046122042
1784826459.116060495,-0.006147335,-0.037127434,-0.046500032
1784826459.117723703,-0.004345218,-0.038104256,-0.048238143
1784826459.119465590,-0.006561694,-0.039626082,-0.049264211
1784826459.121075392,-0.006293951,-0.036555431,-0.045457546
1784826459.122736454,-0.007993839,-0.037172807,-0.043963850
1784826459.124417543,-0.006450940,-0.035641982,-0.047643328
1784826459.126071930,-0.005767114,-0.038182836,-0.044197211
1784826459.127728224,-0.005391200,-0.039620381,-0.046055043
1784826459.129340649,-0.006575567,-0.037309281,-0.047944088
1784826459.131060362,-0.005751952,-0.036588542,-0.043820236
1784826459.132729530,-0.004840771,-0.037034082,-0.046301921
1784826459.134447098,-0.005748966,-0.035700249,-0.045888157
1784826459.136099577,-0.006733446,-0.040732323,-0.048511637
1784826459.137732267,-0.003999454,-0.037624320,-0.045611790
1784826459.139405251,-0.005852020,-0.038434021,-0.044096692
1784826459.141063929,-0.007309159,-0.035419301,-0.044988618
1784826459.142724276,-0.006437445,-0.036188448,-0.044359148
1784826459.144445419,-0.005082868,-0.035519257,-0.047376125
1784826459.146092176,-0.004954400,-0.036524069,-0.045211953
1784826459.147698879,-0.007079951,-0.039321530,-0.049618584
1784826459.149365187,-0.005824816,-0.036181265,-0.042655575
1784826459.151074409,-0.006022585,-0.039234654,-0.046458573
1784826459.152704000,-0.007385015,-0.034969332,-0.043871466
1784826459.154379606,-0.006448495,-0.039516559,-0.047871396
1784826459.156079054,-0.006479773,-0.039459498,-0.047904319
1784826459.157702208,-0.003269750,-0.036853306,-0.048978340
1784826459.159371376,-0.006345640,-0.036452344,-0.044071915
1784826459.161083937,-0.005968574,-0.039399372,-0.046314466
1784826459.162735939,-0.005139640,-0.037476285,-0.047486762
1784826459.164366484,-0.004220357,-0.038887702,-0.047741266
1784826459.166049719,-0.007500166,-0.034284996,-0.046019752
1784826459.167767763,-0.007279993,-0.037569378,-0.045027374
1784826459.169398785,-0.002087639,-0.041002100,-0.047166950
1784826459.171111107,-0.006100742,-0.039004625,-0.045239253
1784826459.172695398,-0.006649258,-0.039026548,-0.046758052
1784826459.174367428,-0.005300524,-0.040829158,-0.051078415
1784826459.176031590,-0.006212054,-0.036602797,-0.043938645
1784826459.177758217,-0.005315098,-0.039702781,-0.044455158
1784826459.179363012,-0.004108166,-0.037012309,-0.043009359
1784826459.181078434,-0.005332570,-0.039722658,-0.044421785
1784826459.182698488,-0.002902969,-0.039057505,-0.044208167
1784826459.184432268,-0.006502138,-0.037568241,-0.046299207
1784826459.186070681,-0.007307584,-0.037030408,-0.043831713
1784826459.187770367,-0.006302253,-0.038442782,-0.044076282
1784826459.189476967,-0.003441188,-0.039269229,-0.045780392
1784826459.191097736,-0.006047683,-0.041571564,-0.046188125
1784826459.192734003,-0.006703597,-0.036978101,-0.045178938
1784826459.194398642,-0.007392375,-0.041100236,-0.048441810
1784826459.196075439,-0.006643976,-0.041095919,-0.046690861
1784826459.197729826,-0.005769133,-0.037501903,-0.047629711
1784826459.199398756,-0.007376708,-0.037373435,-0.043680924
1784826459.201108217,-0.004098840,-0.039378155,-0.047228385
1784826459.202736616,-0.003355627,-0.043342948,-0.050165466
1784826459.204352140,-0.005610072,-0.039438647,-0.043117157
1784826459.206069946,-0.006463627,-0.040385937,-0.044094579
1784826459.207736015,-0.002694549,-0.040017790,-0.047855326
1784826459.209411621,-0.006491390,-0.038029624,-0.045930607
1784826459.211067438,-0.006236533,-0.038712938,-0.046872614
1784826459.212729216,-0.005605772,-0.036979825,-0.045008454
1784826459.214404583,-0.004274354,-0.037606489,-0.042686925
1784826459.216034412,-0.005913356,-0.040324072,-0.045518848
1784826459.217745543,-0.005939946,-0.037998528,-0.047346553
1784826459.219354153,-0.004688368,-0.040287910,-0.045266947
1784826459.221086025,-0.006445606,-0.036624612,-0.045436197
1784826459.222708225,-0.005351016,-0.037956142,-0.045606814
1784826459.224371910,-0.006444582,-0.039086718,-0.043399473
1784826459.226072311,-0.004207389,-0.040058400,-0.043588952
1784826459.227707863,-0.007848633,-0.041190957,-0.046836943
1784826459.229368687,-0.006390980,-0.040098230,-0.044162854
1784826459.231116295,-0.007062713,-0.039474440,-0.044821863
1784826459.232733965,-0.003683501,-0.042663192,-0.046046110
1784826459.234366894,-0.006791236,-0.040296428,-0.045542736
1784826459.236078739,-0.004286927,-0.042848502,-0.044476612
1784826459.237784147,-0.004236635,-0.038021578,-0.045177645
1784826459.239367485,-0.005447262,-0.037645747,-0.042732725
1784826459.241036415,-0.009123582,-0.037823405,-0.045139368
1784826459.242764711,-0.004292608,-0.041337258,-0.047051510
1784826459.244325638,-0.006005003,-0.040312947,-0.045293255
1784826459.246062279,-0.003902080,-0.043069416,-0.045636787
1784826459.247700691,-0.006794157,-0.042267427,-0.043885094
1784826459.249366045,-0.008308284,-0.036115335,-0.046132950
1784826459.251072168,-0.006539357,-0.040481353,-0.043626444
1784826459.252707005,-0.008898373,-0.044391559,-0.045730741
1784826459.254371166,-0.006132265,-0.040505628,-0.044999875
1784826459.256072998,-0.007717027,-0.040170425,-0.044312949
1784826459.257700920,-0.009731809,-0.038215583,-0.041568630
1784826459.259370804,-0.007466971,-0.038529738,-0.043835078
1784826459.261031628,-0.007717477,-0.040205890,-0.044057232
