source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1784826505.016914129,-0.069095756,0.049176219,0.052070276,0.667658252,1.166365901,-0.166340286
1784826505.018421412,-0.071201578,0.047816214,0.058423756,0.622933828,1.175001914,-0.171428125
1784826505.020187855,-0.076831462,0.047408889,0.058365948,0.640295375,1.221244203,-0.152632334
1784826505.022073984,-0.075663922,0.049282454,0.058473408,0.630820331,1.227090270,-0.166876708
1784826505.023579597,-0.073539897,0.046567033,0.067188677,0.655921942,1.178921264,-0.161807448
1784826505.029580593,-0.072372358,0.051185321,0.055837431,0.678718715,1.186221198,-0.151945506
1784826505.030603886,-0.071039477,0.046410784,0.063290904,0.600106198,1.164933465,-0.147068081
1784826505.031953812,-0.076707474,0.047390714,0.055754429,0.619649905,1.225133599,-0.138093884
1784826505.033454895,-0.072433989,0.047366967,0.050734846,0.656132142,1.194832977,-0.152278696
1784826505.035244226,-0.070077949,0.051093864,0.054542952,0.664946067,1.180590320,-0.151622674
1784826505.039637804,-0.067832314,0.050954028,0.059553216,0.671049366,1.145548887,-0.151317004
1784826505.040556669,-0.072386901,0.051177138,0.053515067,0.650440190,1.179502082,-0.181333797
1784826505.041768074,-0.067770474,0.050954994,0.055781887,0.650354570,1.133974159,-0.151571179
1784826505.043525934,-0.072127138,0.047093776,0.062089956,0.590040950,1.180401791,-0.152031956
1784826505.045161486,-0.077938369,0.045461032,0.059710191,0.606804215,1.232273263,-0.167437660
1784826505.047031164,-0.071210247,0.046552541,0.057072494,0.622671842,1.195041154,-0.161627529
1784826505.048548698,-0.075821970,0.045443489,0.060918965,0.642420749,1.246661887,-0.166814089
1784826505.054472446,-0.073617921,0.051924165,0.055979924,0.696805874,1.218321119,-0.171307475
1784826505.055586100,-0.066716725,0.050309679,0.055714757,0.667926755,1.139026825,-0.146466948
1784826505.056918859,-0.068886062,0.051599343,0.059620346,0.653477181,1.140496222,-0.156421235
1784826505.058422327,-0.071082146,0.049070189,0.059577676,0.623692961,1.178231139,-0.151803548
1784826505.060242414,-0.074473193,0.048601072,0.053388808,0.606394253,1.192330731,-0.162336457
1784826505.066981792,-0.075844997,0.048066005,0.056062380,0.644350381,1.207926586,-0.186679801
1784826505.068510294,-0.065460204,0.052097518,0.062024174,0.657493872,1.151334053,-0.145814254
1784826505.070046186,-0.070039911,0.049736131,0.057082253,0.642229962,1.163916154,-0.156632173
1784826505.072039127,-0.071041349,0.049022927,0.062100120,0.616091865,1.173701307,-0.151756013
1784826505.073559523,-0.071108041,0.046458339,0.060860273,0.600571385,1.182123248,-0.161617184
1784826505.079548597,-0.072422130,0.047244294,0.058491293,0.633041886,1.182297550,-0.181345559
1784826505.080602884,-0.070151303,0.052404155,0.055885988,0.686605679,1.172797397,-0.161301355
1784826505.081871510,-0.067948988,0.051010524,0.058382438,0.685405242,1.154463997,-0.165884548
1784826505.083391905,-0.067814066,0.049692230,0.053357144,0.628922501,1.175475058,-0.170858444
1784826505.085133553,-0.069985151,0.049708191,0.057084994,0.628034937,1.163859454,-0.156641547
1784826505.087068796,-0.075794781,0.045454335,0.055985084,0.614684203,1.231755951,-0.181757722
1784826505.092034817,-0.079086947,0.050065227,0.060992088,0.662452595,1.231113092,-0.157595562
1784826505.093579769,-0.072346967,0.053778787,0.054652131,0.687501781,1.182799424,-0.156745978
1784826505.095104218,-0.066639530,0.051526242,0.059577492,0.653805399,1.150913203,-0.155901138
1784826505.097061634,-0.068886714,0.047686143,0.060819760,0.622586682,1.143906579,-0.156574631
1784826505.098374844,-0.073367873,0.046569439,0.058377939,0.600851839,1.188369015,-0.162081650
1784826505.102318287,-0.075833336,0.050649563,0.057388557,0.659937554,1.224354214,-0.191207657
1784826505.104527950,-0.073464575,0.053140463,0.058401922,0.690058070,1.201029352,-0.151823253
1784826505.105592251,-0.071125478,0.051672274,0.060909339,0.653264981,1.170392934,-0.156537735
1784826505.106876135,-0.068870731,0.048988138,0.058388724,0.616559074,1.136671845,-0.166404321
1784826505.108390331,-0.073447877,0.047898730,0.058458382,0.622815787,1.188907467,-0.171732516
1784826505.110144138,-0.080222055,0.050814481,0.056006102,0.660292778,1.259442624,-0.162579157
1784826505.117084742,-0.072496568,0.047338202,0.054611700,0.662278251,1.182555505,-0.166854336
1784826505.118630171,-0.068847286,0.050269408,0.062054123,0.645309763,1.147674256,-0.146600919
1784826505.120159388,-0.072241793,0.048432945,0.061007846,0.604963148,1.177609034,-0.176372280
1784826505.122029543,-0.071213005,0.045242070,0.057089352,0.607556832,1.182896820,-0.166684562
1784826505.123554468,-0.075727584,0.048037306,0.057127633,0.644543193,1.222863676,-0.157282443
1784826505.129537344,-0.075821551,0.049347275,0.059727778,0.673101070,1.218928997,-0.166876399
1784826505.130586386,-0.067663183,0.053433828,0.064572615,0.664679567,1.148531574,-0.141229782
1784826505.131859779,-0.072344663,0.048469826,0.062264958,0.633048862,1.169391061,-0.176381346
1784826505.133397818,-0.074524492,0.047251636,0.059702181,0.611365368,1.175098376,-0.167194947
1784826505.135155678,-0.075695962,0.046707987,0.058396113,0.622341601,1.238843418,-0.162048420
1784826505.141976118,-0.073543433,0.047973932,0.055933197,0.644611907,1.193493999,-0.171770676
1784826505.143499613,-0.068958752,0.052966955,0.055918492,0.669151535,1.153839180,-0.166101195
1784826505.145228148,-0.069898276,0.052225195,0.062104395,0.642852587,1.154765924,-0.146648116
1784826505.147047281,-0.072326069,0.047187476,0.060919180,0.625584275,1.177240684,-0.166693291
1784826505.148542643,-0.075778502,0.050592100,0.062330663,0.666276474,1.227013833,-0.176385939
1784826505.154552460,-0.073440489,0.047907529,0.059615450,0.637060138,1.204428292,-0.156930517
1784826505.155715942,-0.068961657,0.047761668,0.057037465,0.637484537,1.144634869,-0.156697516
1784826505.156811237,-0.069999853,0.049661071,0.059710223,0.620080179,1.135534123,-0.171414452
1784826505.158596992,-0.073340389,0.050416056,0.062220673,0.630735171,1.175955695,-0.161823810
1784826505.160116673,-0.074683982,0.046072721,0.055920292,0.632756017,1.200251183,-0.172037245
1784826505.161748648,-0.072527291,0.045989533,0.059748808,0.646432945,1.210580309,-0.185980247
1784826505.165373087,-0.073549147,0.048059222,0.049536642,0.653059318,1.198168386,-0.157345737
1784826505.166859388,-0.068965327,0.052956432,0.059595263,0.689989816,1.164886873,-0.151242286
1784826505.168468952,-0.066632880,0.051507242,0.060840086,0.653501063,1.142581829,-0.155928953
1784826505.170241356,-0.071077602,0.051653919,0.059657713,0.639164115,1.154345074,-0.156735001
1784826505.172099590,-0.075584532,0.044039518,0.059511535,0.591884039,1.180846774,-0.143196541
1784826505.173429966,-0.071135538,0.046467602,0.060863016,0.607563809,1.169990331,-0.161720350
1784826505.179500341,-0.075757838,0.046736098,0.057147233,0.636420607,1.198586426,-0.162442642
1784826505.180544138,-0.067811701,0.050954350,0.058296106,0.664151101,1.141690645,-0.151401729
