source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1784827062.173138618,-0.044929880,0.168897614,-0.473786666,8.067271258,-0.819394155,3.704545158
1784827062.174045086,-0.042714354,0.172718699,-0.468683301,8.104990107,-0.840748472,3.704615659
1784827062.174948692,-0.049163265,0.166137157,-0.469001930,8.009311669,-0.802304785,3.665495540
1784827062.176654577,-0.053663263,0.174071837,-0.466919402,8.056979753,-0.741915154,3.725496208
1784827062.178172827,-0.044794718,0.173966040,-0.471200212,8.114512602,-0.762715017,3.665593178
1784827062.179946899,-0.044975649,0.168981135,-0.483757560,8.053817564,-0.827167403,3.704783292
1784827062.181671619,-0.047097601,0.162427956,-0.473928258,7.999368098,-0.806747514,3.694422540
1784827062.183183432,-0.053614365,0.166331242,-0.486624842,8.010970237,-0.709817873,3.666015517
1784827062.189093590,-0.055779950,0.167438863,-0.469189900,8.072647175,-0.713217792,3.685310520
1784827062.190101862,-0.053536750,0.163589355,-0.474120450,8.008025679,-0.718799012,3.655659799
1784827062.191595316,-0.047080193,0.167620614,-0.476245770,8.102425841,-0.716554461,3.684621199
1784827062.193326712,-0.042646078,0.172717308,-0.473706544,8.064245567,-0.832955364,3.675494408
1784827062.195006371,-0.044864263,0.166239173,-0.466418460,8.009038110,-0.844595257,3.694662879
1784827062.201641083,-0.051383304,0.159678682,-0.461692004,7.968366989,-0.789404542,3.684559639
1784827062.203384638,-0.042701147,0.170109436,-0.471192776,8.060923502,-0.873680642,3.694770056
1784827062.205018282,-0.051378972,0.164861463,-0.469118017,8.000968049,-0.789009678,3.675343396
1784827062.206678867,-0.047038825,0.164996508,-0.476485709,7.974164610,-0.815102508,3.675355636
1784827062.208176613,-0.042608895,0.172657098,-0.480949794,8.106790337,-0.808584470,3.645800405
1784827062.214099407,-0.040547743,0.166310506,-0.473462832,8.093620934,-0.821481273,3.693862004
1784827062.215112448,-0.049254160,0.168810357,-0.481319897,8.067496700,-0.793239285,3.675448344
1784827062.216606855,-0.040586981,0.171651713,-0.476216609,8.070748365,-0.804508105,3.714468468
1784827062.218333006,-0.053542542,0.166119978,-0.471698343,7.995041178,-0.784027384,3.665922891
1784827062.220014811,-0.051480859,0.165033483,-0.488922907,8.030206451,-0.755433723,3.675409461
1784827062.226619005,-0.044906729,0.171485901,-0.481156983,8.098165443,-0.794762298,3.685138578
1784827062.228368759,-0.055885965,0.162486911,-0.486863703,7.943587362,-0.769919250,3.695580840
1784827062.229984283,-0.049367752,0.163766491,-0.478912906,8.048829026,-0.784702550,3.714121056
1784827062.231679440,-0.038430495,0.162591362,-0.471148020,8.013793631,-0.850864142,3.723194147
1784827062.233206272,-0.049218080,0.163661844,-0.469152390,7.965440507,-0.802123044,3.685101349
1784827062.235680342,-0.044897229,0.168915958,-0.483622774,8.082624391,-0.778614196,3.675084230
1784827062.236601591,-0.049190397,0.166171576,-0.473929849,8.023526329,-0.793900251,3.665461692
1784827062.239131212,-0.055782520,0.162274417,-0.479114928,8.012991402,-0.746137461,3.665481094
1784827062.240155697,-0.042807474,0.170322015,-0.476261326,8.075762204,-0.815710952,3.724219238
1784827062.241680384,-0.042650591,0.170079918,-0.461293253,8.061019736,-0.841409439,3.694629008
1784827062.243171453,-0.051447892,0.162356698,-0.471718593,7.956620170,-0.821414783,3.694988110
1784827062.244922638,-0.053576133,0.163574662,-0.481520328,8.007500845,-0.767521459,3.655769229
1784827062.251656771,-0.040443398,0.174056873,-0.476068260,8.087280564,-0.805259091,3.665573799
1784827062.253386497,-0.051435016,0.167627911,-0.476628963,8.032486277,-0.714812667,3.685419845
1784827062.254822493,-0.040523471,0.168880374,-0.466162333,8.067327090,-0.846076090,3.704151656
1784827062.256674528,-0.042702293,0.165132877,-0.466480519,7.988678662,-0.784130396,3.704309173
1784827062.258186579,-0.051515182,0.162489407,-0.484052235,7.999740866,-0.763614335,3.694847660
1784827062.264003992,-0.049379106,0.166356094,-0.476425272,8.078632854,-0.776310516,3.724071031
1784827062.265033960,-0.040587054,0.168973763,-0.478539659,8.081922233,-0.837355913,3.704219951
1784827062.266556263,-0.042705607,0.172865941,-0.471462583,8.022557997,-0.824423770,3.705251649
1784827062.268334150,-0.051418282,0.167524720,-0.474194844,7.989269347,-0.804884318,3.685701343
