source_timestamp_sec,Fx,Fy,Fz
1784827062.836594343,0.055963815,-0.076812582,-0.011820447
1784827062.838228703,0.056075228,-0.077847219,-0.010984611
1784827062.840061665,0.055731355,-0.073675480,-0.015974411
1784827062.841588497,0.052968954,-0.068701773,-0.017147216
1784827062.847485065,0.050689480,-0.076355160,-0.018406218
1784827062.848519802,0.057439292,-0.072940600,-0.014166321
1784827062.850035429,0.055984148,-0.076860643,-0.011862433
1784827062.851593733,0.057655756,-0.071015575,-0.015716106
1784827062.853189230,0.053240591,-0.072220040,-0.021382344
1784827062.859934330,0.052057440,-0.077362499,-0.016625898
1784827062.861646652,0.057256024,-0.069829681,-0.013350482
1784827062.863176823,0.055431292,-0.067459323,-0.012718592
1784827062.865038633,0.054287325,-0.073961960,-0.015456752
1784827062.866555214,0.054150573,-0.073788654,-0.012100702
1784827062.872607470,0.056555276,-0.068294687,-0.012549214
1784827062.873981714,0.055929801,-0.078407657,-0.014492090
1784827062.875141382,0.055985001,-0.071166299,-0.011929906
1784827062.876543760,0.052663652,-0.074045766,-0.016514816
1784827062.878308296,0.057024148,-0.075110670,-0.012681187
1784827062.880033255,0.055067429,-0.081099230,-0.010570395
1784827062.883632898,0.057179339,-0.071417548,-0.015972623
1784827062.884857416,0.055881679,-0.072351428,-0.014448600
1784827062.886744261,0.053932451,-0.078262739,-0.012303041
1784827062.888373852,0.056495284,-0.076083084,-0.013572863
1784827062.890051126,0.055939115,-0.072761169,-0.014499766
1784827062.891620159,0.055780650,-0.068676243,-0.017773894
1784827062.897484541,0.049259102,-0.071920377,-0.011952868
1784827062.898512840,0.057702155,-0.074144310,-0.011023602
1784827062.900117159,0.056692622,-0.070550818,-0.016925859
1784827062.901636839,0.051710589,-0.075634547,-0.020947467
1784827062.903208494,0.054545921,-0.076343042,-0.014730282
1784827062.909961462,0.057688467,-0.076408181,-0.012670829
1784827062.911726713,0.052530231,-0.077502288,-0.020022504
1784827062.913354397,0.055193515,-0.074987207,-0.013015954
1784827062.915098906,0.058949008,-0.074649640,-0.013406788
1784827062.916671276,0.056053914,-0.077969572,-0.016209815
1784827062.922470093,0.052939107,-0.066216380,-0.015679183
1784827062.923504353,0.056032595,-0.074387423,-0.010294087
1784827062.925008297,0.056181497,-0.072878646,-0.015322399
1784827062.926521540,0.050693071,-0.078753271,-0.020127493
1784827062.928282738,0.053207339,-0.082453264,-0.016425546
1784827062.930492401,0.058114642,-0.073733331,-0.015994592
1784827062.931590796,0.055086741,-0.072613218,-0.018755346
1784827062.934904575,0.052909099,-0.074170370,-0.016589900
1784827062.936573267,0.056751620,-0.076446284,-0.009394986
1784827062.938367128,0.054654698,-0.077356770,-0.011277748
1784827062.940101147,0.056402082,-0.074855138,-0.016077298
1784827062.941737175,0.053812532,-0.078747097,-0.020474012
1784827062.945178509,0.050599661,-0.076438700,-0.020861152
1784827062.947487593,0.053679240,-0.080000833,-0.012129698
1784827062.948551416,0.053517375,-0.074169213,-0.017096254
1784827062.949836493,0.050814519,-0.074351602,-0.017422119
1784827062.951604605,0.053941583,-0.080123516,-0.017836259
1784827062.953371763,0.053158073,-0.073145519,-0.014566331
1784827062.960099936,0.057334067,-0.073351908,-0.016640119
1784827062.961646318,0.056630707,-0.073960273,-0.014172617
1784827062.963160992,0.054934241,-0.075319594,-0.017550699
1784827062.965080976,0.051808214,-0.078169802,-0.016979230
1784827062.966625214,0.051790683,-0.082602019,-0.016782558
1784827062.972485542,0.054930475,-0.083702004,-0.013980319
1784827062.973534107,0.055554374,-0.074598092,-0.011454589
1784827062.975073576,0.053607326,-0.073927563,-0.018330929
1784827062.976617575,0.052795075,-0.078672672,-0.015738802
1784827062.978382826,0.054669497,-0.078045974,-0.013741741
1784827062.984783173,0.058238805,-0.076351722,-0.011815460
1784827062.986557007,0.050425783,-0.084119348,-0.017165172
1784827062.988172770,0.052148178,-0.077266107,-0.009543413
1784827062.990070105,0.049199557,-0.079499649,-0.020508291
1784827062.991593599,0.051353965,-0.078628937,-0.013601645
1784827062.997491598,0.049402269,-0.082378821,-0.012803975
1784827062.998514891,0.045449859,-0.086114744,-0.020377604
1784827063.000040770,0.051268534,-0.076594231,-0.011899096
1784827063.001611471,0.055177790,-0.075292733,-0.015720611
1784827063.003363848,0.048614108,-0.077063607,-0.017669386
1784827063.007552385,0.048569131,-0.083317034,-0.015772893
1784827063.008475780,0.055947294,-0.075721328,-0.012196402
1784827063.010067463,0.052024939,-0.073278578,-0.014198433
1784827063.011590719,0.045654740,-0.084472773,-0.022434315
1784827063.013229609,0.052143323,-0.083097611,-0.011168791
1784827063.014981508,0.050723921,-0.084048500,-0.011165186
1784827063.016518831,0.050633617,-0.075226965,-0.015664128
1784827063.022519112,0.048361847,-0.076916402,-0.016638549
1784827063.023605824,0.050718617,-0.083217464,-0.014375766
1784827063.024881601,0.048786188,-0.075723021,-0.012360167
1784827063.026643515,0.044716268,-0.081318396,-0.018053976
1784827063.028183460,0.050115380,-0.084320683,-0.013417847
1784827063.034864187,0.051071560,-0.077557295,-0.014513491
1784827063.036639929,0.050673162,-0.083096498,-0.009159263
1784827063.038337946,0.050717372,-0.080504238,-0.011766870
1784827063.040094614,0.052234701,-0.079279808,-0.015931631
1784827063.041605473,0.047710071,-0.081626247,-0.018519000
1784827063.047454357,0.045251691,-0.081532709,-0.011173898
1784827063.048484325,0.049329045,-0.079209587,-0.016021446
1784827063.050013781,0.046644593,-0.082960303,-0.012616674
1784827063.051515102,0.050444052,-0.080948690,-0.007595539
1784827063.053271055,0.054082890,-0.077733885,-0.015053263
1784827063.059936285,0.049526637,-0.074443966,-0.012935331
1784827063.061706305,0.048776772,-0.079996751,-0.009408260
1784827063.063349724,0.051020100,-0.077551511,-0.009411521
1784827063.065068245,0.047102856,-0.079195507,-0.018593498
1784827063.066578627,0.047713715,-0.076444772,-0.012119507
1784827063.072482586,0.047209679,-0.080272180,-0.006027523
1784827063.073519468,0.049625724,-0.083274604,-0.010600123
1784827063.075037479,0.050185667,-0.082478156,-0.009795641
1784827063.076548815,0.046054550,-0.081754911,-0.011755859
1784827063.078287363,0.048563498,-0.078880843,-0.014267290
1784827063.083662987,0.048822061,-0.082167460,-0.017462600
1784827063.085116625,0.047901383,-0.082586756,-0.012407273
1784827063.086561680,0.048959810,-0.081515409,-0.014055493
1784827063.088162184,0.049975761,-0.077202083,-0.015175913
1784827063.090051174,0.049231818,-0.079390883,-0.018383303
1784827063.091629744,0.045639441,-0.077559324,-0.012103501
1784827063.097453356,0.048210870,-0.085493545,-0.008032892
1784827063.098488092,0.043131218,-0.087427945,-0.016475485
1784827063.100057125,0.049323743,-0.081450768,-0.009241743
1784827063.101570606,0.051854024,-0.081168234,-0.009034003
1784827063.103359938,0.050665563,-0.077418914,-0.016094051
1784827063.110073805,0.048304013,-0.081387198,-0.018395848
1784827063.111588478,0.049735913,-0.076994288,-0.012065299
1784827063.113346815,0.046208010,-0.079138183,-0.015403617
1784827063.114985466,0.046344837,-0.079557806,-0.011222118
1784827063.116705418,0.047373270,-0.082821772,-0.012613077
1784827063.119217634,0.049589084,-0.078718982,-0.010352588
1784827063.120248556,0.048855314,-0.078211658,-0.016322767
1784827063.121642113,0.048739714,-0.080996651,-0.013680800
1784827063.126689911,0.049175474,-0.086417652,-0.010813043
1784827063.128220081,0.050093436,-0.074676975,-0.016552286
1784827063.129949331,0.044217737,-0.078256693,-0.014995672
1784827063.131742239,0.046196401,-0.084599983,-0.010361022
1784827063.133251429,0.052249960,-0.079017789,-0.006524907
1784827063.139233589,0.047654462,-0.076878751,-0.010874983
1784827063.140278339,0.048859544,-0.085066768,-0.013659838
1784827063.141622782,0.051713056,-0.075579978,-0.015055498
1784827063.143367290,0.049052311,-0.076143713,-0.018510966
1784827063.144920349,0.048206872,-0.078372279,-0.011790298
1784827063.146932364,0.047012022,-0.081875039,-0.011663151
1784827063.151658535,0.048048471,-0.081480253,-0.016590129
1784827063.153310061,0.047028639,-0.078036358,-0.015270391
1784827063.154855251,0.047214352,-0.079398271,-0.010303295
1784827063.156700373,0.050136867,-0.084820469,-0.014754647
1784827063.158236265,0.047225626,-0.078537835,-0.018604934
1784827063.161870718,0.049782838,-0.078795188,-0.014382999
1784827063.164136887,0.048747641,-0.083104971,-0.013245991
1784827063.165165186,0.049888785,-0.078574920,-0.018580907
1784827063.166697979,0.055109794,-0.079861366,-0.013385254
1784827063.168201208,0.046844248,-0.076862905,-0.017969682
1784827063.169983864,0.049571185,-0.079902545,-0.011072773
1784827063.176734686,0.051592115,-0.080431356,-0.015967460
1784827063.178290606,0.047915274,-0.082247281,-0.013492806
1784827063.180044651,0.048189780,-0.080730963,-0.011031882
1784827063.181694984,0.053883152,-0.080477827,-0.013330525
1784827063.183216095,0.048514540,-0.081913794,-0.015921840
1784827063.189143896,0.042901650,-0.077492413,-0.018007897
1784827063.190171003,0.050177733,-0.078226747,-0.018555512
1784827063.191676378,0.049068937,-0.080177323,-0.016013183
1784827063.193184137,0.046971643,-0.083729410,-0.015069084
1784827063.194931984,0.050303723,-0.081357596,-0.011713514
1784827063.201629877,0.051041725,-0.074532589,-0.012935716
1784827063.203167915,0.048911310,-0.080738128,-0.009285457
1784827063.204915285,0.051885564,-0.082025503,-0.014134576
1784827063.206689358,0.049692603,-0.078932172,-0.019372909
1784827063.208210707,0.048750763,-0.079555316,-0.014464672
1784827063.214044333,0.048266315,-0.082178655,-0.013444921
1784827063.215073586,0.051331172,-0.083159916,-0.010788075
1784827063.216610670,0.049984192,-0.078834349,-0.011880292
1784827063.218355179,0.052645270,-0.072774195,-0.013848489
1784827063.219965219,0.045883807,-0.080462889,-0.021090932
1784827063.223292112,0.043513998,-0.083250910,-0.011082231
1784827063.226577759,0.050409556,-0.083329649,-0.009976352
1784827063.228328943,0.049616178,-0.078971071,-0.019435217
1784827063.229948044,0.049813830,-0.080319112,-0.014369507
1784827063.231669664,0.047643210,-0.082108071,-0.015242712
1784827063.233161688,0.048284236,-0.083743341,-0.015951293
1784827063.239049911,0.051972351,-0.073057848,-0.018924736
1784827063.240097284,0.053097114,-0.081155137,-0.011741707
1784827063.241611004,0.048331075,-0.077334833,-0.018007596
1784827063.243359089,0.043572449,-0.082791081,-0.015510004
1784827063.244992018,0.046907863,-0.081393990,-0.011390816
1784827063.251574039,0.054198854,-0.076445592,-0.017167388
1784827063.253331423,0.051629554,-0.082983148,-0.011220966
1784827063.255014896,0.050467473,-0.080783626,-0.016517042
1784827063.256655455,0.047336162,-0.076360607,-0.018536523
1784827063.258197069,0.047871918,-0.081173087,-0.012583160
1784827063.264100790,0.045423867,-0.081219026,-0.012610726
1784827063.265140057,0.046304864,-0.083542405,-0.015131622
1784827063.266694069,0.050038111,-0.079040044,-0.016009943
1784827063.268236399,0.049486340,-0.079527178,-0.021119323
1784827063.269987106,0.047497254,-0.079057251,-0.016324350
1784827063.276593447,0.047248342,-0.080468606,-0.018811311
1784827063.278287649,0.049009924,-0.076140439,-0.018183840
1784827063.280051231,0.049262982,-0.081457901,-0.009792384
1784827063.281689167,0.054317414,-0.079822442,-0.014630858
1784827063.283202410,0.052894121,-0.076521175,-0.014991457
1784827063.285650730,0.047884890,-0.080071332,-0.021621493
1784827063.286553860,0.048742184,-0.081292372,-0.011631738
1784827063.289122581,0.048202601,-0.077303094,-0.016761712
1784827063.290252924,0.047488419,-0.077001827,-0.018638970
1784827063.291634798,0.047506678,-0.080691263,-0.015130642
1784827063.293245554,0.048164142,-0.081813280,-0.012702377
1784827063.295014858,0.049817887,-0.079978020,-0.013647591
1784827063.301681995,0.049386727,-0.077607572,-0.013798313
1784827063.303389311,0.048789935,-0.082444378,-0.014477747
1784827063.304961443,0.052535503,-0.078098220,-0.015506977
1784827063.306653738,0.052259015,-0.077255929,-0.019608828
1784827063.308203697,0.050608028,-0.081442055,-0.020433502
1784827063.314080000,0.046830996,-0.081073662,-0.010638932
1784827063.315126181,0.050015184,-0.075638737,-0.014190911
1784827063.316635132,0.047721185,-0.084735955,-0.015534449
1784827063.318162203,0.047663279,-0.079488478,-0.010867823
1784827063.319935560,0.050490974,-0.078390812,-0.017518951
1784827063.326614857,0.049482181,-0.075177176,-0.016026657
1784827063.328356504,0.055358148,-0.077294873,-0.012627356
1784827063.329994440,0.049609363,-0.074266137,-0.017082038
1784827063.331800461,0.047734444,-0.078791871,-0.021124833
1784827063.333333254,0.051021931,-0.085697548,-0.013542827
1784827063.339075089,0.053230477,-0.080252099,-0.016090247
1784827063.340114355,0.048563884,-0.081551201,-0.013885595
1784827063.341616392,0.051069652,-0.080863802,-0.017912640
1784827063.343352318,0.048617112,-0.076243426,-0.015004630
1784827063.344985008,0.046275391,-0.077175599,-0.020131618
1784827063.348138332,0.050436647,-0.080642736,-0.019968080
1784827063.351611614,0.052376166,-0.074814908,-0.013513870
1784827063.353383064,0.050463695,-0.070161148,-0.022106417
1784827063.355006218,0.044956974,-0.073563713,-0.017384743
1784827063.356637716,0.046598097,-0.074580469,-0.015647268
1784827063.358369112,0.047579590,-0.072850468,-0.021568234
1784827063.363364220,0.049655219,-0.066968148,-0.020882130
1784827063.364861965,0.046037081,-0.071928231,-0.016160430
1784827063.366674662,0.044773344,-0.068195439,-0.013143092
1784827063.368206024,0.046205260,-0.065018539,-0.019010625
1784827063.369831085,0.045226583,-0.067042912,-0.025686928
1784827063.376576424,0.046087178,-0.066753907,-0.017525824
1784827063.378346920,0.043942212,-0.059832195,-0.018750455
1784827063.380012512,0.046811104,-0.067686957,-0.015351932
1784827063.381690741,0.046090219,-0.062814619,-0.021292120
1784827063.383217335,0.047531483,-0.057933734,-0.024829542
1784827063.389207602,0.047084324,-0.061292816,-0.019918996
1784827063.390243292,0.049207138,-0.057643920,-0.020926320
1784827063.391566992,0.048528022,-0.064872356,-0.023321631
1784827063.393326521,0.050994383,-0.060669513,-0.017783562
1784827063.394877434,0.053071212,-0.061228919,-0.018744400
1784827063.401592255,0.054221241,-0.060096403,-0.026214345
1784827063.403364658,0.050692690,-0.065633353,-0.024824508
1784827063.405006647,0.058379064,-0.057630135,-0.018204651
1784827063.406707525,0.053886580,-0.055210679,-0.024953493
1784827063.408220053,0.051440245,-0.055705040,-0.020966768
1784827063.410054445,0.051936947,-0.058221370,-0.020961601
1784827063.414095402,0.052062315,-0.058312852,-0.020944210
1784827063.415142059,0.049808495,-0.052500283,-0.021255841
1784827063.416654587,0.050616202,-0.058883447,-0.017856880
1784827063.418174028,0.056582363,-0.055841490,-0.024532860
1784827063.419941425,0.050134982,-0.055466916,-0.028053256
1784827063.425338984,0.052959830,-0.048531394,-0.023038853
1784827063.426566362,0.052710226,-0.047819120,-0.027166464
1784827063.428394318,0.051870430,-0.048693851,-0.022417294
1784827063.430042028,0.048695313,-0.056006206,-0.025036979
1784827063.431705236,0.056234100,-0.051451223,-0.019118013
1784827063.433235884,0.055602027,-0.051695695,-0.024170819
1784827063.439117432,0.047982217,-0.050360960,-0.027506940
1784827063.440157652,0.053703205,-0.050762525,-0.020158096
1784827063.441660881,0.054437179,-0.049726310,-0.025036961
1784827063.443180799,0.052681054,-0.042178749,-0.025167321
1784827063.444923401,0.053213152,-0.049937017,-0.024507030
1784827063.451559544,0.053462097,-0.052048744,-0.022861880
1784827063.453320503,0.053227500,-0.041566962,-0.024478992
1784827063.454957962,0.048975241,-0.050113093,-0.025484963
1784827063.456600428,0.055389783,-0.053694898,-0.023000521
1784827063.458332300,0.052291551,-0.051348060,-0.023011096
1784827063.464172840,0.057023432,-0.045402685,-0.031126218
1784827063.465235472,0.057364109,-0.046816990,-0.022936417
1784827063.466511726,0.057813049,-0.049108504,-0.022875213
1784827063.468270779,0.052173675,-0.044880738,-0.011066578
1784827063.470038891,0.051814470,-0.047089811,-0.000965943
1784827063.476632118,0.048348218,-0.039430663,0.000972297
1784827063.478191853,0.052747447,-0.048281277,0.016277666
1784827063.479947090,0.048212223,-0.044379530,0.018044489
1784827063.481679916,0.046183356,-0.043438462,0.019014993
1784827063.483189821,0.041686735,-0.048938675,0.015604502
1784827063.486727953,0.047303879,-0.055628624,0.021388300
1784827063.489066839,0.041494218,-0.052448157,0.017389797
1784827063.490108490,0.041281786,-0.063265987,0.015567239
1784827063.491634130,0.045681816,-0.063410627,0.016413420
1784827063.493386269,0.048797719,-0.062658704,0.017202947
1784827063.495050669,0.046777565,-0.067010209,0.012980711
1784827063.501602888,0.053864985,-0.077200462,0.018636830
1784827063.503357649,0.063181863,-0.081135873,0.013523197
1784827063.504966736,0.065449365,-0.091866380,0.011563048
1784827063.506715536,0.071381877,-0.092218109,0.013151828
1784827063.508217573,0.078868479,-0.094426352,0.011180783
1784827063.514007092,0.074567119,-0.096637769,0.008714778
1784827063.515059948,0.089522863,-0.099270701,0.003141488
1784827063.516567230,0.085393649,-0.101259664,-0.001970850
1784827063.518315792,0.089901331,-0.103323447,0.003463903
1784827063.519964218,0.091793524,-0.101263433,-0.000131987
1784827063.526594639,0.096769516,-0.099079363,-0.001831131
1784827063.528359175,0.100649399,-0.105069571,-0.003988659
1784827063.529990435,0.097293372,-0.094610437,-0.007471170
1784827063.531681061,0.094885766,-0.098622585,-0.010122669
1784827063.533205748,0.096001820,-0.096240117,-0.009489509
1784827063.539067984,0.094054473,-0.100600027,-0.007791587
1784827063.540119171,0.098353605,-0.104375396,-0.009822245
1784827063.541645050,0.098159296,-0.104227227,-0.008233844
1784827063.543156385,0.095589182,-0.098817610,-0.009010465
1784827063.544914484,0.095646848,-0.095411330,-0.008291760
1784827063.549670935,0.095736817,-0.098130489,-0.011711444
1784827063.550593853,0.092939968,-0.095598975,-0.002454059
1784827063.551502705,0.095099496,-0.098242758,-0.001680404
1784827063.553267717,0.092060727,-0.094542909,-0.008384243
1784827063.554900408,0.087252413,-0.091830199,-0.009266318
1784827063.556736708,0.094664326,-0.098571095,-0.005562203
1784827063.558309078,0.094325954,-0.102230677,-0.004172484
1784827063.564065695,0.098930306,-0.091524903,-0.007288024
1784827063.565106153,0.096807813,-0.106767115,-0.004726871
1784827063.566626310,0.103393255,-0.100624814,-0.008688492
1784827063.568367004,0.102733144,-0.095965291,-0.010438566
1784827063.570019245,0.099692112,-0.099569464,-0.014965137
1784827063.576672792,0.100228324,-0.103174913,-0.014307943
1784827063.578208685,0.099894521,-0.095591817,-0.009208584
1784827063.579966784,0.095623896,-0.095240407,-0.016065017
1784827063.581704855,0.089031980,-0.108508825,-0.018948592
1784827063.583316803,0.094465233,-0.106294761,-0.011705615
1784827063.589064121,0.089685957,-0.100836216,-0.014727573
1784827063.590142727,0.074911560,-0.095080441,-0.005239406
1784827063.591652870,0.074033017,-0.083723049,-0.006314773
1784827063.593162775,0.067369502,-0.075885866,-0.005960507
1784827063.594923735,0.062347478,-0.076368289,-0.007780308
1784827063.601693392,0.053782137,-0.074592868,0.000926385
1784827063.603249550,0.039022397,-0.058490507,0.012223504
1784827063.604918718,0.032616451,-0.054898416,0.015779977
1784827063.606555700,0.031181206,-0.058744811,0.018129099
1784827063.608209610,0.027740523,-0.058225001,0.023997831
1784827063.611341000,0.024693591,-0.048523084,0.028125136
1784827063.612368107,0.010637738,-0.048430119,0.029589242
1784827063.613331795,0.016131530,-0.038760939,0.045915730
1784827063.614895821,0.026592906,-0.036401203,0.059497092
1784827063.616569042,0.045424950,-0.028609153,0.060549906
1784827063.618275642,0.054694470,-0.024136810,0.065696413
1784827063.619980097,0.057470384,-0.027098047,0.078203668
1784827063.626642942,0.062477536,-0.012478757,0.103865379
1784827063.628371000,0.073348296,0.017696522,0.126089651
1784827063.629906654,0.085704492,0.019152543,0.138594275
1784827063.631684780,0.094138579,0.030366701,0.154569022
1784827063.633212566,0.109420522,0.037944788,0.164348676
1784827063.639147043,0.122154703,0.052726944,0.176345526
1784827063.640191793,0.154147718,0.086811413,0.231913491
1784827063.641704321,0.159767163,0.096296697,0.240512610
1784827063.643282175,0.167407088,0.105856364,0.252566520
1784827063.644865990,0.175167319,0.108231745,0.260706708
1784827063.646522284,0.186322698,0.113578853,0.276941722
1784827063.652676821,0.192689967,0.118334072,0.286849471
1784827063.653822422,0.210314166,0.137547170,0.317742362
1784827063.654964447,0.217869799,0.145136461,0.327675050
1784827063.656582832,0.222109367,0.149966398,0.334722700
1784827063.658365250,0.229700339,0.161997620,0.344681902
1784827063.659930944,0.230770640,0.165596073,0.349452816
1784827063.664140701,0.238731272,0.169539074,0.359851375
1784827063.665225744,0.247166032,0.175559439,0.371124599
1784827063.666520834,0.250151147,0.183998709,0.376280960
1784827063.668341160,0.253889098,0.182793376,0.380446361
1784827063.669913530,0.253358905,0.180384568,0.384894243
1784827063.673113108,0.256611114,0.179489257,0.387396031
1784827063.674037695,0.262589629,0.190109215,0.388352939
1784827063.674969673,0.260637769,0.185792962,0.388240067
1784827063.676634789,0.263940797,0.182028367,0.386962017
1784827063.678180695,0.268486746,0.180906985,0.391904353
1784827063.680003881,0.272945577,0.176672928,0.395589013
1784827063.681719065,0.274855390,0.183749553,0.393016873
1784827063.683242083,0.272550368,0.175446691,0.388245214
1784827063.689110518,0.274918641,0.173397450,0.386307824
1784827063.690198421,0.277127635,0.169003238,0.380972017
1784827063.691491365,0.276943622,0.160753757,0.385073139
1784827063.693243027,0.281558292,0.154513159,0.379096797
1784827063.695008993,0.286097004,0.154465381,0.373551895
1784827063.701708794,0.284062485,0.147876527,0.365461419
1784827063.703227043,0.285507698,0.127851009,0.356788443
1784827063.704979897,0.286720228,0.127885100,0.356960219
1784827063.706708193,0.291862292,0.132380016,0.346330382
1784827063.708242416,0.291632812,0.126858688,0.339094449
1784827063.714056015,0.292442321,0.116288429,0.338659767
1784827063.715106487,0.297715396,0.110453792,0.323318718
1784827063.716616869,0.298864363,0.102567022,0.329890663
1784827063.718366146,0.301523914,0.099153823,0.324575399
1784827063.719980717,0.306321894,0.102902683,0.319745417
1784827063.726600170,0.303071036,0.098153824,0.311029041
1784827063.728374958,0.308156226,0.093085454,0.315903883
1784827063.729995728,0.307481240,0.101339191,0.315874461
1784827063.731673002,0.302840858,0.100214616,0.312631508
1784827063.733309746,0.305444317,0.099964274,0.318073007
1784827063.736620903,0.307030912,0.097931985,0.321907823
1784827063.738993168,0.311993678,0.114827233,0.327580576
1784827063.740091085,0.307810774,0.116837826,0.344899464
1784827063.741636038,0.302772673,0.118436224,0.349763643
1784827063.743172646,0.302629434,0.136707940,0.353248182
1784827063.744908333,0.299081844,0.137757472,0.353505200
1784827063.751420736,0.304320793,0.143580577,0.365478141
1784827063.752326488,0.298616266,0.172701976,0.392298383
1784827063.753375292,0.297964590,0.181009519,0.409341604
1784827063.754935741,0.295780022,0.193581100,0.432236273
1784827063.756661654,0.298209895,0.209872876,0.448490292
1784827063.758169889,0.288361578,0.232351383,0.466467488
1784827063.764122248,0.284691306,0.248085572,0.495945482
1784827063.765152454,0.279961240,0.317761564,0.582724262
