source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1782423612.909782887,0.011277980,-0.017531350,0.123664971,-0.252982620,-0.053774185,0.539075413
1782423612.916968822,0.013438685,-0.016185575,0.128617867,-0.259134804,-0.074946868,0.558751705
1782423612.918078899,0.013454572,-0.018853733,0.128723121,-0.261747111,-0.099747975,0.548568651
1782423612.919599771,0.009103432,-0.021489965,0.128603881,-0.263890339,-0.049144610,0.538669715
1782423612.922098875,0.022265454,-0.018830547,0.126664420,-0.260164532,-0.136556378,0.518527135
1782423612.923091173,0.013482890,-0.024018172,0.126313005,-0.278995042,-0.059362733,0.528323959
1782423612.929686308,0.013434080,-0.018784971,0.123701978,-0.275152691,-0.091385552,0.548736260
1782423612.931213617,0.013500078,-0.016353868,0.126352114,-0.231710230,-0.108018606,0.529098830
1782423612.932941437,0.015606964,-0.020068034,0.128803793,-0.255391616,-0.088278920,0.558020754
1782423612.934767485,0.011293866,-0.020199509,0.123770225,-0.255594927,-0.078575292,0.528892360
1782423612.938183784,0.011305039,-0.020243720,0.126269881,-0.256023529,-0.095026609,0.528860741
1782423612.941922903,0.011259605,-0.020065634,0.130963890,-0.297234055,-0.053908223,0.558579082
1782423612.942962646,0.011309825,-0.020189716,0.126198480,-0.269380879,-0.070528644,0.528957825
1782423612.944640160,0.013430372,-0.018745650,0.123745642,-0.246627124,-0.042305130,0.548527516
1782423612.947244406,0.013566330,-0.013790207,0.126337962,-0.228816651,-0.083744626,0.509791559
1782423612.948038816,0.013516409,-0.024150806,0.133811973,-0.280280847,-0.108716683,0.528229103
1782423612.953242779,0.011309825,-0.020189716,0.126198480,-0.269380879,-0.070528644,0.528957825
1782423612.954717398,0.011330317,-0.020258479,0.131219624,-0.255975299,-0.078891067,0.528790216
1782423612.956239700,0.015597826,-0.022588875,0.121295015,-0.298601036,-0.088308535,0.548238385
1782423612.957957983,0.011284366,-0.017629565,0.126236027,-0.240053871,-0.094723466,0.538946710
1782423612.959543705,0.015673144,-0.020182324,0.126466639,-0.241324392,-0.096852694,0.528464964
1782423612.966975212,0.011303004,-0.017678668,0.131279003,-0.212385507,-0.078545677,0.538674729
1782423612.968021631,0.017843349,-0.021406492,0.128953734,-0.263017632,-0.101877203,0.538086904
1782423612.969619513,0.006958133,-0.012473825,0.126034927,-0.207364204,-0.019239835,0.529912442
1782423612.972266436,0.013498225,-0.016334208,0.126373946,-0.217447447,-0.083478395,0.528994458
1782423612.973059177,0.011319144,-0.020214268,0.128719968,-0.255546697,-0.062439750,0.528821835
1782423612.979645967,0.011316284,-0.017609981,0.131092538,-0.267625775,-0.078630171,0.539077642
1782423612.981266260,0.015695742,-0.020138188,0.128801662,-0.282730478,-0.088848294,0.528731886
1782423612.982889175,0.015674998,-0.020201984,0.126444807,-0.255587176,-0.121392905,0.528569336
1782423612.984553099,0.013429738,-0.023967754,0.131127983,-0.307753650,-0.091780486,0.557952503
1782423612.991914749,0.009160184,-0.016356360,0.131055531,-0.245455704,-0.041018803,0.529416795
1782423612.992973804,0.011259532,-0.022743585,0.128640888,-0.286060410,-0.086755977,0.548330562
1782423612.994655609,0.013421244,-0.023982437,0.131243047,-0.265870733,-0.067198028,0.557646674
1782423612.997080326,0.011266626,-0.014941746,0.126152605,-0.223178780,-0.045382147,0.549025392
1782423612.997881651,0.011330498,-0.022803871,0.126232334,-0.285350537,-0.070831787,0.518871856
1782423613.004546881,0.015636775,-0.020161348,0.136346424,-0.228151853,-0.088552448,0.557717154
1782423613.006842613,0.011218368,-0.020060668,0.123585890,-0.283496333,-0.078090412,0.558584141
1782423613.007903337,0.011241539,-0.020188325,0.131221754,-0.228636437,-0.078321693,0.558079084
1782423613.009564877,0.015674817,-0.017656592,0.131432097,-0.226211938,-0.129452185,0.538487696
1782423613.014934778,0.020057135,-0.022789086,0.126768651,-0.229237563,-0.123479887,0.517886132
1782423613.016925335,0.011314539,-0.022813663,0.123804078,-0.271564585,-0.078878435,0.518806390
1782423613.017966270,0.011218368,-0.020060668,0.123585890,-0.283496333,-0.078090412,0.558584141
1782423613.019609928,0.013500522,-0.021482647,0.133706719,-0.277668539,-0.083915576,0.538412157
1782423613.022163391,0.015691137,-0.022737583,0.123885772,-0.298748366,-0.105286978,0.518716441
