source_timestamp_sec,Fx,Fy,Fz
1782412238.815807581,-0.004785943,-0.027489512,0.012823047
1782412238.817361832,-0.005358313,-0.022598733,0.012319935
1782412238.821320057,-0.006094608,-0.024703686,0.014959221
1782412238.823219538,-0.006767674,-0.032418777,0.013738786
1782412238.824084520,-0.004505191,-0.029666327,0.013197762
1782412238.825648785,-0.007124633,-0.024412090,0.017340119
1782412238.828463316,-0.006818563,-0.026827119,0.017617731
1782412238.829329014,0.000554722,-0.029394468,0.012744723
1782412238.830661297,-0.002709106,-0.037494588,0.011608747
1782412238.835945368,-0.007618694,-0.025033546,0.012991446
1782412238.837304354,-0.006028795,-0.030398762,0.010958586
1782412238.839085817,-0.002732060,-0.032025374,0.015384224
1782412238.840746164,-0.001714966,-0.032097202,0.013119802
1782412238.842318058,-0.001996100,-0.029719155,0.012880686
1782412238.848174810,-0.008173481,-0.020130366,0.012360297
1782412238.849023819,-0.001604412,-0.019424710,0.013997694
1782412238.850686789,-0.002489679,-0.028830768,0.019520644
1782412238.853607416,-0.009650973,-0.024572724,0.017649885
1782412238.854467630,-0.006300930,-0.031875968,0.018055481
1782412238.855814934,-0.006867065,-0.023032414,0.010229831
1782412238.860953808,-0.005322458,-0.028086409,0.008564005
1782412238.862282753,-0.006313047,-0.031857049,0.018037075
1782412238.864076138,-0.006310010,-0.027819619,0.010854818
1782412238.865842342,-0.005471439,-0.035186043,0.011583479
1782412238.867477417,-0.005991768,-0.034376254,0.018191663
1782412238.873244762,-0.003746841,-0.031636175,0.017778666
1782412238.874092817,-0.002555681,-0.024846969,0.012396724
1782412238.875662327,-0.005830965,-0.027094061,0.015326495
1782412238.878540993,-0.004741417,-0.037033621,0.016267313
1782412238.879396915,-0.007767832,-0.032133216,0.016010944
1782412238.880720139,-0.004319625,-0.026745296,0.017275631
1782412238.882567406,-0.006767477,-0.032619955,0.013603240
1782412238.885944605,-0.000942228,-0.033969590,0.017713832
1782412238.887288332,-0.004507482,-0.029782337,0.013203775
1782412238.889065504,-0.003788822,-0.027689847,0.010692360
1782412238.890816689,-0.009076195,-0.029548626,0.018011433
1782412238.892375708,-0.005258546,-0.032186149,0.015693725
1782412238.898003578,-0.009621659,-0.026089397,0.006551209
1782412238.898967981,-0.003226495,-0.032445919,0.011170668
1782412238.900634050,-0.001502603,-0.029097342,0.017229888
1782412238.903577328,-0.004589112,-0.024385931,0.017055262
1782412238.904443502,-0.006514930,-0.034875668,0.013945138
1782412238.905807495,-0.001999232,-0.029634058,0.013021949
1782412238.910926819,-0.008885099,-0.022473868,0.014901555
1782412238.912479401,-0.005459019,-0.035204478,0.011603048
1782412238.913944483,-0.002717309,-0.031927686,0.015397919
1782412238.915869474,-0.003558368,-0.024677407,0.014674795
1782412238.917337179,-0.002810795,-0.026512717,0.019230392
1782412238.923286676,-0.007288737,-0.031608865,0.020346916
1782412238.924246788,-0.005537544,-0.029691909,0.015448933
1782412238.925630093,-0.003586292,-0.024555312,0.014777557
1782412238.927303791,-0.004214042,-0.032380363,0.013325863
1782412238.929019213,-0.007337920,-0.027613037,0.013094136
1782412238.935811281,-0.008834332,-0.028065381,0.011022793
1782412238.937392950,-0.001690838,-0.032134435,0.013157812
1782412238.939055681,-0.005080575,-0.024891589,0.012700287
1782412238.940782547,-0.003478394,-0.030074142,0.010822188
1782412238.942340136,-0.001982026,-0.029621686,0.012893809
1782412238.944705486,-0.004014272,-0.029160600,0.017552685
1782412238.948185444,-0.005052959,-0.025013865,0.012597166
1782412238.949023962,-0.008853100,-0.031999282,0.018326875
1782412238.950691700,-0.002504972,-0.028927956,0.019507695
1782412238.953556538,-0.007795667,-0.032413434,0.015842309
1782412238.954416037,-0.006208942,-0.037290949,0.014222346
1782412238.955727100,-0.000499963,-0.029467972,0.014816395
1782412238.960231066,-0.003011731,-0.029329828,0.015275193
1782412238.961007595,-0.006095193,-0.024703439,0.014959391
1782412238.962364197,-0.005333899,-0.022434350,0.012494316
1782412238.963932991,-0.002160297,-0.036714754,0.016023342
1782412238.965775013,-0.006537386,-0.029406197,0.017721421
1782412238.967372179,-0.004307476,-0.026763919,0.017294611
1782412238.973221302,-0.005577495,-0.029752272,0.015397235
1782412238.974060297,-0.003305168,-0.026933284,0.015016805
1782412238.975686550,-0.007325767,-0.027631676,0.013112969
1782412238.978581905,-0.004790450,-0.031527180,0.020004489
1782412238.979449272,-0.003292968,-0.027153224,0.014899917
1782412238.980779409,-0.001730956,-0.032194938,0.013105763
1782412238.985918045,-0.007823380,-0.032291065,0.015945570
1782412238.987481594,-0.007102396,-0.030082350,0.013428567
1782412238.989135742,0.000059693,-0.030217608,0.008259386
1782412238.990827322,-0.004978931,-0.034564229,0.015932298
1782412238.992408752,-0.011415541,-0.026672275,0.022392536
1782412238.998115540,-0.004523974,-0.029880044,0.013189429
1782412238.998958349,-0.002987404,-0.029568696,0.015176706
