source_timestamp_sec,Fx,Fy,Fz
1782422512.855002880,0.138771105,-0.134930968,-0.025361219
1782422512.856676340,0.139314918,-0.142990890,-0.028909795
1782422512.858337402,0.138596130,-0.139880897,-0.025265714
1782422512.860000372,0.139958515,-0.139420969,-0.027150275
1782422512.861715317,0.138232338,-0.142367515,-0.029437425
1782422512.863392830,0.135535356,-0.143065449,-0.025641709
1782422512.864999771,0.138101692,-0.140238586,-0.026071603
1782422512.866669416,0.139954341,-0.141369038,-0.025174517
1782422512.868345499,0.134158853,-0.140013593,-0.030934906
1782422512.869977236,0.136061217,-0.139388777,-0.031833823
1782422512.871712923,0.136807318,-0.139213718,-0.029624351
1782422512.873327494,0.135873555,-0.140114485,-0.029055031
1782422512.875048161,0.136103671,-0.140933814,-0.031578282
1782422512.876712561,0.134733643,-0.142813297,-0.030669204
1782422512.878377199,0.137157705,-0.142732625,-0.033012986
1782422512.880056620,0.135717775,-0.139727031,-0.031661518
1782422512.881707191,0.136991835,-0.138766914,-0.029883961
1782422512.883339643,0.137314836,-0.143261898,-0.029015631
1782422512.885051966,0.134303175,-0.140658016,-0.033516997
1782422512.886706829,0.130721806,-0.143103242,-0.038317805
1782422512.888392210,0.131691374,-0.144089662,-0.037200125
1782422512.890000820,0.135410173,-0.142493222,-0.033797542
1782422512.891667128,0.132611174,-0.143585968,-0.035062300
1782422512.893337488,0.133783919,-0.143331159,-0.036965571
1782422512.895037174,0.132839842,-0.144623793,-0.034872705
1782422512.896668673,0.131288439,-0.144679795,-0.035517184
1782422512.898346424,0.134347163,-0.142427604,-0.037471143
1782422512.900002003,0.133012472,-0.143396944,-0.033959649
1782422512.901711464,0.134050481,-0.141208707,-0.037553163
1782422512.903334141,0.132942332,-0.143401887,-0.033940283
1782422512.904998302,0.133459985,-0.140003676,-0.033613288
1782422512.906673670,0.132880567,-0.146036888,-0.041665172
1782422512.908340693,0.132415806,-0.141566365,-0.036642345
1782422512.910039902,0.130202122,-0.142336833,-0.036714547
1782422512.911710978,0.128080161,-0.146760277,-0.038093302
1782422512.913376093,0.130842586,-0.147355571,-0.037988038
1782422512.915037632,0.130118396,-0.145688532,-0.040650539
1782422512.916665792,0.130134105,-0.144920665,-0.038122055
1782422512.918338776,0.128612131,-0.146463225,-0.043182232
1782422512.920017958,0.127357246,-0.146701348,-0.041201584
1782422512.921669006,0.130223572,-0.147420662,-0.039076769
1782422512.923302650,0.129021362,-0.150384854,-0.037417835
1782422512.925001144,0.127767324,-0.148087753,-0.038623045
1782422512.926665783,0.125044965,-0.145062913,-0.037858599
1782422512.928383350,0.130466155,-0.147852930,-0.036103841
1782422512.930039644,0.127011637,-0.149973710,-0.040560318
1782422512.931725264,0.124637597,-0.149336163,-0.039343570
1782422512.933336020,0.126122356,-0.152643835,-0.038147361
1782422512.935042143,0.123270368,-0.150327220,-0.039873301
1782422512.936666965,0.125317546,-0.155070242,-0.041590788
1782422512.938378096,0.119685572,-0.152783492,-0.041724189
1782422512.940040827,0.119587825,-0.153690775,-0.044225818
1782422512.941666126,0.119995095,-0.151404075,-0.040864983
1782422512.943338156,0.119693949,-0.151453836,-0.041269129
1782422512.945035934,0.121037569,-0.158240906,-0.043078675
1782422512.946668625,0.118393296,-0.154668338,-0.042533793
1782422512.948363543,0.118622356,-0.154668305,-0.042186057
1782422512.950001717,0.117186562,-0.158385101,-0.043316273
1782422512.951667547,0.118655454,-0.154139845,-0.043812731
1782422512.953339577,0.116558681,-0.156583924,-0.041977069
1782422512.954998255,0.118485482,-0.157499564,-0.042936723
1782422512.956711769,0.111805935,-0.155097901,-0.044571351
1782422512.958337545,0.113644975,-0.156757378,-0.043720284
1782422512.960002184,0.111942568,-0.156589023,-0.044208660
1782422512.961714268,0.104715052,-0.159679458,-0.046957670
1782422512.963339329,0.111428969,-0.157558070,-0.046279257
1782422512.965004683,0.111311664,-0.158513732,-0.043071242
1782422512.966665030,0.106731990,-0.157893607,-0.047357256
1782422512.968340397,0.110429077,-0.158483709,-0.045348292
1782422512.970001221,0.106606355,-0.159953009,-0.054139545
1782422512.971729755,0.104137181,-0.159422007,-0.047943503
1782422512.973338127,0.104136740,-0.161408737,-0.045943493
1782422512.975000381,0.100132100,-0.163698552,-0.051393543
1782422512.976666689,0.101737609,-0.161136680,-0.047198238
1782422512.978334665,0.102671466,-0.160547497,-0.051008828
1782422512.979998589,0.103646735,-0.162268970,-0.048309842
1782422512.981708288,0.100767729,-0.166083361,-0.049957249
1782422512.983341217,0.100781325,-0.163047856,-0.047437693
1782422512.985052586,0.096327755,-0.163521477,-0.054490194
1782422512.986669302,0.097381819,-0.167503995,-0.047874403
1782422512.988337994,0.096245511,-0.164660951,-0.050615733
1782422512.989999771,0.097143024,-0.164354647,-0.054519695
1782422512.991668701,0.097560475,-0.168198729,-0.049400936
1782422512.993336916,0.092925921,-0.169066646,-0.051177309
1782422512.995024443,0.092688751,-0.167871649,-0.051205804
1782422512.996718168,0.091211326,-0.169741255,-0.052249497
1782422512.998289585,0.090926101,-0.168562539,-0.051720835
1782422513.000001669,0.090876454,-0.167922214,-0.050204400
1782422513.001667023,0.086804354,-0.167900411,-0.053021192
1782422513.003345490,0.087650040,-0.167445346,-0.053840194
1782422513.004999161,0.087831018,-0.169651229,-0.053492414
1782422513.006708860,0.088729975,-0.171278585,-0.055254520
1782422513.008340597,0.083029053,-0.169850405,-0.053022439
1782422513.010004997,0.085493429,-0.170654176,-0.050362824
1782422513.011669874,0.082091100,-0.172564029,-0.053261163
1782422513.013381720,0.084541134,-0.172945141,-0.052267585
1782422513.014998674,0.083215402,-0.176200197,-0.051982931
1782422513.016665697,0.082289236,-0.173769702,-0.053140054
1782422513.018337011,0.076822770,-0.172593134,-0.054162531
1782422513.019972801,0.081236720,-0.176262252,-0.051055465
1782422513.021668434,0.077478351,-0.174820199,-0.053838476
1782422513.023366213,0.077808390,-0.174433518,-0.053669717
1782422513.025041103,0.075173565,-0.173727096,-0.056117110
1782422513.026665449,0.075434855,-0.172123986,-0.060251956
1782422513.028341293,0.074735331,-0.174672397,-0.053634307
1782422513.030000925,0.075383236,-0.175494042,-0.054452569
1782422513.031709909,0.077432201,-0.177141960,-0.053560556
1782422513.033338308,0.069410559,-0.176752288,-0.057824291
1782422513.035000086,0.071965839,-0.175098815,-0.055754500
1782422513.036716700,0.070300079,-0.177693285,-0.057633924
1782422513.038337708,0.070009864,-0.174044525,-0.058099858
1782422513.040000677,0.072315324,-0.178467382,-0.060054020
1782422513.041665792,0.071967758,-0.176096310,-0.056382733
1782422513.043338299,0.066276924,-0.180933442,-0.059999310
1782422513.045031786,0.066323493,-0.177639603,-0.058768231
1782422513.046722174,0.070755686,-0.177141422,-0.054777615
1782422513.048357487,0.066648290,-0.178691443,-0.058608609
1782422513.050001383,0.068599540,-0.179699983,-0.057020437
1782422513.051665306,0.068412835,-0.180479813,-0.058422205
1782422513.053401470,0.066607146,-0.177582761,-0.058717060
1782422513.054998398,0.070510590,-0.179251304,-0.059490195
1782422513.056671858,0.070501212,-0.176122408,-0.057890478
1782422513.058338404,0.067565451,-0.177691335,-0.056888054
1782422513.060054541,0.064891676,-0.177346619,-0.057463021
1782422513.061718464,0.064921529,-0.176910964,-0.058680800
1782422513.063377380,0.065416946,-0.177339802,-0.057127738
1782422513.065039396,0.065204791,-0.179309846,-0.058354919
1782422513.066664457,0.065204791,-0.179309846,-0.058354919
1782422513.068339586,0.065490792,-0.179424822,-0.057836110
1782422513.069996357,0.062290284,-0.178310959,-0.057566500
1782422513.071667433,0.061174282,-0.178336654,-0.059153394
1782422513.073336363,0.064551320,-0.180821259,-0.061789198
1782422513.075004816,0.064082120,-0.179015275,-0.057266419
1782422513.076667547,0.065740706,-0.178536155,-0.059939337
1782422513.078384399,0.061394033,-0.180971987,-0.061375624
1782422513.079998732,0.063587707,-0.178620839,-0.058855781
1782422513.081668377,0.064710262,-0.179466008,-0.058380469
1782422513.083341122,0.065116430,-0.176404152,-0.059858201
1782422513.085006237,0.063559797,-0.181510482,-0.060307758
1782422513.086714029,0.059876638,-0.181040454,-0.059205948
1782422513.088381052,0.061622230,-0.178196091,-0.058323990
1782422513.089998960,0.064799818,-0.178094188,-0.058858427
1782422513.091719627,0.064703845,-0.176926708,-0.059108528
1782422513.093343496,0.060378393,-0.178872164,-0.057962981
1782422513.094952345,0.063450757,-0.178811696,-0.058511778
1782422513.096667528,0.059582524,-0.178192877,-0.061341307
1782422513.098363876,0.065342556,-0.179898256,-0.063058205
1782422513.100002289,0.064598363,-0.179125467,-0.059808014
1782422513.101666212,0.062711900,-0.174912177,-0.060124772
1782422513.103375435,0.063464720,-0.177758032,-0.058239776
1782422513.104999304,0.063795056,-0.175893045,-0.059327807
1782422513.106703997,0.063012738,-0.178220706,-0.063931861
1782422513.108340502,0.068710988,-0.177895271,-0.058886887
1782422513.110000372,0.068083370,-0.177484965,-0.060478994
1782422513.111669302,0.072138214,-0.174414748,-0.058149973
1782422513.113374949,0.065585841,-0.176359539,-0.062695173
1782422513.114998102,0.065508622,-0.179405729,-0.061393718
1782422513.116665125,0.065210077,-0.176670872,-0.059414548
1782422513.118335724,0.064040242,-0.175525876,-0.063598682
1782422513.119992733,0.064108737,-0.176675320,-0.063363021
1782422513.121706963,0.070126808,-0.172319392,-0.062541568
1782422513.123288393,0.068752264,-0.174383463,-0.062022021
1782422513.125043631,0.072437397,-0.174658513,-0.063594301
1782422513.126666069,0.070766517,-0.174175845,-0.063330919
1782422513.128378153,0.068705016,-0.174368294,-0.061968305
1782422513.130003214,0.068930728,-0.175629553,-0.061855186
1782422513.131669521,0.070179029,-0.176772704,-0.063863198
1782422513.133338213,0.073150109,-0.173420888,-0.065961552
1782422513.134999752,0.077551772,-0.175145866,-0.065785629
1782422513.136672735,0.071178487,-0.170598206,-0.065853480
1782422513.138336897,0.072723482,-0.172763015,-0.065001543
1782422513.139998198,0.072679490,-0.172448366,-0.062609868
1782422513.141664267,0.071562142,-0.173455755,-0.067904540
1782422513.143338919,0.073040248,-0.172852802,-0.064877863
1782422513.144986153,0.071232628,-0.174218872,-0.063293865
1782422513.146667957,0.077517277,-0.173400840,-0.064805543
1782422513.148324966,0.075476200,-0.167649686,-0.065845304
1782422513.150052309,0.075720893,-0.172659413,-0.069121010
1782422513.151665211,0.077882503,-0.171432677,-0.065659870
1782422513.153340340,0.082966518,-0.172233782,-0.064358651
1782422513.154999733,0.075982354,-0.170345263,-0.067918172
1782422513.156716108,0.082691697,-0.168429041,-0.067907815
1782422513.158339024,0.085841502,-0.169603234,-0.067259275
1782422513.160004616,0.083182113,-0.169641530,-0.067534189
1782422513.161669016,0.087080977,-0.165092566,-0.067445654
1782422513.163335323,0.086679551,-0.165522897,-0.066397540
1782422513.164999247,0.087093476,-0.166584122,-0.063811156
1782422513.166664362,0.081804444,-0.166980742,-0.066515046
1782422513.168338537,0.083940972,-0.168487050,-0.066240203
1782422513.170029640,0.085973366,-0.166418267,-0.068804998
1782422513.171669245,0.089852707,-0.166650377,-0.066038079
1782422513.173300266,0.088108960,-0.165055125,-0.066436851
1782422513.175001621,0.088082438,-0.164640590,-0.063963446
1782422513.176665783,0.088394957,-0.167979695,-0.065021656
1782422513.178342819,0.089855785,-0.162806195,-0.063119557
1782422513.180040598,0.088746488,-0.167070872,-0.063644942
1782422513.181705952,0.090577426,-0.165125476,-0.065765154
1782422513.183338165,0.090340715,-0.166394117,-0.066690132
1782422513.185040712,0.090367785,-0.164187360,-0.065451350
1782422513.186666727,0.088141288,-0.162177262,-0.067578060
1782422513.188383341,0.089078101,-0.161630138,-0.066956915
1782422513.190040827,0.089470069,-0.164896101,-0.068048709
1782422513.191667795,0.092437549,-0.161637885,-0.065391076
1782422513.193337440,0.092325889,-0.164507495,-0.064916193
1782422513.195032597,0.091543153,-0.162679664,-0.067695272
1782422513.196667194,0.101123495,-0.160518299,-0.064907842
1782422513.198344469,0.094799399,-0.160690518,-0.065016477
1782422513.200046539,0.097091588,-0.161034342,-0.066237269
1782422513.201666832,0.095122375,-0.161935553,-0.067227247
1782422513.203387737,0.096083487,-0.164037016,-0.064512886
1782422513.204997778,0.096325984,-0.158678507,-0.064217543
1782422513.206668377,0.098849095,-0.159995772,-0.063454121
1782422513.208341599,0.096703685,-0.158585256,-0.066999132
1782422513.210000753,0.098914801,-0.159410758,-0.064856699
1782422513.211669207,0.101588160,-0.160789567,-0.063684224
1782422513.213375568,0.101732475,-0.160346550,-0.064654698
1782422513.215000153,0.102427551,-0.158349992,-0.062030519
1782422513.216664791,0.098449655,-0.160215451,-0.063936465
1782422513.218336821,0.102695095,-0.157398294,-0.064009635
1782422513.220043898,0.104198900,-0.157563046,-0.060931863
1782422513.221667767,0.107435239,-0.157862411,-0.061263587
1782422513.223312855,0.107187244,-0.158867159,-0.059672790
1782422513.225000858,0.105443175,-0.156460168,-0.061590464
1782422513.226666451,0.102609920,-0.155250352,-0.062946858
1782422513.228379965,0.107174842,-0.155993680,-0.059600184
1782422513.230037212,0.108588689,-0.157148006,-0.061225591
1782422513.231693268,0.110673200,-0.158788503,-0.060587007
1782422513.233338833,0.108445145,-0.154697324,-0.057173310
1782422513.235001326,0.113015239,-0.155891119,-0.056050097
1782422513.236671925,0.113769792,-0.152621193,-0.052264657
1782422513.238378525,0.110901458,-0.154253127,-0.053700819
1782422513.239999056,0.112792904,-0.153142280,-0.052740546
1782422513.241665125,0.107578503,-0.158633244,-0.056749073
1782422513.243338585,0.114503542,-0.152045429,-0.048501282
1782422513.245033503,0.113918691,-0.155146878,-0.052354197
1782422513.246715069,0.115236420,-0.153329500,-0.050762721
1782422513.248372316,0.120419279,-0.148799533,-0.048233023
1782422513.250061035,0.116007094,-0.152721166,-0.046982753
1782422513.251665592,0.118781838,-0.151425453,-0.047837206
1782422513.253374338,0.117032280,-0.152768363,-0.048891566
1782422513.255000353,0.116822303,-0.153192241,-0.047682943
1782422513.256669521,0.119715630,-0.155147977,-0.047662952
1782422513.258341551,0.123005314,-0.150687823,-0.044917016
1782422513.260001183,0.119536100,-0.151754865,-0.045551092
1782422513.261709213,0.121180216,-0.149849926,-0.042658986
1782422513.263374329,0.122379170,-0.150376366,-0.046765370
1782422513.264997959,0.123674096,-0.150290935,-0.043573100
1782422513.266665697,0.121566413,-0.148212676,-0.042437945
1782422513.268337011,0.122037106,-0.153525583,-0.042643048
1782422513.270051479,0.122856905,-0.149161498,-0.041089201
1782422513.271672487,0.124718625,-0.150325645,-0.040583393
1782422513.273283720,0.127459191,-0.146184601,-0.037648072
1782422513.275000334,0.132372386,-0.145682292,-0.038407434
1782422513.276666164,0.126965450,-0.146859200,-0.035423214
1782422513.278379202,0.124688355,-0.149167286,-0.040230948
1782422513.279998779,0.128212270,-0.148453404,-0.041803510
1782422513.281669378,0.129331919,-0.147428581,-0.037499009
1782422513.283341646,0.132310535,-0.144508715,-0.036931109
1782422513.285000563,0.131160905,-0.147554486,-0.036316871
1782422513.286669970,0.128016876,-0.148060455,-0.034451300
1782422513.288382769,0.132309876,-0.140302043,-0.035976682
1782422513.290000439,0.130054220,-0.146869092,-0.036998293
1782422513.291665077,0.128612889,-0.145483851,-0.036586238
1782422513.293336153,0.128785936,-0.146870593,-0.036663428
1782422513.295000076,0.134051482,-0.142773562,-0.037591940
1782422513.296724558,0.132423200,-0.144118654,-0.034072579
1782422513.298365831,0.135337137,-0.142705284,-0.034026333
1782422513.300000429,0.133020513,-0.140901709,-0.032935656
1782422513.301712275,0.131349566,-0.144223587,-0.037126259
1782422513.303377151,0.133154550,-0.142239604,-0.037427079
1782422513.305003405,0.129389824,-0.145872745,-0.033350167
1782422513.306671858,0.133582447,-0.139457085,-0.035321085
1782422513.308335781,0.135607907,-0.140767449,-0.035641876
1782422513.309999943,0.133081665,-0.141655081,-0.035652954
1782422513.311671972,0.141025467,-0.136977455,-0.034615115
1782422513.313385963,0.142141727,-0.140352117,-0.033685419
1782422513.314998627,0.138472417,-0.136577707,-0.033313754
1782422513.316665888,0.140770908,-0.140320252,-0.034397829
1782422513.318337440,0.139854952,-0.135467519,-0.032603990
1782422513.320002079,0.137364363,-0.137727011,-0.033636449
1782422513.321668863,0.142769895,-0.136966006,-0.033169152
