source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1784827226.469373465,0.564816395,1.047795987,-0.297018931,18.644283453,4.079806744,8.395853474
1784827226.470390558,0.562668891,1.043840951,-0.304481314,18.606369132,4.068047145,8.366331548
1784827226.474488974,0.564756721,1.042588719,-0.299421075,18.624943602,4.022642723,8.405113677
1784827226.475541592,0.562642990,1.038633607,-0.302048753,18.545194378,4.002436411,8.375827056
1784827226.481954813,0.571424955,1.051569140,-0.301434006,18.724506675,4.023870191,8.365977521
1784827226.483246803,0.567083613,1.046383787,-0.291984760,18.593917185,4.008723699,8.376162241
1784827226.484988451,0.560521026,1.044976700,-0.301969140,18.627205300,4.040169146,8.356646346
1784827226.487017155,0.562559560,1.041301916,-0.311823386,18.631476385,4.044130930,8.385539502
1784827226.488258362,0.571335637,1.049095143,-0.291726518,18.679545162,4.007812111,8.414939894
1784827226.490154505,0.558398584,1.051453592,-0.289861100,18.625741872,4.094122358,8.367387664
1784827226.494394302,0.558334486,1.041101534,-0.302166431,18.561008993,4.028578789,8.356714059
1784827226.495443821,0.562661499,1.046523793,-0.304701595,18.567098304,4.068265918,8.376820433
1784827226.498158693,0.564826670,1.045113060,-0.299478885,18.599311502,3.997836487,8.386015153
1784827226.499969244,0.571310360,1.049109902,-0.296676281,18.679497038,3.991676505,8.415010418
1784827226.501479387,0.562701846,1.054060440,-0.297026696,18.669243241,4.019378941,8.377090252
1784827226.504753828,0.558293141,1.046329845,-0.302234139,18.592948314,4.029185075,8.376886001
1784827226.506951094,0.569249206,1.055456494,-0.304163246,18.692666431,4.004573309,8.366948813
1784827226.508100748,0.562650166,1.046397452,-0.287207811,18.620867975,4.051794843,8.405671939
1784827226.509960413,0.556124391,1.039840609,-0.299717341,18.595025125,4.099043059,8.366217178
1784827226.511472940,0.569089940,1.050458156,-0.294397947,18.673337019,4.013321464,8.435009710
1784827226.513304949,0.575800198,1.046424352,-0.279277315,18.593270866,3.923300059,8.404904474
1784827226.519458771,0.562720222,1.043698449,-0.294575952,18.577034489,4.002200005,8.366406531
1784827226.520658255,0.567067654,1.046373995,-0.294413035,18.607703245,4.000676988,8.376096774
1784827226.523307085,0.562675350,1.046420687,-0.299587249,18.608124133,4.059945760,8.376451367
