source_timestamp_sec,Fx,Fy,Fz
1784827268.195734262,0.023434233,-0.024485172,-0.032470143
1784827268.197387695,0.028365024,-0.026718514,-0.034355787
1784827268.199099302,0.028900108,-0.024058496,-0.034214939
1784827268.200755358,0.029162286,-0.023012917,-0.033228705
1784827268.202409983,0.026624893,-0.023679412,-0.037316466
1784827268.204133511,0.027841902,-0.026711487,-0.036319474
1784827268.205745459,0.027202549,-0.022791545,-0.034713111
1784827268.207411289,0.027732554,-0.023371609,-0.035438935
1784827268.209113121,0.029996591,-0.024399334,-0.033682981
1784827268.210747719,0.028549952,-0.026283991,-0.037919799
1784827268.212485552,0.030196679,-0.024671688,-0.037928267
1784827268.214086771,0.028654260,-0.023001733,-0.033761681
1784827268.215755701,0.025181052,-0.022523218,-0.034425879
1784827268.217487335,0.026488531,-0.022603911,-0.036848616
1784827268.219077826,0.024865228,-0.020857635,-0.035731546
1784827268.220747948,0.025843012,-0.023627958,-0.038049221
1784827268.222409725,0.027708987,-0.024005672,-0.035331357
1784827268.224131584,0.025006269,-0.022500973,-0.034567536
1784827268.225737095,0.026947178,-0.025005650,-0.036646110
1784827268.227359295,0.026263584,-0.019512429,-0.034374814
1784827268.229072332,0.029227127,-0.022964080,-0.039810450
1784827268.230738401,0.025192747,-0.024880014,-0.034680678
1784827268.232408285,0.023639062,-0.021323771,-0.033130695
1784827268.234072924,0.027858720,-0.023385677,-0.040318667
1784827268.235739470,0.026095162,-0.024467940,-0.036050895
1784827268.237366438,0.027615543,-0.025043700,-0.041010565
1784827268.239106417,0.027116311,-0.020715292,-0.034797550
1784827268.240734577,0.027313851,-0.024478038,-0.038428147
1784827268.242377520,0.026806363,-0.023749439,-0.037490180
1784827268.244109631,0.028404026,-0.024102615,-0.036662017
1784827268.245738029,0.021433425,-0.022648124,-0.035104340
1784827268.247406483,0.024642797,-0.023458925,-0.040514232
1784827268.249067307,0.026943275,-0.027657858,-0.041247433
1784827268.250737429,0.023538118,-0.020825033,-0.036803364
1784827268.252439022,0.023938341,-0.021367452,-0.037685997
1784827268.254105091,0.026638019,-0.026120295,-0.039492708
1784827268.255746126,0.025028921,-0.024283743,-0.038380755
1784827268.257422686,0.023878818,-0.022610558,-0.034002871
1784827268.259091139,0.026375338,-0.022737098,-0.040175617
1784827268.260748386,0.024865383,-0.022525102,-0.039487392
1784827268.262423754,0.027412452,-0.023976090,-0.040451317
1784827268.264205217,0.023293245,-0.022346504,-0.037359136
1784827268.265740395,0.025553997,-0.023316560,-0.037123171
1784827268.267508030,0.024632440,-0.024291815,-0.040202682
1784827268.269063711,0.025046898,-0.022857816,-0.034817189
1784827268.270750284,0.024374786,-0.023862623,-0.036076538
1784827268.272456646,0.024689488,-0.024311957,-0.038582215
1784827268.274126053,0.024458922,-0.024082034,-0.040134620
1784827268.275740862,0.024474392,-0.022141885,-0.035487297
1784827268.277445078,0.025847513,-0.020750329,-0.035809331
