source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1784827267.724075079,-0.001357716,0.008693552,0.049189736,0.058997865,-0.452495448,-0.978889022
1784827267.725773096,0.000613930,0.005027305,0.053838206,0.023499695,-0.472846022,-0.952059469
1784827267.727387428,0.000669260,0.007531253,0.051464581,0.045493711,-0.468967502,-0.956042109
1784827267.729047537,-0.002462618,0.005692995,0.050282593,0.033820890,-0.442180854,-0.955970230
1784827267.730823040,0.001711253,0.006806964,0.046804627,0.034465544,-0.479186299,-0.979094306
1784827267.732382536,-0.001447549,0.006263746,0.045681937,0.024002925,-0.440498524,-0.988287416
1784827267.733995199,0.000661610,0.009990378,0.049174275,0.053872750,-0.464739878,-0.974184956
1784827267.735716343,-0.002497342,0.004394260,0.051581579,0.019140924,-0.438307070,-0.975169973
1784827267.737384558,-0.000408824,0.004406722,0.051577816,0.019440641,-0.451108477,-0.975309904
1784827267.739050388,-0.000455414,0.004382223,0.053971719,0.012664082,-0.454782606,-0.975651694
1784827267.740745783,-0.000438251,0.004391282,0.050386958,0.012704341,-0.454768012,-0.975165039
1784827267.742382526,-0.000353878,0.006921702,0.055099695,0.048231139,-0.451270749,-0.965959093
1784827267.744066000,-0.001479271,0.006385039,0.055022051,0.031534483,-0.444412781,-0.947219020
1784827267.745753288,-0.000370555,0.004449703,0.047838730,0.026459499,-0.462789565,-0.946552345
1784827267.747416973,-0.002548001,0.008238009,0.053830819,0.036159093,-0.441501915,-0.946718148
1784827267.749131441,0.001629078,0.002084515,0.051497693,-0.001294042,-0.452209398,-0.957061748
1784827267.750743628,-0.001436422,0.007509730,0.055053189,0.045153568,-0.456180958,-0.956388844
1784827267.752411366,0.001764254,0.006783008,0.050376226,0.047652092,-0.479621438,-0.979531138
1784827267.754096270,0.000597180,0.006391008,0.050242665,0.025137488,-0.460860343,-0.946726575
1784827267.755752802,0.002660341,0.002520021,0.049192702,-0.005092351,-0.477800543,-0.975514332
1784827267.757422209,-0.001521768,0.003709844,0.050365256,0.001824808,-0.459814289,-0.970488605
1784827267.759187698,0.001609146,0.004445113,0.057482690,0.013310187,-0.467530229,-0.962166203
1784827267.760764122,-0.000360287,0.006970160,0.049134108,0.041821316,-0.447161213,-0.965180461
1784827267.762419224,-0.002606689,0.006822980,0.052733985,0.014209649,-0.456781975,-0.965581496
1784827267.764075994,-0.000443129,0.005605915,0.051551981,0.020220264,-0.462385786,-0.970418318
1784827267.765740633,-0.000482312,0.008019738,0.052691226,0.028515797,-0.481281235,-0.960780017
1784827267.767385006,-0.001504061,0.010052657,0.049121145,0.040734876,-0.451447846,-0.959982702
1784827267.769057989,-0.000443293,0.006989822,0.050267160,0.028695622,-0.454425188,-0.951266168
1784827267.770727396,-0.000471582,0.006859944,0.050336263,0.021285939,-0.465908888,-0.965379631
1784827267.772384405,-0.002614652,0.005613115,0.052688768,0.006795006,-0.456848450,-0.956364090
1784827267.774066687,0.001602728,0.004327088,0.045606601,-0.000714023,-0.482628113,-0.974675683
1784827267.775720835,-0.000489304,0.006954178,0.046765610,0.015121915,-0.454059555,-0.964940561
1784827267.777386904,0.001663143,0.006907937,0.053834073,0.035158851,-0.479077055,-0.951844316
1784827267.779047251,-0.002618951,0.006816603,0.047958338,0.007513781,-0.460426464,-0.964949972
1784827267.780719042,-0.004616233,0.004314205,0.043223931,0.005163397,-0.440549396,-0.973914094
1784827267.782388210,-0.000467528,0.009428743,0.045666162,0.030237255,-0.446172397,-0.983228274
1784827267.784081936,0.000533809,0.006346414,0.050325909,0.011524021,-0.460508543,-0.960888482
1784827267.785741091,-0.001552331,0.003808843,0.047914465,-0.004237950,-0.455649572,-0.956085415
1784827267.787387848,0.000551531,0.006252180,0.053896590,0.017688204,-0.472357789,-0.961327555
1784827267.789120436,-0.001490786,0.006108769,0.051491311,0.023347301,-0.479130378,-0.960800476
1784827267.790716171,0.000601669,0.005020927,0.049062503,0.016803821,-0.476490694,-0.951427937
1784827267.792395592,-0.001501683,0.007527308,0.046705915,0.025271304,-0.459390405,-0.955320485
1784827267.794046640,-0.002565165,0.008228947,0.057415636,0.036118820,-0.441516875,-0.947204809
1784827267.795724869,-0.002524239,0.008031775,0.050301058,0.034992791,-0.464805795,-0.960298292
1784827267.797393084,0.000591321,0.006169689,0.045522017,0.017237201,-0.487822067,-0.960161783
1784827267.799077988,-0.001570711,0.007427766,0.047979066,0.011370961,-0.466793929,-0.969628641
1784827267.800737619,-0.001589012,0.007533146,0.050303865,0.012004085,-0.458984358,-0.955856968
1784827267.802388906,-0.000499061,0.009383681,0.049095708,0.030155220,-0.469295444,-0.955446203
1784827267.804036617,-0.001578279,0.007498754,0.053804436,0.018556912,-0.470763707,-0.942183887
1784827267.805785656,-0.002595931,0.008005903,0.049039171,0.021623101,-0.479809003,-0.946043514
1784827267.807380438,-0.003615328,0.006295922,0.050249221,0.017516372,-0.446670057,-0.946449804
1784827267.809042692,-0.005858185,0.005048436,0.051424054,-0.016938237,-0.440847322,-0.937338342
1784827267.810719490,-0.001531689,0.007523254,0.051410533,0.025333471,-0.467089578,-0.941842097
1784827267.812397718,-0.003606392,0.008775495,0.050269574,0.032734463,-0.446467122,-0.950772465
1784827267.814090014,-0.001494858,0.008851854,0.045491110,0.033360816,-0.451499372,-0.950278633
1784827267.815719366,-0.001525838,0.007578092,0.050220593,0.025619536,-0.459335005,-0.941694990
1784827267.817382336,-0.003661339,0.006260275,0.046747728,0.003942652,-0.446304790,-0.960124203
1784827267.819044828,-0.000586506,0.005720411,0.054938743,0.001093627,-0.473185259,-0.928621576
1784827267.820719957,-0.002587304,0.005857562,0.051359638,0.014878886,-0.437541408,-0.927990513
1784827267.822385311,-0.002589689,0.008216190,0.047864371,0.022726910,-0.448806305,-0.945941765
1784827267.824047565,-0.003524915,0.008714821,0.047861507,0.045715630,-0.454627376,-0.950383083
1784827267.825716257,-0.004676095,0.009358757,0.049103235,0.029555785,-0.443692629,-0.955166341
1784827267.827385664,-0.000478571,0.006919547,0.050266185,0.021673270,-0.465838930,-0.951268403
1784827267.829080343,-0.002651066,0.005657279,0.051427860,0.000446195,-0.460437941,-0.942108000
1784827267.830724478,-0.002573913,0.005582779,0.051484748,0.013285512,-0.460928529,-0.956169401
1784827267.832380772,-0.003663055,0.006386102,0.051383158,0.011414668,-0.442519995,-0.932532342
1784827267.834083080,-0.004720497,0.006975741,0.054992466,0.014931859,-0.436101012,-0.937557741
1784827267.835719585,-0.002598034,0.007017357,0.053714601,0.022108743,-0.452913755,-0.923390900
1784827267.837384224,0.000545122,0.006300638,0.047931060,0.011278387,-0.468248070,-0.960548931
1784827267.839093447,-0.002611269,0.005741511,0.048963814,0.007610899,-0.456694677,-0.927653197
1784827267.840721130,-0.003524524,0.008870271,0.047876561,0.046533540,-0.431378982,-0.950428430
1784827267.842383385,-0.005697797,0.007619034,0.054933713,0.032102733,-0.430016456,-0.927934545
1784827267.844046354,-0.000405322,0.009329384,0.051463288,0.049832255,-0.473811209,-0.955688344
1784827267.845762968,-0.001473786,0.007501979,0.046621696,0.031864562,-0.471154708,-0.941160745
1784827267.847383261,-0.001599930,0.008859775,0.058569331,0.026850473,-0.455148046,-0.937969175
1784827267.849049091,-0.004671217,0.008143885,0.047938216,0.022038390,-0.436074881,-0.959913985
1784827267.850715876,-0.001420230,0.006249323,0.051493204,0.037392018,-0.456302528,-0.960795999
1784827267.852385759,-0.001527784,0.005038915,0.050270318,0.010014114,-0.459607898,-0.951483556
1784827267.854044676,-0.001521932,0.005093751,0.049080435,0.010300166,-0.451853690,-0.951336456
1784827267.855665684,-0.001489422,0.007533688,0.051481534,0.031967033,-0.455745454,-0.955952006
1784827267.857425451,-0.002472375,0.008122497,0.052612691,0.048854194,-0.457416743,-0.946475872
1784827267.859075546,-0.000477598,0.008189255,0.050241321,0.029476717,-0.465702471,-0.946373659
1784827267.860718966,-0.001609261,0.005099588,0.052678357,-0.002966899,-0.451447740,-0.951872934
