source_timestamp_sec,Fx,Fy,Fz
1784827268.842502356,0.003166886,0.015115410,0.051755881
1784827268.844137192,0.004835502,0.016901883,0.045084828
1784827268.845786572,0.004772952,0.016975432,0.050191791
1784827268.847456217,0.006101496,0.015944009,0.054095170
1784827268.849105835,0.005756798,0.017503867,0.050008028
1784827268.850720882,0.006921819,0.017093918,0.047580803
1784827268.852378845,0.004816198,0.017538397,0.049786790
1784827268.854093313,0.001998350,0.015619694,0.046594925
1784827268.855719805,0.005068491,0.016205988,0.048979027
1784827268.857388496,0.006529675,0.014758748,0.045656583
1784827268.859087467,0.005817476,0.017252168,0.048782768
1784827268.860718012,0.005712927,0.017208753,0.050133197
1784827268.862389565,0.006882024,0.017068212,0.047658877
1784827268.864100456,0.003802117,0.016800198,0.047579367
1784827268.865709305,0.005475272,0.017996655,0.047521645
1784827268.867402315,0.003003751,0.016046678,0.050196260
1784827268.869053125,0.001412836,0.017014595,0.051393922
1784827268.870713234,0.003815622,0.016885320,0.045027756
1784827268.872374773,0.003583288,0.020953267,0.044412579
1784827268.874085426,0.001747144,0.016322607,0.046457266
1784827268.875713587,0.004557894,0.017798167,0.042341985
1784827268.877377510,0.004354761,0.018340168,0.048639872
1784827268.879096508,0.005641170,0.017964328,0.049909739
1784827268.880714178,0.002877051,0.019528547,0.047242595
1784827268.882374287,0.004354761,0.018340168,0.048639872
1784827268.884082794,0.005559734,0.017821845,0.046264447
1784827268.885704756,0.001646670,0.016548599,0.047743408
1784827268.887381554,0.005113718,0.019377782,0.051058974
1784827268.889091969,0.004147934,0.018976417,0.047263042
1784827268.890719652,0.005514732,0.018156355,0.047298302
1784827268.892347813,0.002345251,0.017166418,0.045268770
1784827268.894056797,0.003872945,0.016540035,0.048854137
1784827268.895708561,0.004583628,0.017374991,0.052522004
1784827268.897372007,0.006062100,0.016416152,0.046434638
1784827268.899080276,0.005716844,0.017612250,0.049945340
1784827268.900709867,0.005122876,0.015687324,0.045453947
1784827268.902373314,0.003366840,0.017542323,0.048857714
1784827268.904087305,0.004535937,0.017401782,0.046371639
1784827268.905715704,0.002281231,0.018003592,0.051134685
1784827268.907374859,0.006798765,0.017191370,0.052571999
1784827268.909079313,0.003477575,0.017173905,0.050195496
1784827268.910703897,0.003522086,0.017107467,0.048879947
1784827268.912374735,0.001149706,0.017500465,0.045148268
1784827268.914119959,0.005135534,0.015542549,0.050418317
1784827268.915712357,0.006283455,0.018875689,0.047362485
1784827268.917402744,0.004672963,0.016973948,0.050170708
1784827268.919123888,0.004633167,0.016948242,0.050247315
1784827268.920728922,0.003851501,0.016507527,0.045147955
1784827268.922377110,0.007575093,0.018273815,0.047484050
1784827268.924053192,0.005577395,0.017451065,0.050159901
1784827268.925723076,0.007344725,0.015637040,0.047959279
1784827268.927380323,0.005064705,0.015802718,0.049161960
1784827268.929060221,0.005569322,0.017503468,0.043909693
1784827268.930715799,0.004879612,0.016337604,0.051558166
1784827268.932394028,0.004848448,0.016623253,0.050220546
1784827268.934096813,0.006309632,0.015176012,0.046868739
1784827268.935749531,0.003411843,0.017207814,0.047821554
1784827268.937379360,0.005783886,0.016948811,0.051400128
1784827268.939048290,0.003702286,0.016664629,0.047682217
1784827268.940709591,0.004314965,0.018314461,0.048716790
1784827268.942396402,0.005974187,0.016053707,0.048020154
1784827268.944053888,0.004593550,0.016922630,0.050323912
1784827268.945713520,0.001835920,0.015557811,0.051717432
1784827268.947374582,0.004732998,0.017083816,0.050131927
1784827268.949116230,0.003150156,0.014990765,0.046859444
1784827268.950718641,0.005069754,0.015576590,0.048060448
1784827268.952381849,0.003838332,0.016288419,0.047829636
1784827268.954117537,0.004874897,0.016429747,0.052790738
1784827268.955709457,0.005480321,0.017770527,0.046419162
1784827268.957380772,0.004473051,0.017609322,0.051331961
1784827268.959083557,0.004588499,0.017148768,0.051423042
1784827268.960706949,0.005537600,0.017425359,0.050236108
