source_timestamp_sec,Fx,Fy,Fz
1784827269.343166351,-0.036140466,0.057265286,0.076951531
1784827269.344802618,-0.033143972,0.058865219,0.078803610
1784827269.346688986,-0.032134929,0.061188330,0.077885638
1784827269.348227262,-0.037420682,0.060911054,0.075791972
1784827269.353990555,-0.043179346,0.060709359,0.077063476
1784827269.355030537,-0.043227666,0.064989234,0.074869686
1784827269.356550694,-0.044740911,0.065418641,0.077654731
1784827269.358292103,-0.041309165,0.064730182,0.078026130
1784827269.359962940,-0.039392662,0.063653484,0.073211848
1784827269.364074707,-0.040807430,0.062573471,0.067950099
1784827269.365047932,-0.039841585,0.059253694,0.066409716
1784827269.366702318,-0.042228264,0.064853566,0.068454533
1784827269.368243694,-0.047518380,0.064073436,0.067314020
1784827269.369771242,-0.044884307,0.060177175,0.069900844
1784827269.371715307,-0.043398279,0.064141775,0.071547597
1784827269.373238087,-0.043206500,0.061090941,0.063475895
1784827269.379114866,-0.041666523,0.065265791,0.065929164
1784827269.380162239,-0.038511332,0.060808937,0.066276228
1784827269.381445408,-0.041620805,0.061631304,0.062609184
1784827269.383203983,-0.048375000,0.061713945,0.059375571
1784827269.384992123,-0.045778421,0.063254859,0.065960654
1784827269.391703844,-0.044746384,0.061280979,0.062238797
1784827269.393226624,-0.048592762,0.066709276,0.068001317
1784827269.394739866,-0.045944028,0.066017982,0.068430737
1784827269.396696806,-0.041756000,0.064185729,0.063049393
1784827269.398236990,-0.045191241,0.065031903,0.061088143
1784827269.404146910,-0.051433628,0.066129462,0.066354281
1784827269.405234098,-0.047286817,0.069034420,0.066046518
1784827269.406499624,-0.054822699,0.069512508,0.070668849
1784827269.408258915,-0.044697660,0.068200270,0.071084505
1784827269.409748077,-0.039773377,0.067677988,0.069627215
1784827269.411741495,-0.046654397,0.068939352,0.067464130
1784827269.416590691,-0.049552595,0.070332448,0.069680606
1784827269.418109655,-0.048834425,0.073132948,0.078092330
1784827269.419847012,-0.045459244,0.073381342,0.078587318
1784827269.421636581,-0.045476673,0.075115205,0.076393094
1784827269.423144341,-0.051691470,0.076581143,0.079013357
1784827269.427609205,-0.049803714,0.075689713,0.084422199
1784827269.428543568,-0.049828356,0.080186164,0.086182759
1784827269.429961920,-0.046232869,0.080972810,0.092262371
1784827269.431615353,-0.043580445,0.080365007,0.090713230
1784827269.433167219,-0.039270211,0.080886809,0.089806431
