source_timestamp_sec,Fx,Fy,Fz
1784827268.746496916,0.074530215,-0.066469811,-0.028305490
1784827268.748117685,0.074041839,-0.069998127,-0.032095348
1784827268.754129887,0.071389567,-0.074199395,-0.030908473
1784827268.755156279,0.071538603,-0.070144093,-0.032880753
1784827268.756450176,0.073783962,-0.071515333,-0.032751984
1784827268.758233547,0.075038889,-0.072983667,-0.028758017
1784827268.759773493,0.075576142,-0.070412394,-0.036266100
1784827268.766413927,0.074599801,-0.070717864,-0.035498856
1784827268.768156528,0.072610245,-0.073927439,-0.028495896
1784827268.769826889,0.079464949,-0.069311243,-0.028767473
1784827268.771667957,0.073675739,-0.064874428,-0.033121659
1784827268.773184061,0.072087702,-0.068645016,-0.032917939
1784827268.779036760,0.073773921,-0.073560371,-0.033076562
1784827268.780077219,0.071999123,-0.067630908,-0.033953022
1784827268.781602383,0.079068047,-0.072488666,-0.032670102
1784827268.783127785,0.081651164,-0.068954522,-0.029982900
1784827268.784872293,0.076896146,-0.064261814,-0.032059761
1784827268.790030718,0.071146964,-0.067878995,-0.036923269
1784827268.791666746,0.072694365,-0.072301825,-0.030348917
1784827268.793178082,0.074245087,-0.067301994,-0.031806775
1784827268.794947386,0.074245115,-0.064350556,-0.032753806
1784827268.796697378,0.072259435,-0.071855068,-0.032486742
1784827268.798240662,0.075225320,-0.073420756,-0.030942110
1784827268.804188013,0.075612078,-0.065098529,-0.032941579
1784827268.805250883,0.080344138,-0.072233652,-0.030623907
1784827268.806575537,0.076526883,-0.070359516,-0.035823132
1784827268.808104515,0.075101004,-0.065363232,-0.034098576
1784827268.809844494,0.072150887,-0.072403436,-0.037425070
1784827268.816605091,0.073552871,-0.071975179,-0.029845353
1784827268.818130493,0.072842738,-0.066921532,-0.037210473
1784827268.819912434,0.073479873,-0.070797671,-0.034149674
1784827268.821755886,0.075185800,-0.072463599,-0.028326362
1784827268.823311329,0.076375151,-0.071309265,-0.033269413
1784827268.824773788,0.076579523,-0.065993625,-0.037968049
1784827268.829150915,0.075213474,-0.065026226,-0.034668758
1784827268.830233574,0.077066882,-0.068856685,-0.035741389
1784827268.831526518,0.073740067,-0.067984223,-0.038359154
1784827268.833277464,0.070878647,-0.069974026,-0.035488078
1784827268.834834099,0.075360131,-0.071273091,-0.032906565
1784827268.836704254,0.077838736,-0.069674682,-0.030142755
1784827268.841448069,0.075132012,-0.065557353,-0.035875007
1784827268.843226671,0.075127177,-0.072090283,-0.033936156
1784827268.844871044,0.078057112,-0.069751710,-0.033726622
1784827268.846681833,0.081430594,-0.067962892,-0.038365338
1784827268.848219633,0.074145572,-0.068620550,-0.038083829
1784827268.851957560,0.076620788,-0.070910001,-0.037248638
1784827268.854113817,0.074353018,-0.065805476,-0.035402115
1784827268.855139494,0.075313092,-0.068996400,-0.037988056
1784827268.856433630,0.075890252,-0.072113992,-0.035680612
1784827268.858178377,0.074609953,-0.070157382,-0.029928448
1784827268.859955311,0.077143712,-0.066088367,-0.034665421
1784827268.866437197,0.073358954,-0.065927166,-0.038110385
1784827268.868195295,0.079149627,-0.068748912,-0.031406249
1784827268.869806051,0.078601041,-0.067374216,-0.033858950
1784827268.871693611,0.076242217,-0.066504040,-0.040640698
1784827268.873199701,0.074306548,-0.070945744,-0.041064345
1784827268.879085541,0.073717297,-0.070203471,-0.032719207
1784827268.880116940,0.076738941,-0.066380184,-0.035781204
1784827268.881629229,0.078692931,-0.068023044,-0.029911964
1784827268.883150578,0.074175999,-0.068682812,-0.039357425
1784827268.884962082,0.073021824,-0.068120571,-0.039530964
1784827268.891593218,0.072754087,-0.072507815,-0.035653448
1784827268.893283129,0.078117835,-0.066861331,-0.039191101
1784827268.894828796,0.076430693,-0.066738791,-0.036973846
1784827268.896717787,0.077975975,-0.072248081,-0.034792218
1784827268.898222446,0.074961844,-0.065724563,-0.035464006
1784827268.904203653,0.077922846,-0.065473835,-0.036957196
1784827268.905449152,0.079584798,-0.062424982,-0.036788885
1784827268.906565189,0.074813110,-0.068602348,-0.041624788
1784827268.908120632,0.077345980,-0.070522597,-0.034339971
1784827268.909894228,0.076961122,-0.070814730,-0.028607980
1784827268.911494732,0.076858907,-0.064649860,-0.037384941
1784827268.914088726,0.074116744,-0.064128078,-0.038292053
1784827268.915063620,0.074923188,-0.069287256,-0.037807218
1784827268.916613579,0.073221106,-0.074025358,-0.038200321
1784827268.918222189,0.078994478,-0.073228542,-0.039672806
1784827268.919737101,0.076498852,-0.065123201,-0.038525781
1784827268.921660900,0.074376328,-0.062878717,-0.037571890
1784827268.923170090,0.074087535,-0.069099555,-0.030789312
1784827268.929199219,0.076546532,-0.070521197,-0.034080369
1784827268.930347681,0.074608836,-0.068635719,-0.036639359
1784827268.931461096,0.075052527,-0.067709621,-0.035612338
1784827268.933099270,0.077425959,-0.063500946,-0.040344221
1784827268.934909582,0.072589887,-0.066486309,-0.039258609
1784827268.936430693,0.077119569,-0.067694165,-0.033323769
1784827268.941736698,0.076722475,-0.070331267,-0.034339665
1784827268.943279028,0.071666238,-0.066756395,-0.038550049
1784827268.944813490,0.076230409,-0.067890308,-0.032699084
1784827268.946731806,0.078635291,-0.069326375,-0.036063739
1784827268.948261261,0.079126233,-0.068589683,-0.035273819
1784827268.954179287,0.077683574,-0.066899383,-0.039288815
1784827268.955286741,0.079580372,-0.067845936,-0.037661253
1784827268.956596613,0.075769889,-0.061924624,-0.035659977
1784827268.958123446,0.075887823,-0.060144927,-0.038987815
1784827268.959911585,0.073583707,-0.070154906,-0.039967285
1784827268.966668367,0.075770134,-0.070187630,-0.034069421
1784827268.968239307,0.077717290,-0.063733022,-0.040116095
1784827268.969791412,0.079073163,-0.065368277,-0.039495328
1784827268.971662998,0.077677687,-0.068329745,-0.033209943
1784827268.973211050,0.076593878,-0.067677665,-0.036610754
1784827268.975660086,0.076425936,-0.061939656,-0.037777644
1784827268.976590157,0.078365035,-0.072357216,-0.036953920
1784827268.979091644,0.078042925,-0.067481083,-0.035719552
1784827268.980148315,0.075497482,-0.059378399,-0.037699160
1784827268.981454134,0.072248085,-0.062502135,-0.039004674
1784827268.983223915,0.074066948,-0.066188879,-0.036977034
1784827268.984772921,0.075780696,-0.071592621,-0.035024103
1784827268.991488695,0.076945263,-0.063842969,-0.036789386
