source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1784827268.263281107,-0.082219526,0.055752295,0.047280021,0.455338446,1.017379728,-0.335811298
1784827268.264811039,-0.081155940,0.056446357,0.043421964,0.481525869,1.023058699,-0.325894834
1784827268.270742655,-0.077787255,0.059595310,0.039709357,0.494768953,0.991359688,-0.335228914
1784827268.271762371,-0.081334491,0.056530965,0.041002306,0.509960751,0.991716816,-0.340856599
1784827268.273275852,-0.074354981,0.060065071,0.043384006,0.498271130,0.969543611,-0.324865455
1784827268.274782896,-0.074186083,0.062535457,0.048411632,0.491691154,0.948203764,-0.314993939
1784827268.276574135,-0.078870088,0.056270398,0.046112605,0.445155618,0.981241450,-0.354986830
1784827268.283233166,-0.080144883,0.051888922,0.042234626,0.446921454,1.012669689,-0.350435456
1784827268.284767866,-0.075398101,0.055476514,0.047087069,0.448633453,0.962946420,-0.320405932
1784827268.286487579,-0.077780877,0.059567341,0.041061021,0.480336284,1.007821181,-0.349655132
1784827268.288346291,-0.083514357,0.055313220,0.038520373,0.474359102,1.046539533,-0.345852896
1784827268.289884806,-0.075584056,0.062124293,0.040998166,0.524669191,0.993938463,-0.339443005
1784827268.292108774,-0.080843104,0.058841570,0.049625852,0.453387417,0.980614126,-0.301568315
1784827268.293146133,-0.078826534,0.057533607,0.048618192,0.452669531,0.988855952,-0.349882262
1784827268.295736313,-0.081275877,0.055173999,0.042365341,0.466428226,1.020299809,-0.360133519
1784827268.296769857,-0.070897696,0.059224067,0.046983698,0.493794208,0.922923249,-0.305057461
1784827268.298302889,-0.075518976,0.056882589,0.039705702,0.457664552,0.965298384,-0.344935424
1784827268.299866915,-0.079983572,0.057056741,0.039674914,0.464774556,1.004772071,-0.330826933
1784827268.301634312,-0.078957320,0.056420689,0.039610527,0.489339165,0.997691820,-0.325825868
1784827268.307304144,-0.074362295,0.060026750,0.047166303,0.504560724,0.956739105,-0.324836361
1784827268.308232784,-0.081168314,0.057661803,0.051066998,0.494881555,1.010064355,-0.335393720
1784827268.309879303,-0.085667132,0.057893739,0.044836994,0.488754374,1.043020181,-0.336191671
1784827268.311407566,-0.077818497,0.064828859,0.037330533,0.533732710,0.996762456,-0.344707943
1784827268.313331604,-0.075375679,0.063321620,0.043333834,0.517854695,0.951797129,-0.305569756
1784827268.314843893,-0.076565495,0.057497766,0.045877493,0.474660486,0.954160329,-0.320622270
1784827268.320802450,-0.078837309,0.058872663,0.046084374,0.468183035,0.993340501,-0.344985303
1784827268.321829319,-0.077585010,0.054229417,0.048298362,0.433449730,0.980171763,-0.310974732
1784827268.323109388,-0.083351604,0.057820989,0.042188107,0.482421971,1.033060726,-0.321339456
1784827268.324886322,-0.081116744,0.059020208,0.044664554,0.504038773,1.002503842,-0.316136828
1784827268.326432228,-0.078899814,0.061559099,0.043441887,0.527134905,0.985233216,-0.320623535
1784827268.333302975,-0.076432099,0.058771062,0.044511710,0.468825690,0.961862686,-0.301054602
1784827268.334832907,-0.074336671,0.062629630,0.045972776,0.513553967,0.977639864,-0.329421127
1784827268.336576700,-0.076603386,0.062750315,0.042236076,0.513928579,0.967894472,-0.330073483
1784827268.338357925,-0.081013012,0.056334416,0.044792822,0.431290373,1.002894642,-0.340668047
1784827268.339927197,-0.083253093,0.059094749,0.039667999,0.469335248,1.013109341,-0.316676953
1784827268.345745802,-0.080035302,0.058404122,0.039566245,0.508212922,0.992180238,-0.311362123
1784827268.346772432,-0.080013297,0.059600719,0.048462902,0.514482026,1.007309969,-0.320569953
1784827268.348280907,-0.076605405,0.061467642,0.042147408,0.513362257,0.979602338,-0.320300703
1784827268.349797010,-0.073041126,0.059269702,0.045761213,0.465590453,0.945046776,-0.305352786
1784827268.351557016,-0.081113358,0.057672354,0.046041303,0.474280918,0.982498468,-0.335835785
1784827268.358190775,-0.082413016,0.058496459,0.041136165,0.500577844,1.035790969,-0.355189658
1784827268.359933376,-0.078711879,0.056194438,0.049700302,0.437747334,0.991648708,-0.325541938
1784827268.361576557,-0.081112386,0.057709566,0.045927550,0.489039783,1.030673201,-0.320790266
1784827268.363333464,-0.075597736,0.058258062,0.039583321,0.508515696,0.989218701,-0.325142368
1784827268.364866495,-0.073128443,0.060560671,0.049623953,0.493843994,0.932780721,-0.314974557
1784827268.368759155,-0.079871414,0.055527227,0.055988994,0.453469621,0.944627520,-0.321096881
1784827268.369752884,-0.076592019,0.057544242,0.045766484,0.496411774,0.990202146,-0.305679916
1784827268.371442318,-0.076468820,0.061354592,0.047186810,0.484175218,0.994808507,-0.319999302
1784827268.373245478,-0.077589419,0.059396383,0.050961686,0.471406321,0.976571567,-0.320349317
1784827268.374774456,-0.082131988,0.058326619,0.047254531,0.464170838,1.029422078,-0.325819146
1784827268.376536846,-0.081123591,0.059000716,0.048430396,0.510748721,1.038344403,-0.315676323
1784827268.383132935,-0.074471225,0.060169473,0.037176565,0.506431571,0.975272067,-0.339649982
1784827268.384788990,-0.078916069,0.060248135,0.045961993,0.519034179,1.017260818,-0.325192247
1784827268.386582851,-0.077601487,0.063336443,0.052079152,0.537777946,0.992069944,-0.290695089
1784827268.388361931,-0.074307769,0.059989395,0.047177271,0.490155522,0.932359871,-0.325061441
1784827268.389918089,-0.081007877,0.055051128,0.045869450,0.444758225,1.005800799,-0.316308974
1784827268.395857573,-0.081162736,0.052570541,0.043261486,0.465278216,1.034330097,-0.311406306
1784827268.396991491,-0.083408888,0.056547872,0.042193996,0.481712164,1.045295626,-0.326171409
1784827268.398289919,-0.076676223,0.060223111,0.039636337,0.513050944,0.984177453,-0.325292731
1784827268.399866819,-0.076481144,0.058713713,0.050905524,0.474573303,0.957244999,-0.315470167
1784827268.401409149,-0.079890466,0.055650960,0.047148094,0.448607548,1.015080058,-0.320799008
1784827268.408394575,-0.080024946,0.053161281,0.043291248,0.462019097,1.015428579,-0.316196771
1784827268.409920454,-0.079883816,0.055631960,0.048410688,0.448303212,1.006748683,-0.320826823
1784827268.411456585,-0.082317102,0.054544824,0.044666168,0.476568244,1.033674125,-0.326076678
1784827268.413297892,-0.080100172,0.057083715,0.043443501,0.499664376,1.016403499,-0.330563384
1784827268.414845705,-0.074461743,0.061431422,0.043361666,0.541776189,0.981801346,-0.319789672
1784827268.420790434,-0.074183977,0.059932728,0.049594188,0.475915665,0.963758455,-0.310090301
1784827268.421829700,-0.075417632,0.059437298,0.042108102,0.480226782,0.960207652,-0.320384795
1784827268.423108101,-0.078668558,0.057448233,0.052214116,0.445051070,0.974940676,-0.320653075
1784827268.424834251,-0.084403677,0.055815669,0.048474457,0.455269731,1.046749405,-0.321323065
1784827268.426566839,-0.078816820,0.061549694,0.043336360,0.520496143,1.021161632,-0.305699930
1784827268.431397200,-0.076538860,0.060137414,0.044489371,0.512330748,0.974120420,-0.295978820
1784827268.433293581,-0.082154423,0.057082116,0.043394537,0.464097170,1.017479000,-0.316394331
1784827268.434796810,-0.080140463,0.057149361,0.040823759,0.521603981,1.020462997,-0.315996811
1784827268.436523676,-0.073331254,0.058127962,0.043328249,0.507930907,0.974641560,-0.324705717
1784827268.438314915,-0.079940756,0.058292152,0.042286026,0.457739782,0.988534374,-0.340552179
1784827268.439818382,-0.083359190,0.057773698,0.046059475,0.474583232,1.045049088,-0.335708765
1784827268.445693970,-0.082393917,0.057232492,0.039693090,0.507451766,1.043170258,-0.330887494
1784827268.446733236,-0.081124121,0.055155530,0.039662008,0.452918666,1.011529255,-0.331093502
1784827268.448220491,-0.080125993,0.054442343,0.049665464,0.497076745,1.023011927,-0.325545928
1784827268.449958086,-0.075451471,0.059445452,0.045779389,0.508267664,0.983444962,-0.305413347
1784827268.451597452,-0.074142246,0.059951756,0.046982671,0.476457644,0.955571635,-0.295645643
1784827268.458179474,-0.078778152,0.057533636,0.047269268,0.452907175,0.972337758,-0.335465419
1784827268.459954739,-0.074216030,0.061214141,0.053362370,0.504312691,0.950965366,-0.305107340
1784827268.461562395,-0.079785736,0.056857815,0.050927243,0.441411924,0.989983951,-0.315947335
1784827268.463308096,-0.083340829,0.056481933,0.044721925,0.466908468,1.028576177,-0.326236415
1784827268.465235710,-0.076644760,0.058854855,0.045852411,0.511173120,0.978550980,-0.315443322
1784827268.466926813,-0.073070925,0.061843202,0.049609836,0.494763978,0.944868355,-0.309926898
1784827268.468621016,-0.077611929,0.058181403,0.042162327,0.450798708,0.961912170,-0.325755594
1784827268.470289230,-0.082294974,0.055809436,0.043595024,0.455897791,1.018578351,-0.350548291
1784827268.471696854,-0.077775237,0.058302436,0.042040351,0.508142646,1.010257004,-0.310681951
1784827268.473372698,-0.079974176,0.062204092,0.044766127,0.516460985,0.984038793,-0.325643040
1784827268.475054502,-0.074311882,0.057453572,0.042060570,0.468488933,0.953059283,-0.320346973
