source_timestamp_sec,Fx,Fy,Fz
1782424051.794816017,-0.008516657,0.102413510,-0.059230276
1782424051.796167612,-0.005524346,0.097018909,-0.051236882
1782424051.798312187,-0.005855794,0.110096733,-0.058867945
1782424051.802209139,-0.013535098,0.105974584,-0.050026555
1782424051.803075075,-0.014523688,0.109031634,-0.056633438
1782424051.804313183,0.000000000,0.000000000,0.000000000
1782424051.806061506,-0.012794620,0.099398606,-0.052678075
1782424051.807739735,-0.008781174,0.101088152,-0.054694181
1782424051.813629389,-0.011562740,0.104679393,-0.059655739
1782424051.814365864,-0.008760815,0.105725939,-0.056423657
1782424051.816030979,-0.009526850,0.104536495,-0.059456399
1782424051.817704201,-0.011352529,0.108234167,-0.056713736
1782424051.819805384,-0.013758706,0.105668743,-0.056671280
1782424051.821135283,-0.014281550,0.104606624,-0.059323228
1782424051.827104092,-0.011564242,0.108075298,-0.056973335
1782424051.827987909,-0.007230694,0.105291153,-0.056567249
1782424051.829553604,-0.009771755,0.102439851,-0.057060861
1782424051.832061052,-0.010207161,0.102324236,-0.057428694
1782424051.832915306,-0.009983205,0.107837202,-0.056949408
1782424051.839356899,-0.012334245,0.102751041,-0.056369362
1782424051.841689587,-0.010817615,0.105464282,-0.062355021
1782424051.842766285,-0.010468566,0.102710542,-0.056044172
1782424051.844874382,-0.012960873,0.111518140,-0.060636649
1782424051.846225977,-0.013548455,0.105550685,-0.061488534
1782424051.852255821,-0.011409026,0.098145561,-0.060145144
1782424051.853119612,-0.006402848,0.099743574,-0.055896717
1782424051.854445219,-0.011427191,0.101258321,-0.058871699
1782424051.856092930,-0.011681505,0.101182992,-0.059263177
1782424051.857694864,-0.011383776,0.099864683,-0.055640480
1782424051.860227108,-0.006968283,0.107443224,-0.056518179
1782424051.861124039,-0.013831689,0.101794504,-0.057582042
1782424051.864461899,-0.013584019,0.097165480,-0.055595418
1782424051.866051197,-0.011402393,0.091723489,-0.055334612
1782424051.867719412,-0.009973629,0.102591814,-0.061700584
1782424051.869823694,-0.012139246,0.105384994,-0.061182719
1782424051.871148348,-0.014283566,0.100371960,-0.060687109
1782424051.875834942,-0.012196105,0.105310809,-0.061647338
1782424051.876590967,-0.018636189,0.098222264,-0.059268755
1782424051.877709866,0.000000000,0.000000000,0.000000000
1782424051.879657745,-0.012353210,0.101794075,-0.063127666
1782424051.881113291,-0.011885312,0.103714664,-0.058708030
1782424051.882728100,-0.014422983,0.104528142,-0.063464813
1782424051.889564753,-0.011523372,0.100036793,-0.054801190
1782424051.891125441,-0.008196384,0.102547627,-0.067821370
1782424051.892774820,-0.013799913,0.098323799,-0.058501731
1782424051.894849062,-0.014375146,0.104165568,-0.063912464
1782424051.896174669,-0.013913397,0.102650779,-0.060835740
1782424051.902224541,-0.016618772,0.102594468,-0.067731635
1782424051.903109074,-0.007423150,0.101815622,-0.062338934
1782424051.904441833,-0.009351365,0.103397863,-0.059242282
1782424051.906095028,-0.013850835,0.101339380,-0.063983064
1782424051.907723188,-0.008825457,0.098687923,-0.057623555
1782424051.914447784,-0.013658923,0.101293044,-0.064127052
1782424051.916130543,-0.009109003,0.097379230,-0.060561084
1782424051.917772293,-0.009304007,0.097307311,-0.066313431
1782424051.919833899,-0.009038772,0.100530901,-0.059299281
1782424051.921177864,-0.013070220,0.091392432,-0.055326707
1782424051.927118063,-0.011466643,0.103336623,-0.065035099
1782424051.927980185,-0.011358664,0.107679768,-0.061193524
1782424051.929538250,-0.015614190,0.098809132,-0.063265695
1782424051.932063818,-0.013619613,0.098265507,-0.070564789
1782424051.932922840,-0.006709678,0.092899405,-0.064015597
1782424051.936943293,-0.011107367,0.094762130,-0.065275680
1782424051.937788486,-0.009278311,0.098737563,-0.068687551
1782424051.939439058,-0.015663940,0.097130929,-0.066302025
1782424051.941055298,-0.009267036,0.102052735,-0.067459656
1782424051.942733288,-0.017924999,0.101855201,-0.067691119
1782424051.944796085,-0.004805537,0.101647906,-0.062257147
1782424051.946128368,-0.013083608,0.093744801,-0.061501261
1782424051.952146292,-0.017426188,0.094926998,-0.059149934
1782424051.952885628,-0.015599782,0.101002713,-0.063466089
1782424051.954437971,-0.011128994,0.097300856,-0.065223010
1782424051.956089497,-0.008981248,0.103315516,-0.064351654
1782424051.957816839,-0.008499129,0.095538502,-0.063124344
1782424051.964465380,-0.010820738,0.097397991,-0.065536753
1782424051.966128826,-0.015062204,0.098492507,-0.068972214
1782424051.967820406,-0.012432091,0.096690596,-0.060992735
1782424051.969875097,-0.010451831,0.101732330,-0.073457852
1782424051.971100330,-0.007790884,0.098725749,-0.068193855
1782424051.977144241,-0.012259385,0.102085354,-0.066887012
1782424051.977993011,-0.012084535,0.098692282,-0.068021531
1782424051.979415178,-0.009535570,0.099178783,-0.061397898
1782424051.981052160,-0.008842761,0.095881745,-0.062722497
1782424051.982706785,-0.005987340,0.089573810,-0.070124759
1782424051.989413977,-0.012859918,0.096946186,-0.066708335
1782424051.991097927,-0.012547508,0.101137571,-0.068957483
1782424051.992751360,-0.014100467,0.097198954,-0.066211003
1782424051.994817019,-0.007568598,0.099766042,-0.065833715
1782424051.996143103,-0.015791761,0.096523878,-0.067630472
1782424051.998895884,-0.009163692,0.095864301,-0.068497011
1782424051.999719143,-0.009351170,0.095824160,-0.062705628
1782424052.002259493,-0.011335471,0.093085964,-0.068694406
1782424052.003214359,-0.007221912,0.099708532,-0.066155861
1782424052.004446507,-0.008932436,0.101411789,-0.062899078
1782424052.006042957,-0.005970741,0.088250503,-0.061129729
1782424052.007706165,-0.007583970,0.093187309,-0.062595724
1782424052.014461279,-0.007561449,0.097613914,-0.064920852
1782424052.016130924,-0.006578881,0.097198365,-0.071001572
1782424052.017782450,-0.003829967,0.097500509,-0.070123728
1782424052.026161909,-0.001560312,0.096794926,-0.070999341
1782424052.027708769,-0.001698892,0.101862677,-0.077448307
1782424052.029347658,-0.006418740,0.099770150,-0.071112196
1782424052.035842896,-0.001802463,0.095066766,-0.074322909
1782424052.036688566,0.002302029,0.093827522,-0.070265292
1782424052.037644863,0.000000000,0.000000000,0.000000000
1782424052.039508581,0.000435906,0.091764176,-0.069180292
1782424052.041143656,-0.003233986,0.098193596,-0.073535853
1782424052.045308113,0.001037536,0.095867335,-0.071969083
1782424052.045950413,0.000000000,0.000000000,0.000000000
1782424052.047861099,-0.003406425,0.099428321,-0.071237681
1782424052.049473047,-0.000788776,0.098328842,-0.072475332
1782424052.051125050,0.000010928,0.091277758,-0.074771451
1782424052.053120375,-0.002697789,0.096694102,-0.070810365
1782424052.054433823,0.002716856,0.090329264,-0.075969425
1782424052.060547113,0.003070566,0.096842958,-0.079757123
1782424052.061395407,-0.004458281,0.091761697,-0.070046473
1782424052.062708616,0.000881709,0.094207862,-0.074707745
1782424052.064359903,-0.000405805,0.089881994,-0.077111597
1782424052.066019773,0.001580117,0.088483679,-0.068990170
1782424052.072828531,0.000273002,0.089734587,-0.077486127
1782424052.074390411,0.002372187,0.090289089,-0.070685402
1782424052.076060295,0.001281489,0.093808283,-0.075086795
1782424052.078185081,0.005344795,0.089342706,-0.071940873
1782424052.079577684,0.006413227,0.095406493,-0.076250821
1782424052.085637569,0.001865003,0.097016284,-0.074575346
1782424052.086500406,0.001460346,0.092686123,-0.071882092
1782424052.087826729,0.004877555,0.099361261,-0.074789982
1782424052.089398861,0.001345413,0.086785639,-0.077204415
1782424052.091051817,0.008763030,0.088989258,-0.076618434
1782424052.097900629,0.004132108,0.090628215,-0.075212148
1782424052.099517345,0.003245986,0.091938014,-0.078246158
1782424052.101169109,0.002402029,0.093146602,-0.081214629
1782424052.103106737,0.003283311,0.085255074,-0.074455938
1782424052.104413986,0.007689365,0.096017271,-0.080002577
1782424052.107773066,0.010845559,0.087371599,-0.074010860
1782424052.110606670,0.010883997,0.083831591,-0.074647025
1782424052.111443996,0.007473320,0.093937966,-0.078589858
1782424052.112772942,0.012280650,0.091174908,-0.076918955
1782424052.114416122,0.009235565,0.089690290,-0.080211531
1782424052.116106510,0.010044394,0.087084908,-0.079226289
1782424052.122828007,0.012871816,0.081904167,-0.072210142
1782424052.124406338,0.009045862,0.086221784,-0.080965274
1782424052.126053333,0.017632450,0.087313556,-0.085840059
1782424052.128107309,0.016131714,0.085899601,-0.078458477
1782424052.129420280,0.009783816,0.089888607,-0.075287360
1782424052.135431767,0.006728408,0.089377156,-0.081750306
1782424052.136283159,0.016396023,0.094746016,-0.083805612
1782424052.137841702,0.010204831,0.084507921,-0.083165194
1782424052.140442610,0.015436429,0.090767265,-0.081018449
1782424052.141300678,0.014970915,0.088787198,-0.079859846
1782424052.142723083,0.016680762,0.090468490,-0.081230425
1782424052.147813559,0.012343727,0.087357705,-0.083155875
1782424052.149357796,0.018108745,0.087953632,-0.075323440
1782424052.151047707,0.019101164,0.084106171,-0.075864073
1782424052.153072357,0.023724188,0.082184847,-0.076776494
1782424052.154380083,0.017792577,0.081226685,-0.076194340
1782424052.160579443,0.019949803,0.089334373,-0.081883852
1782424052.161462545,0.024989409,0.085838673,-0.084767763
1782424052.162696362,0.000000000,0.000000000,0.000000000
1782424052.164441824,0.017842747,0.085614218,-0.083827439
1782424052.166129112,0.026054957,0.080279851,-0.078635198
1782424052.171196699,0.022557934,0.082789485,-0.081231254
1782424052.172861338,0.024270314,0.088777102,-0.085525366
1782424052.174412966,0.020189602,0.082961216,-0.077629349
1782424052.176080465,0.024784031,0.080092937,-0.074842713
1782424052.178119421,0.029370288,0.079898211,-0.081918346
1782424052.179456711,0.027685851,0.087565570,-0.085595017
1782424052.185439587,0.022181991,0.078782254,-0.078343877
1782424052.186276913,0.029864016,0.081084864,-0.079827704
1782424052.187722683,0.027960765,0.079900173,-0.077961380
1782424052.189416885,0.024319597,0.085342412,-0.077085305
1782424052.191034794,0.028897994,0.084546751,-0.080495697
1782424052.197810650,0.025772965,0.080122732,-0.079255994
1782424052.199461937,0.028118798,0.083825199,-0.082103884
1782424052.201135874,0.029824913,0.078706177,-0.079398438
1782424052.202834845,0.033661013,0.081519082,-0.082126199
1782424052.204472303,0.032306127,0.075708304,-0.077811489
1782424052.210551739,0.033416065,0.084678739,-0.077948742
1782424052.211400270,0.031388160,0.077197978,-0.080951838
1782424052.212614775,0.000000000,0.000000000,0.000000000
1782424052.214456797,0.030794251,0.085173735,-0.083945062
1782424052.216125965,0.034894663,0.082713412,-0.080509001
1782424052.218854904,0.031816055,0.081875749,-0.079191341
1782424052.219476938,0.000000000,0.000000000,0.000000000
1782424052.222814083,0.037205148,0.081593534,-0.080792745
1782424052.224440813,0.036660499,0.088306608,-0.080879734
1782424052.226093054,0.033773410,0.077176097,-0.075677259
1782424052.228144169,0.040237570,0.078856541,-0.073310300
1782424052.229461908,0.041941153,0.084389950,-0.073362861
1782424052.233556747,0.039326156,0.081984882,-0.079033846
1782424052.234401703,0.032700660,0.076898936,-0.082196732
1782424052.236105919,0.033044980,0.082234610,-0.079196907
1782424052.237905502,0.038245636,0.078340675,-0.081232521
1782424052.239471912,0.039119175,0.082003589,-0.074798442
1782424052.241017342,0.037465394,0.083333786,-0.074097744
1782424052.247771740,0.040653498,0.084228545,-0.075769082
1782424052.249471188,0.038058599,0.083559956,-0.073869423
1782424052.251123667,0.043757654,0.091865592,-0.076292564
1782424052.253096581,0.036704834,0.079905571,-0.076055272
1782424052.254404306,0.042463919,0.088194607,-0.073418583
1782424052.260412693,0.044681942,0.087112587,-0.078492487
1782424052.261251688,0.040222064,0.089539493,-0.078417625
1782424052.262893677,0.036875555,0.090245849,-0.069384132
1782424052.265339136,0.044411270,0.090528139,-0.073637976
1782424052.266198158,0.040094298,0.084329671,-0.071836955
1782424052.272807837,0.038320110,0.085941902,-0.076293879
