source_timestamp_sec,Fx,Fy,Fz
1783620459.828899860,0.014377169,0.012597700,0.001458535
1783620459.830581188,0.018274325,0.006452075,0.002902490
1783620459.832280874,0.021915181,0.022226254,-0.001112757
1783620459.837146997,0.018304266,0.005796832,-0.006241094
1783620459.838427544,0.011885884,0.010548140,-0.001818840
1783620459.839740515,0.014597781,0.014879338,-0.003478152
1783620459.840996981,0.014502491,0.012877196,-0.002015517
1783620459.842206001,0.018103579,0.003744751,-0.004668538
1783620459.843879700,0.010653459,0.021793469,0.004046483
1783620459.845540524,0.009365242,0.007973558,-0.001474281
1783620459.847234726,0.016621280,0.012279523,-0.006398260
1783620459.850970268,0.012516739,0.015964768,-0.002875185
1783620459.852247715,0.012335841,0.016479786,-0.006352272
1783620459.853949070,0.009942087,0.013454641,-0.002482805
1783620459.855775118,0.017467614,0.020956745,-0.019514800
1783620459.857235670,0.017549730,0.023129157,-0.005217727
1783620459.858903885,0.014576217,0.015395530,-0.007202384
1783620459.863455534,0.013353126,0.025842342,-0.010399704
1783620459.864649296,0.013741340,0.006283486,-0.006670034
1783620459.865856886,0.017705159,0.026361818,-0.001293435
1783620459.867321968,0.013926404,0.009567650,-0.002875484
1783620459.869003296,0.019658365,0.019374122,-0.016823878
1783620459.870671749,0.016510789,0.013332208,0.002166348
1783620459.872449875,0.013897176,0.006042793,-0.006683765
1783620459.876000643,0.010481290,0.020120732,0.001962548
1783620459.877438784,0.014752197,0.017215998,-0.008835677
1783620459.878907919,0.014630906,0.016318998,0.001439713
1783620459.880582809,0.014434286,0.013255364,-0.005829626
1783620459.882254124,0.019579168,0.021646120,-0.002839846
1783620459.888508081,0.016400787,0.011256235,0.003586372
1783620459.889909267,0.011951305,0.010682639,-0.005423974
1783620459.891195774,0.017079072,0.019823272,-0.009466404
1783620459.892450094,0.014001648,0.009041590,0.000502934
1783620459.893959522,0.015645611,0.003115605,-0.006244926
1783620459.895639181,0.012778496,0.019827190,-0.006145515
1783620459.897327900,0.009218721,0.005905785,-0.000162113
1783620459.900992155,0.024292368,0.022993187,-0.004245404
1783620459.902279854,0.020070260,0.002787009,-0.006231590
1783620459.904008150,0.013688016,0.028597122,-0.003385591
1783620459.905563831,0.017593892,0.022919607,-0.005574094
1783620459.907305479,0.000812487,0.014183060,-0.018962593
1783620459.908977747,0.018138912,0.030184064,-0.004799052
1783620459.913451195,0.013487516,0.002854155,-0.010956255
1783620459.914635420,0.010777823,0.020462207,-0.001862807
1783620459.915861368,0.014198329,0.011613672,-0.008014091
1783620459.917318106,0.017456148,0.022601889,-0.002133102
1783620459.918990612,0.016828229,0.015109582,0.000330767
1783620459.920638561,0.015838433,0.004324239,-0.000993031
1783620459.922488689,0.017423663,0.021576297,-0.011074402
1783620459.925972462,0.014558543,0.014922869,-0.004265681
1783620459.927430391,0.013770247,0.028157237,0.000041747
1783620459.929102182,0.016523755,0.012147922,-0.007063255
1783620459.930603743,0.017789914,0.022399196,-0.002231378
1783620459.932303905,0.020998798,0.011014036,-0.000206273
1783620459.938479185,0.014151727,0.009512446,-0.006623780
1783620459.939905643,0.015567456,0.025571618,-0.002996773
1783620459.941208363,0.016272341,0.010307058,-0.005893791
1783620459.942445993,0.014087530,0.009173078,-0.003231624
1783620459.943896770,0.014797298,0.016384924,-0.002422162
1783620459.945576191,0.017747229,0.003986072,-0.009180248
1783620459.947309971,0.020035398,0.027897157,-0.014787428
1783620459.950965881,0.020972728,0.013443480,-0.005538049
1783620459.952208996,0.017940084,0.026444055,-0.005618145
1783620459.954175472,0.018840369,0.015054674,-0.011527434
1783620459.955706358,0.012939767,0.026305607,-0.018096604
1783620459.957373619,0.017663843,0.027643402,-0.016347910
1783620459.959063292,0.018701024,0.012569123,-0.006538404
1783620459.962040186,0.010801768,0.022645428,-0.007196201
1783620459.963213205,0.015554723,0.002367783,-0.000026153
1783620459.964319944,0.015860353,0.008806420,-0.011407410
1783620459.965570927,0.019587571,0.022095704,-0.010725359
1783620459.967355967,0.014119672,0.008896498,-0.000177558
1783620459.969061613,0.014205206,0.015433750,-0.011733498
1783620459.970821857,0.017102990,0.019020986,-0.003455485
1783620459.972374439,0.018604776,0.010496803,-0.005145243
1783620459.976069927,0.013051845,0.021216034,-0.004778097
1783620459.977415562,0.012990515,0.025873059,-0.014825899
1783620459.978937864,0.022530030,0.029752393,-0.009194314
1783620459.980658770,0.016676255,0.015681785,-0.007539002
1783620459.982393742,0.009893365,0.015470415,-0.008251570
1783620459.984069586,0.015377341,0.021850491,-0.004193798
1783620459.988506556,0.007289526,0.009072023,-0.004705852
1783620459.990021706,0.010818297,0.024724909,-0.009183716
1783620459.991314411,0.013315580,0.005875485,-0.007751201
1783620459.992576599,0.015150047,0.020009900,-0.006027946
1783620459.994074345,0.017829811,0.005266870,-0.007807558
1783620459.995746613,0.011876017,0.014599120,-0.012866800
1783620459.997240782,0.020226074,0.022832160,-0.002543858
1783620460.000907898,0.009404013,0.009881273,-0.007316301
1783620460.002374649,0.017812419,0.000832997,0.001996043
