source_timestamp_sec,Fx,Fy,Fz
1783620461.278900385,-0.019831484,-0.246887201,2.775555135
1783620461.280589104,-0.021500869,-0.244117455,2.773741229
1783620461.282297373,-0.029704220,-0.242788353,2.780136338
1783620461.288555622,-0.022873561,-0.243596873,2.765583949
1783620461.290040493,-0.043898861,-0.241481382,2.787107855
1783620461.291371822,-0.051195529,-0.238672388,2.791885301
1783620461.292635202,-0.044463550,-0.239452471,2.774783452
1783620461.294115543,-0.059591133,-0.233587718,2.786071815
1783620461.295593500,-0.057283363,-0.233932033,2.774037633
1783620461.297283173,-0.066534624,-0.236231605,2.776106397
1783620461.300996304,-0.081163284,-0.230368679,2.780900848
1783620461.302336693,-0.082824816,-0.226812951,2.769740066
1783620461.304100990,-0.080480589,-0.224860892,2.750985992
1783620461.305825233,-0.086743411,-0.227038405,2.758717951
1783620461.307328224,-0.098495866,-0.218799560,2.759257455
1783620461.309039593,-0.088740670,-0.221847411,2.754599103
1783620461.310583115,-0.103206758,-0.219245510,2.742511328
1783620461.313471794,-0.096389309,-0.220135136,2.732673751
1783620461.314674854,-0.110384566,-0.216789498,2.752233278
1783620461.315881729,-0.112870974,-0.216122039,2.728282800
1783620461.317367554,-0.126017690,-0.212123057,2.729385527
1783620461.319181204,-0.115662197,-0.216206144,2.703979717
1783620461.320642710,-0.119668157,-0.212106646,2.714337333
1783620461.322236776,-0.130593873,-0.211444854,2.722566867
1783620461.326019764,-0.119489761,-0.212794600,2.690744927
1783620461.327214956,-0.133995958,-0.208193930,2.678886812
1783620461.328941584,-0.147023200,-0.205247444,2.687194466
1783620461.330623865,-0.150395176,-0.201631410,2.667392240
1783620461.332343340,-0.149295612,-0.205259132,2.661123995
1783620461.333958387,-0.159845784,-0.202079338,2.657769105
1783620461.338603735,-0.156818127,-0.203510279,2.644200409
1783620461.340143919,-0.170562076,-0.203491225,2.647048502
1783620461.341449261,-0.167557665,-0.207137435,2.635477179
1783620461.342694283,-0.181954761,-0.204770166,2.642542584
1783620461.343916893,-0.184328256,-0.204147235,2.628321642
