source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1783620502.991170168,-0.146070623,0.181481806,-0.001096235,-1.095126677,-0.842944784,-2.357713094
1783620502.992746353,-0.147927776,0.178949500,-0.005856941,-1.071024327,-0.823907508,-2.366576690
1783620502.994419098,-0.150110688,0.182516248,-0.004585468,-1.069226607,-0.829584474,-2.380178655
1783620502.996148348,-0.148015462,0.180183910,-0.003558890,-1.076633218,-0.838790554,-2.347916555
1783620502.997743845,-0.150064050,0.177487736,-0.003449466,-1.086719761,-0.838166258,-2.371627905
1783620502.999428749,-0.148021929,0.177631030,-0.001044219,-1.092379433,-0.831392564,-2.372154097
1783620503.001057625,-0.148114113,0.180068812,-0.003476630,-1.097270435,-0.849852509,-2.362078958
1783620503.002715588,-0.145971043,0.181315638,-0.005829078,-1.082779515,-0.858913312,-2.371094506
1783620503.004388332,-0.149095538,0.180698393,-0.001070423,-1.080240372,-0.836099498,-2.366907427
1783620503.006039858,-0.150083570,0.181376545,-0.004629771,-1.069619613,-0.818235641,-2.370958124
1783620503.007746220,-0.147001563,0.179485077,-0.008134690,-1.094253885,-0.837243456,-2.385126679
1783620503.009394407,-0.148020571,0.178734018,-0.006979610,-1.092191948,-0.850466052,-2.380548411
1783620503.011068821,-0.149068998,0.178289451,-0.001089802,-1.088433911,-0.824889866,-2.362582490
1783620503.012720346,-0.145908643,0.180090992,-0.005887453,-1.076966625,-0.859401533,-2.361828159
1783620503.014404774,-0.146905053,0.178186288,-0.002311725,-1.075439960,-0.853604438,-2.362479260
1783620503.016024590,-0.148047100,0.181309672,-0.001049692,-1.076382464,-0.842468165,-2.371586978
1783620503.017704964,-0.148013746,0.180058325,-0.008194410,-1.084103908,-0.842575045,-2.375507483
1783620503.019387245,-0.146972137,0.179500516,-0.006943832,-1.087517585,-0.833583922,-2.385271544
1783620503.021014929,-0.147017754,0.180745486,-0.004574789,-1.086492168,-0.837121617,-2.380719513
1783620503.022791386,-0.147037222,0.179426062,-0.002240180,-1.094478202,-0.852698074,-2.371797196
1783620503.024451017,-0.150073974,0.180175742,-0.008259750,-1.076993942,-0.818289938,-2.361254089
1783620503.026093006,-0.147991506,0.180133253,-0.007073634,-1.076981004,-0.838844351,-2.361540238
1783620503.027737856,-0.149029672,0.181887210,-0.005813978,-1.066293564,-0.840098495,-2.375445228
1783620503.029448986,-0.147019085,0.180704590,-0.005849801,-1.086635968,-0.852547047,-2.366416720
1783620503.031152725,-0.147989780,0.180174376,-0.005798558,-1.076835763,-0.823421689,-2.375844802
1783620503.032759666,-0.145894665,0.179971785,-0.005747298,-1.077741287,-0.859541448,-2.390050614
1783620503.034419060,-0.147981191,0.177600694,-0.002248239,-1.085888926,-0.835472643,-2.371959408
1783620503.036162376,-0.150086651,0.178796600,-0.005855067,-1.085368034,-0.833935152,-2.366442118
1783620503.037792206,-0.147970111,0.182619079,-0.002277597,-1.055067630,-0.834998068,-2.366496233
