source_timestamp_sec,Fx,Fy,Fz
1783620704.039449453,-0.357674228,-0.261701979,4.937988783
1783620704.040812492,-0.352151880,-0.262370954,4.978917387
1783620704.042324305,-0.350151728,-0.262392813,5.010793636
1783620704.043945312,-0.352012334,-0.264027228,5.048936300
1783620704.045501709,-0.347566881,-0.264944244,5.088389518
1783620704.047242165,-0.346585380,-0.267923523,5.126422342
1783620704.048862219,-0.349640618,-0.268836485,5.169663944
1783620704.050648212,-0.349155026,-0.271014446,5.207635341
1783620704.052170515,-0.351675514,-0.273553843,5.248575910
1783620704.053978682,-0.352355720,-0.278604169,5.291686596
1783620704.055509567,-0.355231890,-0.277408642,5.336571592
1783620704.057134867,-0.358848714,-0.280239798,5.380151032
1783620704.058905602,-0.363377671,-0.280332865,5.423926274
1783620704.063019514,-0.365157510,-0.280382888,5.481474804
1783620704.064371824,-0.368165324,-0.280865539,5.561306289
1783620704.065669537,-0.369096650,-0.281262297,5.607415235
1783620704.067178488,-0.373990691,-0.280569031,5.644588754
1783620704.068952084,-0.375391916,-0.283059713,5.676386668
1783620704.070455313,-0.376232898,-0.284502836,5.715914114
1783620704.072199821,-0.379582625,-0.285059543,5.750202024
1783620704.076144695,-0.383215451,-0.285915683,5.787055743
1783620704.077719927,-0.391174692,-0.290997280,5.850290073
1783620704.079094410,-0.393224601,-0.292487172,5.884369097
1783620704.080671310,-0.394594559,-0.296885049,5.914877767
1783620704.082215309,-0.393469777,-0.297598266,5.942877742
1783620704.083981037,-0.397808715,-0.299659866,5.973684111
1783620704.085528135,-0.395460601,-0.303245272,6.005578608
1783620704.087177277,-0.399808981,-0.304624950,6.030099103
1783620704.088881254,-0.394512096,-0.304275157,6.063219638
1783620704.090456486,-0.395897655,-0.306934208,6.085385345
1783620704.092220068,-0.395571899,-0.308661761,6.126134871
1783620704.093872309,-0.396272291,-0.311290899,6.150619581
1783620704.095452785,-0.392851837,-0.312717230,6.185087195
1783620704.097220898,-0.392829439,-0.314309422,6.209589141
1783620704.100550413,-0.394065983,-0.315604205,6.245203354
1783620704.102192879,-0.394889012,-0.320415668,6.298221059
1783620704.103965282,-0.395839098,-0.322738568,6.317103875
1783620704.105469704,-0.396369967,-0.326581483,6.345730186
1783620704.107259274,-0.400778787,-0.329199010,6.372019671
1783620704.109032393,-0.400606911,-0.332374555,6.394437980
1783620704.112981796,-0.400646764,-0.334838418,6.423149548
1783620704.114294767,-0.395920251,-0.339421477,6.474153506
1783620704.115589380,-0.393525783,-0.342783068,6.505296337
1783620704.117250204,-0.393038197,-0.343814674,6.534008402
1783620704.118784189,-0.392107238,-0.347640159,6.570019530
1783620704.120524645,-0.392048855,-0.350870935,6.610154068
1783620704.122319937,-0.396212930,-0.354218952,6.647528722
1783620704.125634909,-0.402134364,-0.358128342,6.695304125
1783620704.127154589,-0.411606844,-0.362147627,6.792773529
1783620704.129024982,-0.415008806,-0.362505975,6.842649271
1783620704.130539894,-0.421261199,-0.364019114,6.901149287
