source_timestamp_sec,Fx,Fy,Fz
1783619975.745827913,-0.003125274,-0.025643971,0.015790443
1783619975.747524977,-0.002720847,-0.027796194,0.011132513
1783619975.749091625,-0.003195521,-0.029929082,0.010037562
1783619975.756034851,-0.001620347,-0.025006545,0.013751456
1783619975.757590055,-0.001277040,-0.029824123,0.009039764
1783619975.759402275,-0.002458633,-0.025361041,0.012237026
1783619975.760890961,-0.003473348,-0.030953260,0.009512155
1783619975.762601852,-0.005239429,-0.026124131,0.011657723
1783619975.768548250,-0.004372643,-0.028351244,0.013125366
1783619975.769627333,-0.002860734,-0.031527569,0.013030353
1783619975.770947218,-0.005800419,-0.025270053,0.013217966
1783619975.772500753,-0.006052385,-0.030405454,0.012039590
1783619975.774086952,-0.003222280,-0.027235297,0.010152083
1783619975.775791407,0.000944358,-0.029538664,0.010643914
1783619975.781046867,-0.001950139,-0.030006182,0.012620609
1783619975.782474518,-0.002857909,-0.027479438,0.013741534
1783619975.784068584,-0.003727129,-0.029063277,0.014217199
1783619975.785764933,-0.004200830,-0.028417785,0.013238643
1783619975.787441492,-0.004564466,-0.026818271,0.012792097
1783619975.793667316,-0.004121620,-0.027445535,0.011273172
1783619975.795042753,-0.002190169,-0.024333564,0.012921569
1783619975.796258450,-0.000270142,-0.025382936,0.011394452
1783619975.797447205,-0.001333679,-0.024080536,0.011915285
1783619975.799292803,-0.003271981,-0.029632818,0.012849278
1783619975.800844908,-0.001781460,-0.025989335,0.013485922
1783619975.804565668,-0.004315577,-0.025532303,0.013484884
1783619975.805964947,-0.001617127,-0.028782762,0.013432367
1783619975.807621241,-0.002709650,-0.027563241,0.013959451
1783619975.809412479,-0.004890537,-0.028976426,0.011940823
1783619975.810874462,0.000483664,-0.028765485,0.012468617
1783619975.812621117,-0.001258440,-0.023577614,0.017153805
1783619975.818517685,0.000092654,-0.030574978,0.016525598
1783619975.819580555,0.001216081,-0.034319464,0.021033978
1783619975.820738554,-0.000989470,-0.029045613,0.019603747
1783619975.822546959,0.007143786,-0.031064488,0.018104367
