source_timestamp_sec,Fx,Fy,Fz
1782429619.390861750,-0.098814183,0.134105660,0.060575589
1782429619.392204285,-0.096046082,0.131358868,0.056572097
1782429619.393955946,-0.097885093,0.135509702,0.051103451
1782429619.395733833,-0.100348111,0.133904624,0.058655621
1782429619.397255182,-0.100527601,0.134014026,0.058709279
1782429619.403202772,-0.096543821,0.134388711,0.055307758
1782429619.404011011,-0.097283927,0.133339790,0.057540324
1782429619.405613184,-0.096151555,0.136547788,0.058088389
1782429619.408410072,-0.097100300,0.134320736,0.062509249
1782429619.409192801,-0.099518548,0.136327003,0.054160660
1782429619.410477400,-0.092973964,0.130368479,0.062591640
1782429619.415813208,-0.096162608,0.136563293,0.057972549
1782429619.417324781,-0.096547401,0.135358015,0.060185405
1782429619.418908119,-0.100989685,0.132968874,0.060770711
1782429619.420775414,-0.094988444,0.134528723,0.057051658
1782429619.422317505,-0.091519756,0.134825473,0.060948800
1782429619.428082705,-0.093028234,0.129373168,0.057490679
1782429619.428884029,-0.098371479,0.133378149,0.048169190
1782429619.430553913,-0.101070548,0.132929643,0.060814868
1782429619.433374405,-0.096235782,0.131071952,0.063673545
1782429619.434164524,-0.095408751,0.133484145,0.059244071
1782429619.435548306,-0.099516727,0.137341523,0.059004211
1782429619.438182354,-0.094496421,0.135716815,0.054735240
1782429619.438869953,-0.097759451,0.143034351,0.055158572
1782429619.440800428,-0.097137567,0.133306849,0.057254226
1782429619.442296267,-0.098732753,0.133188836,0.055320011
1782429619.443876266,-0.096813599,0.135520866,0.059974751
1782429619.445796967,-0.100521085,0.134161721,0.058347588
1782429619.447288752,-0.095785500,0.137841214,0.055477255
1782429619.453239679,-0.097707909,0.132189304,0.059339772
1782429619.454088211,-0.095723743,0.137763208,0.055473135
1782429619.455468893,-0.092173126,0.137896363,0.059274055
1782429619.458446503,-0.098478513,0.135484160,0.057789693
1782429619.459222078,-0.102182302,0.128774430,0.054667750
1782429619.460516453,-0.097273186,0.134387604,0.061767135
1782429619.465775967,-0.101016314,0.139538395,0.059376546
1782429619.467256546,-0.093469977,0.133828368,0.053253870
1782429619.468942165,-0.099506368,0.132325894,0.056687279
1782429619.470795393,-0.098767846,0.139898459,0.053737091
1782429619.472308874,-0.095923643,0.132828753,0.053116048
1782429619.478297234,-0.096253559,0.131582755,0.055335222
1782429619.479094744,-0.100402635,0.140790981,0.056626336
1782429619.480448008,-0.098473205,0.130379141,0.055368785
1782429619.483441591,-0.100450546,0.135687780,0.054463256
1782429619.484219551,-0.094845650,0.131879799,0.056644653
1782429619.485507488,-0.103800318,0.132182070,0.058858641
1782429619.490820646,-0.094909080,0.136183145,0.052829835
1782429619.492317200,-0.095653092,0.135148028,0.054720980
1782429619.493789434,-0.099635976,0.134744951,0.057805886
1782429619.495773315,-0.100775421,0.136690394,0.058647374
1782429619.497277021,-0.101979658,0.137979440,0.053953018
1782429619.500901699,-0.100640105,0.130770281,0.051628348
1782429619.503173113,-0.101955009,0.143159615,0.055465922
1782429619.503962755,-0.089917195,0.130447515,0.051256663
1782429619.505662680,-0.098967923,0.136040618,0.054994861
1782429619.508401632,-0.099059944,0.136177378,0.054861174
1782429619.509189844,-0.099046435,0.140470894,0.051259740
1782429619.510449409,-0.100732539,0.136044189,0.052611734
1782429619.515803814,-0.094907078,0.139577425,0.059222175
1782429619.517325640,-0.098716788,0.125630506,0.051533657
1782429619.518923283,-0.095608644,0.131283974,0.056674372
