source_timestamp_sec,Fx,Fy,Fz
1783620353.680916786,-0.888501375,-0.331049681,3.411948383
1783620353.682420492,-0.896873705,-0.303958501,3.460973869
1783620353.683946133,-0.898289068,-0.300483914,3.462960115
1783620353.685628414,-0.896530936,-0.296158847,3.476909971
1783620353.687313080,-0.892806139,-0.293813332,3.495357957
1783620353.688983917,-0.891177626,-0.289327315,3.512989991
1783620353.693322897,-0.887814633,-0.285820489,3.528727226
1783620353.694672346,-0.877581299,-0.268563843,3.588209280
1783620353.695976019,-0.871345833,-0.262914713,3.602574874
1783620353.697291851,-0.867542478,-0.257563185,3.632690259
1783620353.699203253,-0.862499076,-0.255669549,3.662518055
1783620353.700707674,-0.852065184,-0.249441960,3.691385804
1783620353.702406168,-0.855131750,-0.244107613,3.709198724
1783620353.705986738,-0.841050179,-0.241652655,3.743956162
1783620353.707248688,-0.836893214,-0.237384003,3.781691137
1783620353.708951712,-0.828338313,-0.230800763,3.817265548
1783620353.710597515,-0.822124822,-0.225659930,3.848879309
1783620353.712355852,-0.814308923,-0.217666507,3.877810960
1783620353.714145899,-0.812271346,-0.213334696,3.928501602
1783620353.718241215,-0.802918925,-0.206363203,3.966558803
1783620353.719434261,-0.797010131,-0.189719697,4.087357490
1783620353.720608950,-0.794341152,-0.181319789,4.133785976
1783620353.722316504,-0.790666860,-0.173056000,4.184486143
1783620353.723963261,-0.788258170,-0.165929767,4.236731445
1783620353.725597620,-0.784048010,-0.156915500,4.289774351
1783620353.728036165,-0.779283193,-0.149550504,4.339471929
1783620353.729335785,-0.778037233,-0.141723226,4.404122144
1783620353.730831146,-0.778163404,-0.133192398,4.463940810
1783620353.732531786,-0.777801847,-0.125194813,4.535140966
1783620353.734174967,-0.778436908,-0.119998609,4.606489223
1783620353.735649347,-0.785832062,-0.114736180,4.685298415
1783620353.737325430,-0.785368375,-0.109288538,4.761926594
1783620353.739001751,-0.793113520,-0.102837587,4.838535803
1783620353.742953300,-0.791616713,-0.096902399,4.922951166
1783620353.744052410,-0.800632903,-0.087307292,5.003327509
1783620353.745759487,-0.800900604,-0.079119343,5.092827976
1783620353.747309446,-0.814273720,-0.068275907,5.176362551
1783620353.748970509,-0.820183194,-0.055331721,5.266438222
1783620353.750642061,-0.827800635,-0.039768657,5.359993035
1783620353.755783558,-0.837988243,-0.027224779,5.458677055
1783620353.757447004,-0.870900485,0.023810968,5.769969146
1783620353.758996010,-0.882241566,0.035590894,5.878963625
1783620353.760732174,-0.897635371,0.048067616,5.989614045
1783620353.762542725,-0.908290634,0.055573439,6.095775226
1783620353.764043808,-0.937172012,0.066176835,6.210383254
1783620353.768274546,-0.954063175,0.072380706,6.313553858
1783620353.769444227,-1.013041953,0.095628430,6.635299687
1783620353.770639896,-1.032744443,0.101195781,6.759432813
1783620353.772311211,-1.053408748,0.104300947,6.867737163
1783620353.774048567,-1.081268015,0.109747551,6.986901224
1783620353.775745869,-1.104931655,0.113126658,7.110092962
1783620353.780994415,-1.130454710,0.119672865,7.238181890
1783620353.782421589,-1.186372515,0.131604305,7.495865613
1783620353.783964872,-1.215335322,0.141048264,7.638110345
1783620353.785657883,-1.242634944,0.151658570,7.771526350
1783620353.787342310,-1.263945131,0.157490158,7.922348267
1783620353.789020538,-1.291070957,0.165901640,8.064955694
1783620353.793292761,-1.313527261,0.173051883,8.214618677
1783620353.794565916,-1.385399088,0.191653810,8.688375266
1783620353.795878649,-1.416293582,0.196478644,8.842138366
1783620353.797442675,-1.438275887,0.200284502,9.004578261
1783620353.799129486,-1.459217115,0.208685045,9.160606808
1783620353.800773144,-1.481155691,0.210851838,9.320246704
1783620353.802316666,-1.507398865,0.214296656,9.486227838
1783620353.805387735,-1.529096753,0.219108222,9.649410273
