source_timestamp_sec,Fx,Fy,Fz
1783618206.151644468,0.804169871,-0.258355745,0.624265903
1783618206.153379440,0.809681914,-0.269496937,0.639894105
1783618206.154826641,0.805721539,-0.266656575,0.632722047
1783618206.161178350,0.811960456,-0.271193599,0.644524248
1783618206.162173271,0.828902441,-0.289443535,0.689932447
1783618206.163374901,0.849239593,-0.297407846,0.691769736
1783618206.164929390,0.845874436,-0.302034752,0.716348895
1783618206.166507006,0.849590477,-0.301794907,0.719198448
1783618206.168246984,0.874654115,-0.308742411,0.710772975
1783618206.173786640,0.883148241,-0.321692809,0.756495053
1783618206.175008774,0.900733788,-0.329431646,0.766758068
1783618206.176655293,0.924935585,-0.333900793,0.794404155
1783618206.178781509,0.927066026,-0.335402818,0.807433462
1783618206.179947615,0.939889970,-0.339621379,0.832706798
1783618206.186358213,0.958984043,-0.343021333,0.844502430
1783618206.187639713,1.018204683,-0.340261265,0.915280965
1783618206.188625813,1.029143721,-0.339233116,0.938238004
1783618206.189816475,1.025363494,-0.335119388,0.962103845
1783618206.191650152,1.037638137,-0.328324770,0.995551000
1783618206.193120956,1.054445808,-0.329762914,1.006869464
1783618206.198564529,1.061292373,-0.324969993,1.041714549
1783618206.200211048,1.071354136,-0.318500579,1.079053424
1783618206.201722383,1.088068802,-0.322109885,1.100028463
1783618206.203173399,1.090107372,-0.315686782,1.126905784
1783618206.204917669,1.096630962,-0.314535186,1.146901948
1783618206.209904194,1.116716231,-0.312666888,1.166514190
1783618206.211714983,1.135575442,-0.309581576,1.231684917
1783618206.213356256,1.139058633,-0.307684827,1.248166103
1783618206.214966059,1.134961181,-0.306662447,1.288170884
1783618206.216550589,1.142295840,-0.301462706,1.299561703
1783618206.218191624,1.162385754,-0.301696812,1.321052287
1783618206.223696709,1.159974891,-0.295303244,1.356408370
1783618206.224872828,1.183646566,-0.287159968,1.406064376
1783618206.226515055,1.174367904,-0.285071317,1.438651235
1783618206.228729486,1.178944834,-0.278545480,1.454202433
1783618206.229870081,1.189970422,-0.278931070,1.467096175
1783618206.236400127,1.192266889,-0.272344476,1.503415086
1783618206.237620354,1.197450593,-0.250072086,1.590644620
1783618206.238606930,1.200421944,-0.248226406,1.608551751
1783618206.239846230,1.220088162,-0.241259310,1.632191391
1783618206.241708994,1.217473833,-0.234804183,1.669028982
1783618206.243267298,1.211492659,-0.228793381,1.693878641
1783618206.248599291,1.233340005,-0.227409006,1.715516516
1783618206.250232220,1.240676125,-0.216296230,1.779483610
1783618206.251611471,1.247652058,-0.216687791,1.786431348
1783618206.253244877,1.252981746,-0.214732845,1.812707687
1783618206.254916906,1.257135348,-0.211963251,1.840876298
1783618206.261206627,1.261844779,-0.212563889,1.859749523
1783618206.262273788,1.292009604,-0.206397192,1.904054785
1783618206.263199806,1.290358585,-0.203392789,1.940473763
1783618206.264833212,1.297240559,-0.196161495,1.955159055
1783618206.266627073,1.314811854,-0.197380393,1.977287426
1783618206.268312216,1.316787772,-0.190827394,2.017978198
1783618206.272037983,1.320292100,-0.186365115,2.045838593
1783618206.273644924,1.333918707,-0.182519154,2.064702881
1783618206.274965286,1.343173929,-0.178454469,2.093617222
1783618206.276629448,1.341199335,-0.171932834,2.135401495
1783618206.278818130,1.350714753,-0.162409503,2.141282146
1783618206.279788256,1.366235872,-0.161670675,2.181025509
1783618206.286371708,1.361907222,-0.154499713,2.215918793
1783618206.287704706,1.389190465,-0.144529887,2.343747269
1783618206.288683414,1.401644371,-0.138824190,2.369518949
1783618206.289883614,1.412881454,-0.134432540,2.384191632
1783618206.291492462,1.412745608,-0.132947431,2.432508782
1783618206.293125391,1.424911873,-0.124509681,2.449066177
1783618206.298594236,1.436715436,-0.122053611,2.459309684
1783618206.299824715,1.432823851,-0.110936416,2.537431702
1783618206.301759481,1.439443438,-0.110511951,2.563630134
1783618206.303325653,1.455669379,-0.106836511,2.593519032
1783618206.304893017,1.447110086,-0.102128065,2.629265335
1783618206.311174393,1.446289882,-0.094906449,2.639824495
1783618206.312053680,1.459997438,-0.083146822,2.748815426
1783618206.313187122,1.460016933,-0.073100010,2.802873239
1783618206.314781189,1.457739452,-0.065694039,2.816536765
1783618206.316574097,1.467609356,-0.062234046,2.832340665
1783618206.318354845,1.474564401,-0.058388747,2.860251347
1783618206.323723555,1.466149800,-0.054267495,2.901439518
1783618206.324979782,1.482589464,-0.045065910,2.940567093
1783618206.326656818,1.476988985,-0.036338759,2.993586349
1783618206.328791380,1.481583706,-0.030040957,3.009731081
1783618206.329936028,1.485600581,-0.025181217,3.047682946
1783618206.332985401,1.496661862,-0.024512093,3.088787340
1783618206.334083080,1.509076553,-0.017582334,3.152905849
1783618206.335031748,1.518346501,-0.015234361,3.180910589
1783618206.336649895,1.513216276,-0.012122270,3.229737661
1783618206.338212013,1.521600173,-0.011530884,3.258122460
1783618206.339946508,1.546890472,-0.009452427,3.290703717
1783618206.341491699,1.540641945,-0.006935459,3.326667520
1783618206.347494841,1.540095658,0.001134614,3.362366242
1783618206.348298073,1.571092681,0.012840499,3.483419309
1783618206.350007534,1.585704368,0.015012144,3.528716566
1783618206.351672173,1.586351593,0.019386621,3.563946592
1783618206.353230715,1.596451360,0.021962398,3.626407145
1783618206.354919434,1.595699369,0.031003984,3.676759617
1783618206.361238480,1.605693346,0.034108679,3.704576292
1783618206.362262487,1.616127052,0.048383605,3.852701935
1783618206.363214970,1.623766703,0.050246480,3.893038333
1783618206.364913225,1.622098900,0.054575713,3.940992195
1783618206.366554499,1.616441009,0.063829043,3.986592593
1783618206.368214369,1.632435256,0.063051789,4.012065405
1783618206.373818874,1.635130981,0.066376315,4.059804858
1783618206.375020266,1.649491547,0.076933689,4.135991078
1783618206.376550674,1.649300579,0.082647529,4.176523239
1783618206.378214121,1.654546789,0.087460091,4.224543246
1783618206.379978418,1.670899034,0.090921409,4.247380302
1783618206.386426687,1.676954887,0.096445589,4.307487853
1783618206.387645960,1.700425101,0.109975000,4.465079377
1783618206.388643265,1.705855449,0.109339739,4.495937052
1783618206.389850855,1.728458714,0.117408385,4.533700321
1783618206.391442537,1.728469895,0.121311519,4.574725918
1783618206.393227816,1.735864430,0.128128467,4.600973791
1783618206.398628473,1.756667314,0.130220291,4.621204338
1783618206.399840355,1.786550058,0.145566931,4.739091596
1783618206.401616812,1.804353073,0.153795427,4.776800020
1783618206.403132677,1.829061886,0.158176488,4.812082610
1783618206.404880524,1.850333688,0.159917612,4.869278453
1783618206.408590555,1.859318449,0.173387528,4.929879755
1783618206.411186934,1.922258675,0.184980456,5.006816942
1783618206.412085056,1.939143120,0.197934605,5.127047463
1783618206.413294792,1.958621461,0.203851906,5.166909580
1783618206.414904118,1.985436602,0.209459486,5.228799754
1783618206.416685581,1.992257521,0.218494622,5.291503060
1783618206.418250084,2.006475117,0.231525781,5.346748724
1783618206.423658371,2.030157069,0.232985982,5.383904012
1783618206.424985886,2.051859206,0.261931364,5.494735645
1783618206.426673412,2.077449790,0.273161718,5.527562995
1783618206.428794384,2.093320245,0.285303835,5.590475823
1783618206.429922819,2.114565107,0.296724596,5.653158433
1783618206.436379671,2.133328456,0.309156029,5.686451569
1783618206.437558889,2.228978410,0.320204000,5.740902100
1783618206.438566685,2.252862909,0.309219953,5.687630925
1783618206.439784288,2.276290225,0.289365417,5.621746297
1783618206.441667318,2.298159472,0.271071811,5.549710488
1783618206.443166733,2.320067381,0.267783599,5.382129579
1783618206.448599815,2.336289561,0.255851171,5.231591189
1783618206.450096130,2.389568414,0.227964604,5.121364223
1783618206.451494455,2.381236125,0.235112290,5.128752063
1783618206.453582764,2.390133721,0.252319845,5.124615903
1783618206.454807281,2.413478558,0.271021224,5.192713702
1783618206.461175442,2.411162795,0.302202537,5.327781419
1783618206.462094545,2.424685550,0.418387801,5.988275430
1783618206.463242292,2.436168968,0.440532347,6.111549262
1783618206.464858294,2.456298950,0.441324436,6.255620132
1783618206.466551065,2.456938653,0.456238208,6.361874981
1783618206.468343019,2.458952411,0.469865086,6.462578840
1783618206.473659992,2.470984899,0.473098168,6.552410930
1783618206.474962711,2.473638888,0.490475496,6.743746080
1783618206.476635218,2.475553624,0.499264557,6.809530667
1783618206.478858232,2.472778892,0.511478067,6.880779558
1783618206.479873180,2.468552162,0.526827256,6.955142797
1783618206.483801126,2.450782524,0.540532020,7.003041957
1783618206.486202717,2.446492137,0.555814630,7.112828938
1783618206.487726212,2.417754178,0.572143899,7.228070338
1783618206.488746881,2.411850542,0.583115705,7.262582482
1783618206.489929914,2.395832391,0.592851304,7.319264783
1783618206.491543770,2.375395361,0.604509670,7.361294446
1783618206.493117094,2.375320882,0.612024520,7.397862524
1783618206.498658180,2.353114763,0.612076059,7.417181180
1783618206.500018597,2.333925101,0.628872180,7.461594251
1783618206.501722813,2.317862698,0.633453370,7.489159777
1783618206.503157854,2.289890301,0.645826223,7.504997334
1783618206.504888296,2.283559483,0.654682192,7.498187216
1783618206.511115789,2.268206506,0.655440274,7.510924900
1783618206.512124300,2.221920755,0.694752039,7.584238202
1783618206.513287306,2.207130962,0.707536087,7.625626072
1783618206.514864683,2.204875006,0.715812184,7.628856662
1783618206.516706944,2.213200674,0.717978014,7.666967349
1783618206.518357754,2.209596234,0.731009616,7.710367943
1783618206.523674011,2.207989176,0.732296376,7.751369367
1783618206.524893284,2.241143756,0.742574158,7.805460939
1783618206.526490688,2.244048480,0.750010645,7.833627955
1783618206.528737307,2.270868491,0.755735894,7.858718279
1783618206.529800892,2.288571143,0.757887086,7.881811965
1783618206.536351919,2.304682509,0.768539185,7.877917419
1783618206.537532806,2.377603566,0.796029830,7.928740603
1783618206.538504601,2.400093834,0.805665912,7.932156256
1783618206.539922953,2.406811175,0.807985839,7.922758233
1783618206.541532278,2.439844306,0.815148523,7.915329432
1783618206.544689655,2.469857437,0.812521755,7.907822128
1783618206.545447588,2.478020359,0.827280601,7.911278194
1783618206.548667431,2.507732382,0.833186466,7.873845944
1783618206.549887419,2.544576509,0.834062960,7.870708823
1783618206.551542521,2.564107802,0.839886249,7.876382245
1783618206.553807259,2.599920848,0.848643042,7.874162792
1783618206.554934025,2.629915445,0.852446548,7.875962072
1783618206.559576035,2.659117655,0.860293482,7.895451796
1783618206.560389757,2.733420632,0.871378144,7.789514907
1783618206.561492682,2.751909463,0.866048738,7.844060366
1783618206.563372850,2.790047918,0.876647387,7.804094720
1783618206.564991951,2.816265247,0.886804063,7.772561590
1783618206.566575766,2.857247542,0.890116800,7.778709100
1783618206.568206787,2.878805689,0.894407445,7.789937151
1783618206.573706627,2.914578514,0.903779712,7.781622295
1783618206.575040102,2.958314922,0.910468601,7.768439215
1783618206.576496601,3.004670001,0.920430197,7.775665872
1783618206.578761578,3.031647569,0.928962232,7.792165167
1783618206.579890490,3.055775434,0.938526808,7.801595592
1783618206.586371660,3.103501184,0.957925275,7.854931340
1783618206.587563753,3.229480174,0.994247817,7.991503396
1783618206.588528633,3.250746461,1.011201267,8.039084747
1783618206.590011835,3.266855379,1.017983003,8.080194231
1783618206.591636181,3.321734829,1.023595233,8.093894850
1783618206.598609209,3.360370691,1.022015112,8.138962240
1783618206.599844933,3.475445070,1.040613998,8.278967593
1783618206.601638556,3.517947526,1.046651832,8.418791481
1783618206.603771687,3.556003112,1.051861069,8.568886680
1783618206.604898930,3.596043082,1.053692789,8.648984697
1783618206.611110210,3.633334072,1.057190804,8.744541854
1783618206.612001896,3.720754546,1.083814140,9.016609224
1783618206.613118410,3.735613493,1.083205511,9.051023866
1783618206.614938498,3.773058847,1.086117582,9.072558542
1783618206.616695642,3.799940040,1.089188229,9.107982568
