source_timestamp_sec,Fx,Fy,Fz
1782429997.623662472,-0.293081502,0.396247749,-0.074799692
1782429997.625934124,-0.300411830,0.392572091,-0.069711165
1782429997.626982927,-0.297937388,0.397634856,-0.067931825
1782429997.629023790,-0.302099646,0.391616493,-0.071193580
1782429997.630381584,-0.293633920,0.387135469,-0.056215098
1782429997.636398792,-0.296920725,0.390831480,-0.056604272
1782429997.637208462,-0.291297743,0.390684277,-0.062545484
1782429997.638817310,-0.294581998,0.387810098,-0.064224045
1782429997.641391754,-0.297935208,0.392869880,-0.060847861
1782429997.642192125,-0.299654245,0.398502360,-0.065005021
1782429997.645594358,-0.301411375,0.394325371,-0.072080442
1782429997.648714304,-0.295498767,0.386594277,-0.066919375
1782429997.650388956,-0.295995148,0.395046744,-0.068137225
1782429997.652005196,-0.298440361,0.391074444,-0.069537675
1782429997.654017210,-0.294488239,0.388567117,-0.061550308
1782429997.655346394,-0.299255946,0.390018257,-0.060354180
1782429997.660195589,-0.291765238,0.399071003,-0.075087350
1782429997.660919905,-0.288986257,0.388888457,-0.060395511
1782429997.661998272,0.000000000,0.000000000,0.000000000
1782429997.663913250,-0.301878521,0.393988429,-0.072566855
1782429997.665325165,-0.296138402,0.394824662,-0.063615509
1782429997.667020559,-0.291977677,0.396296106,-0.062701881
1782429997.673727274,-0.298598001,0.391072495,-0.064721592
1782429997.675334692,-0.292431812,0.390350163,-0.054109771
1782429997.677001715,-0.295426930,0.390377576,-0.060051447
1782429997.679052353,-0.296444269,0.397959562,-0.070356151
1782429997.680333138,-0.301039203,0.388691394,-0.067336864
1782429997.686388731,-0.292404177,0.395217075,-0.059610213
1782429997.687195539,-0.298771742,0.399238617,-0.066096897
1782429997.688854933,-0.300053903,0.392438385,-0.066473262
1782429997.691361904,-0.295488924,0.394621372,-0.054586125
1782429997.692177534,-0.295336690,0.395572356,-0.064456060
1782429997.698828936,-0.296215954,0.393325434,-0.064758845
1782429997.700370550,-0.295714850,0.391191804,-0.061959545
1782429997.702059269,-0.296611236,0.393902489,-0.067269863
1782429997.704073906,-0.298730299,0.393214192,-0.065790023
1782429997.705316782,-0.296106474,0.392931734,-0.062985655
1782429997.707619905,-0.294607852,0.391880317,-0.064747328
1782429997.711565971,-0.297929707,0.390236395,-0.062633162
1782429997.712544918,-0.299287519,0.393570761,-0.066309185
1782429997.713697195,-0.298928042,0.393124843,-0.060015204
1782429997.715472221,-0.294205412,0.392008496,-0.055313322
1782429997.717009306,-0.297006184,0.395531428,-0.066025204
1782429997.722533941,-0.300335750,0.390509496,-0.062748407
1782429997.723653078,-0.297217393,0.393065281,-0.059964990
1782429997.725327015,-0.296850612,0.397344835,-0.058071598
1782429997.727057219,-0.297158059,0.395503360,-0.065908686
