source_timestamp_sec,Fx,Fy,Fz
1783618507.338032246,-0.066877631,-0.038161554,0.170356360
1783618507.339745760,-0.066649843,-0.039811081,0.175360550
1783618507.345533848,-0.066403902,-0.038299744,0.163964033
1783618507.346487761,-0.075755794,-0.035942983,0.183832594
1783618507.348094463,-0.079498202,-0.043330945,0.197057548
1783618507.349828005,-0.083178675,-0.036845748,0.194107521
1783618507.351444244,-0.089344035,-0.042351050,0.218258658
1783618507.353018284,-0.091041590,-0.028006562,0.205062851
1783618507.358418465,-0.092186849,-0.035654516,0.229300301
1783618507.359739304,-0.087066363,-0.026775419,0.228263823
1783618507.361525297,-0.092444332,-0.029334993,0.246890435
1783618507.363520384,-0.088806113,-0.024870343,0.248663693
1783618507.364764929,-0.083956101,-0.028649527,0.266201761
1783618507.371044636,-0.078818625,-0.026312288,0.267787223
1783618507.372307301,-0.076585121,-0.028232840,0.285768811
1783618507.373405218,-0.081763248,-0.027003466,0.279652568
1783618507.374705791,-0.086295142,-0.023643854,0.286460773
1783618507.376562834,-0.090738526,-0.025096827,0.302310587
1783618507.378018141,-0.086395994,-0.022624856,0.303688865
1783618507.383509159,-0.090519224,-0.024458376,0.317229997
1783618507.384789705,-0.096749796,-0.019475803,0.339294431
1783618507.386420965,-0.098904368,-0.018121347,0.348105103
1783618507.388216257,-0.105057598,-0.016414860,0.354925532
1783618507.389849424,-0.101031549,-0.016690023,0.357156724
1783618507.392366886,-0.101827078,-0.014618318,0.363267382
1783618507.393322706,-0.104821160,-0.014977326,0.373467349
1783618507.396008015,-0.105877778,-0.014651266,0.383713561
1783618507.397007704,-0.109463555,-0.017112877,0.389581154
1783618507.398032904,-0.108795476,-0.013405276,0.392895224
1783618507.399771214,-0.105312794,-0.013496466,0.400400240
1783618507.401355982,-0.110971622,-0.012885122,0.411836715
1783618507.403106451,-0.111381285,-0.012853150,0.412759264
1783618507.408097029,-0.107444344,-0.012157022,0.417527758
1783618507.409875870,-0.106408960,-0.013111114,0.427939579
1783618507.411344051,-0.104985160,-0.012237409,0.426798184
1783618507.413553476,-0.103463537,-0.013847675,0.437570504
1783618507.414815664,-0.100736243,-0.011986015,0.451784987
1783618507.421099901,-0.102373574,-0.013759985,0.462206563
1783618507.422210217,-0.095930365,-0.018206727,0.482100859
1783618507.423233986,-0.094333610,-0.019145819,0.499058608
1783618507.424716711,-0.095015539,-0.017824998,0.497600383
1783618507.426446199,-0.090347260,-0.020989293,0.508442555
1783618507.428076744,-0.092100957,-0.021892356,0.515364165
1783618507.433498144,-0.087622581,-0.022356926,0.526746163
1783618507.434787035,-0.086556107,-0.022097854,0.547969478
1783618507.436382532,-0.086509522,-0.020249950,0.553038230
1783618507.438112020,-0.086568145,-0.021574530,0.564664157
1783618507.439731359,-0.089888053,-0.019643562,0.566311715
1783618507.445967197,-0.089559773,-0.017788305,0.577692560
1783618507.446983576,-0.093645556,-0.012311251,0.593774604
1783618507.448218584,-0.100388525,-0.012069422,0.602256229
1783618507.449994802,-0.095313250,-0.009476873,0.615524745
1783618507.451348305,-0.100510947,-0.007074423,0.612383812
1783618507.453082085,-0.103494822,-0.003906908,0.613694786
1783618507.455170393,-0.107844707,-0.003020729,0.627256562
1783618507.458312273,-0.107219778,-0.000008220,0.630192644
1783618507.459776163,-0.118852943,0.005386848,0.632169034
1783618507.461495161,-0.116493149,0.008746551,0.631712032
1783618507.463548660,-0.120824183,0.011197495,0.637130249
1783618507.464770079,-0.123717298,0.015647408,0.631693322
1783618507.470378637,-0.126365704,0.018976159,0.635919064
1783618507.471392393,-0.128750774,0.032866949,0.642732568
1783618507.473038912,-0.128188789,0.035356824,0.641872214
1783618507.474791527,-0.127186123,0.037159237,0.635229768
1783618507.476468086,-0.128915600,0.038946831,0.637698085
1783618507.483427048,-0.131853044,0.040915071,0.632062664
1783618507.484732628,-0.135387267,0.044846243,0.624985999
1783618507.486589909,-0.137679768,0.044365146,0.624532089
1783618507.488199472,-0.138429872,0.045849431,0.623390399
1783618507.489753008,-0.140380055,0.045750753,0.626134200
1783618507.495992661,-0.142353268,0.045893379,0.628899404
1783618507.497003317,-0.159164453,0.054830295,0.643078207
1783618507.497997522,-0.162499614,0.058420391,0.643101710
1783618507.499987602,-0.166466252,0.061182228,0.649973268
1783618507.501608849,-0.167199984,0.063996005,0.652103422
1783618507.503235102,-0.167939404,0.065946708,0.656037130
1783618507.504767418,-0.179056718,0.072113346,0.653220329
1783618507.508385181,-0.183574041,0.071781027,0.669463940
1783618507.509869337,-0.189469495,0.075358666,0.682873440
1783618507.511354208,-0.192467982,0.079731572,0.695064666
1783618507.513548136,-0.202117248,0.078495381,0.708193101
1783618507.514780998,-0.211569412,0.081852499,0.745402920
1783618507.521020412,-0.215629756,0.083774932,0.768621544
1783618507.522151947,-0.233767813,0.092616391,0.822356930
1783618507.523187637,-0.241769814,0.100209104,0.852370584
1783618507.524695158,-0.244793664,0.111495143,0.882393206
1783618507.526426554,-0.251549481,0.119004912,0.923929872
1783618507.528031826,-0.249460540,0.123625506,0.949016555
1783618507.531746864,-0.255106474,0.124486695,0.970363528
1783618507.533454895,-0.262566642,0.127397304,0.983141062
1783618507.534739733,-0.267863366,0.129649955,1.003996231
1783618507.536355257,-0.273821880,0.129716190,1.015348765
1783618507.538130760,-0.275749230,0.128897833,1.035341255
1783618507.539729834,-0.279292199,0.129431930,1.043528413
1783618507.545948505,-0.283962894,0.130208422,1.056486396
