source_timestamp_sec,Fx,Fy,Fz
1783619231.507072687,0.123463979,0.041451925,0.187932249
1783619231.507969618,0.125510405,0.041692302,0.211198367
1783619231.510989189,0.144389894,0.044914593,0.225543502
1783619231.512716055,0.153630839,0.044826258,0.246256496
1783619231.514481068,0.162202842,0.049170379,0.253108992
1783619231.516159773,0.157436683,0.051296123,0.252868519
1783619231.517802477,0.171547052,0.049795606,0.273413944
1783619231.521961927,0.188398407,0.051900004,0.280501018
1783619231.522747755,0.190746366,0.059253738,0.285276078
1783619231.524512529,0.201276440,0.059848799,0.309940503
1783619231.526224136,0.205677361,0.058946232,0.306016668
1783619231.528746367,0.206999094,0.061485595,0.300410164
1783619231.529654026,0.202646824,0.063225436,0.292539494
1783619231.536353350,0.212714706,0.059425197,0.289506598
1783619231.537977695,0.166222918,0.059771349,0.214866656
1783619231.539456129,0.146533426,0.058210226,0.175618327
1783619231.541091442,0.145749384,0.061623158,0.188887806
1783619231.542733431,0.138650067,0.050480786,0.155242848
1783619231.548603535,0.122642923,0.057192383,0.147959464
1783619231.549786329,0.124413356,0.063205924,0.153384023
1783619231.551143885,0.139466980,0.059535532,0.156886458
1783619231.552878141,0.143092643,0.060637642,0.165226411
1783619231.554481506,0.139519731,0.064123885,0.159164698
1783619231.561093807,0.153089708,0.065674416,0.169285429
1783619231.562868595,0.183590526,0.065637941,0.177388269
1783619231.564397573,0.175201014,0.070319324,0.167689272
1783619231.566265821,0.149565671,0.076604859,0.159717300
1783619231.567830086,0.159917742,0.071587753,0.148584214
1783619231.573561192,0.157965251,0.071324303,0.128484001
1783619231.574611902,0.174045575,0.070833920,0.109628709
1783619231.576071739,0.183735161,0.069065791,0.121860381
1783619231.577717781,0.207130093,0.065886966,0.114575997
1783619231.579559803,0.215276496,0.069674731,0.112763519
1783619231.584020853,0.235186245,0.069361255,0.124669189
1783619231.585086584,0.258109835,0.067791844,0.120205846
1783619231.586076736,0.278149341,0.064156467,0.109669233
1783619231.587797642,0.294227055,0.060566397,0.111797337
1783619231.589412212,0.291906529,0.060877455,0.102413409
1783619231.591219664,0.307666655,0.057439228,0.089425553
1783619231.592815399,0.327298413,0.044438226,0.079404180
1783619231.598509312,0.329602207,0.039706534,0.051738723
1783619231.599549055,0.360926760,0.014854692,0.067913320
1783619231.601258278,0.369595788,0.004764131,0.086322334
1783619231.602817774,0.387239733,-0.008255384,0.106953098
1783619231.604463100,0.397303523,-0.017444104,0.156561976
1783619231.611072540,0.402912838,-0.025814806,0.182280264
1783619231.612777233,0.449737081,-0.070150376,0.312820159
1783619231.614502668,0.461838220,-0.078485675,0.343498680
1783619231.616222143,0.465134474,-0.088651586,0.381507323
1783619231.617841721,0.483607169,-0.097800964,0.377758936
1783619231.623536587,0.495249901,-0.113284133,0.430713005
1783619231.624610186,0.538640156,-0.147227445,0.519720969
1783619231.626107454,0.558986277,-0.160847701,0.567598791
1783619231.627746105,0.586087494,-0.174575344,0.607991099
1783619231.629367828,0.582405054,-0.186139101,0.643053415
1783619231.636304855,0.613148771,-0.211348847,0.723901268
1783619231.637799978,0.682333555,-0.256448630,0.870831451
1783619231.639449120,0.685069137,-0.257337617,0.899621751
1783619231.641142130,0.726722094,-0.273441134,0.917187373
1783619231.642732382,0.734425984,-0.278266569,0.945107758
1783619231.645305395,0.740971539,-0.293600279,0.999565137
1783619231.646261454,0.759717317,-0.304841300,1.028932493
