source_timestamp_sec,Fx,Fy,Fz
1783619231.507072687,-0.103682940,0.016137873,0.000000000
1783619231.507969618,-0.110391247,0.014010169,0.000000000
1783619231.510989189,-0.113205896,0.016507298,-0.000000000
1783619231.512716055,-0.123796804,0.023878684,0.014679977
1783619231.514481068,-0.122808306,0.025531584,0.012024653
1783619231.516159773,-0.129752717,0.026557255,0.007077833
1783619231.517802477,-0.132348843,0.028516126,0.024785416
1783619231.521961927,-0.134915397,0.031114885,0.036866396
1783619231.522747755,-0.149671510,0.034878557,0.038287832
1783619231.524512529,-0.148945869,0.036747714,0.040778134
1783619231.526224136,-0.150564514,0.037590932,0.050754231
1783619231.528746367,-0.153427707,0.041181459,0.052039471
1783619231.529654026,-0.156327585,0.049172410,0.067113302
1783619231.536353350,-0.158439225,0.057604022,0.097159381
1783619231.537977695,-0.056709882,0.056064825,0.093326321
1783619231.539456129,-0.041666834,0.066011215,0.087374190
1783619231.541091442,-0.042156433,0.056277049,0.085651169
1783619231.542733431,-0.045053928,0.066484896,0.097968690
1783619231.548603535,-0.061632407,0.056077532,0.096060748
1783619231.549786329,-0.090507658,0.066672082,0.156853989
1783619231.551143885,-0.099356115,0.067981481,0.189943533
1783619231.552878141,-0.113550354,0.067178793,0.207201440
1783619231.554481506,-0.126036225,0.068978909,0.241485901
1783619231.561093807,-0.132829267,0.068451320,0.276039514
1783619231.562868595,-0.132380728,0.065228065,0.416542324
1783619231.564397573,-0.126512784,0.064199023,0.444266323
1783619231.566265821,-0.096510470,0.060095906,0.454917784
1783619231.567830086,-0.110552649,0.062354443,0.502925978
1783619231.573561192,-0.123001984,0.061335332,0.541430495
1783619231.574611902,-0.148607096,0.068629752,0.645314969
1783619231.576071739,-0.165942557,0.066685564,0.677633242
1783619231.577717781,-0.173139002,0.064659181,0.709312576
1783619231.579559803,-0.184665326,0.065593750,0.742721296
1783619231.584020853,-0.191265565,0.063926823,0.779293621
1783619231.585086584,-0.206253249,0.063957820,0.846158164
1783619231.586076736,-0.215814581,0.066378999,0.875200469
1783619231.587797642,-0.221195707,0.064901154,0.915480256
1783619231.589412212,-0.233505931,0.069461937,0.936503128
1783619231.591219664,-0.245794317,0.072269035,0.960250439
1783619231.592815399,-0.254240465,0.077860352,1.001289522
1783619231.598509312,-0.262439275,0.082939451,1.026098582
1783619231.599549055,-0.287740705,0.097810891,1.114503633
1783619231.601258278,-0.299058321,0.102886880,1.149684022
1783619231.602817774,-0.301896345,0.108560065,1.185214257
1783619231.604463100,-0.308426435,0.114369302,1.228278200
1783619231.611072540,-0.319053868,0.120680790,1.262858661
1783619231.612777233,-0.346502432,0.153693642,1.422233728
1783619231.614502668,-0.358231684,0.162648678,1.463335761
1783619231.616222143,-0.369142223,0.164729364,1.499648536
1783619231.617841721,-0.381132209,0.174441917,1.536059628
1783619231.623536587,-0.390485744,0.185918750,1.583188553
1783619231.624610186,-0.415461987,0.207982885,1.728655701
1783619231.626107454,-0.433221506,0.221354471,1.789451363
1783619231.627746105,-0.444359427,0.229101078,1.843864981
1783619231.629367828,-0.461989994,0.224461325,1.876993340
1783619231.636304855,-0.483769631,0.261221527,1.951320097
1783619231.637799978,-0.540207112,0.271201055,2.156040137
1783619231.639449120,-0.550751358,0.265068096,2.202811996
1783619231.641142130,-0.563908068,0.279579092,2.263131372
1783619231.642732382,-0.584882186,0.272670479,2.310285614
1783619231.645305395,-0.593546148,0.291585393,2.353299239
1783619231.646261454,-0.606132775,0.288157633,2.402554760
1783619231.648456812,-0.615846674,0.278226475,2.447962836
1783619231.649497747,-0.635004019,0.275060942,2.498724168
1783619231.651112795,-0.651434590,0.271135336,2.541834513
1783619231.652837038,-0.669253788,0.267219011,2.584550868
1783619231.654476881,-0.685146538,0.267057144,2.628242325
1783619231.660550833,-0.697988777,0.257641691,2.669749797
1783619231.661352158,-0.735681738,0.260662946,2.804246188
1783619231.666172743,-0.755319954,0.253755399,2.847661847
1783619231.667977810,-0.770248406,0.249274912,3.005866280
1783619231.673574686,-0.767151025,0.234048866,3.047058891
1783619231.674493790,-0.796374421,0.234099507,3.209008396
1783619231.676147223,-0.814136307,0.227969220,3.261382518
1783619231.677711964,-0.811377893,0.211735109,3.311617896
1783619231.679375887,-0.868598667,0.205990556,3.339608524
1783619231.686242580,-0.853186693,0.218317895,3.407337604
1783619231.687915564,-0.854748353,0.137869021,3.615237846
1783619231.689548016,-0.867716106,0.133341669,3.665016596
1783619231.691220999,-0.869946114,0.103273071,3.714311196
1783619231.692838669,-0.880443013,0.074377939,3.765371351
1783619231.698561668,-0.884335530,0.083187890,3.815236760
1783619231.699542522,-0.906378491,0.034536913,3.979821528
1783619231.701089621,-0.925075949,0.047824285,4.018580520
1783619231.702799320,-1.064234114,0.068161395,3.981745222
1783619231.704423904,-0.908040580,0.030399133,4.046244918
1783619231.706581116,-0.950497803,-0.010612272,4.125988845
1783619231.711140394,-0.942068010,-0.009837363,4.217701040
1783619231.712787867,-0.884692408,-0.020081250,4.365786491
1783619231.714545727,-0.883081385,-0.011930311,4.415817750
1783619231.716207504,-0.877294681,-0.011910023,4.449885803
1783619231.717900038,-0.870645451,-0.014960649,4.486114491
1783619231.721992254,-0.870011321,-0.010255654,4.527533133
1783619231.722800732,-0.854228311,-0.004261696,4.612562931
1783619231.724378586,-0.851709559,-0.006755522,4.657251889
1783619231.726140499,-0.852818003,-0.013938980,4.707297306
1783619231.727717161,-0.848049322,-0.018969189,4.747904037
1783619231.729430437,-0.848715332,-0.025789727,4.798927707
1783619231.736143351,-0.844778160,-0.031308242,4.848626695
1783619231.737784386,-0.829960262,-0.036580608,5.024246887
1783619231.739543438,-0.821525009,-0.034252065,5.063705755
1783619231.741166592,-0.815613695,-0.029956537,5.095860455
1783619231.742806435,-0.809462074,-0.025512887,5.134183913
1783619231.748542309,-0.801964388,-0.018317732,5.171323858
1783619231.749646425,-0.866102613,0.053003220,5.310120339
1783619231.751322508,-0.852176483,0.020229156,5.335427133
1783619231.752783298,-0.821636027,-0.050279273,5.380236471
1783619231.754471779,-0.810372271,-0.083123352,5.426323417
1783619231.761129141,-0.807146270,-0.049816365,5.457642833
1783619231.762778521,-0.723927637,0.051396713,5.625442292
1783619231.764592886,-0.711735372,0.061892807,5.665270262
1783619231.766197681,-0.696754270,0.068559502,5.706645868
1783619231.768055439,-0.687686085,0.079627020,5.745573420
1783619231.773606777,-0.672553467,0.087731889,5.785601791
1783619231.774549246,-0.652582203,0.114309548,5.891315938
1783619231.776204109,-0.649488081,0.120807044,5.917721465
1783619231.777714014,-0.637867695,0.125701928,5.946657745
1783619231.779561043,-0.631601653,0.133601865,5.975080312
1783619231.783676624,-0.626541985,0.142139383,6.000462768
1783619231.784631014,-0.609756060,0.150977623,6.038314086
1783619231.786168814,-0.606710572,0.158450159,6.055372526
1783619231.787762642,-0.600757790,0.161063741,6.070858687
1783619231.789436817,-0.596060011,0.172714081,6.089719572
1783619231.791163921,-0.592473484,0.179522815,6.104121295
1783619231.792818069,-0.583373845,0.188711169,6.125844980
1783619231.798563719,-0.580116591,0.197347193,6.146695907
