source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1783619434.483181238,-0.024730844,0.024419698,0.024367227,-1.303702099,-0.578736912,-0.321587078
1783619434.484826803,-0.025625529,0.023607254,0.017289844,-1.288822906,-0.584736232,-0.344061948
1783619434.486496449,-0.025686713,0.021203918,0.020868380,-1.310284966,-0.573118247,-0.340271724
1783619434.488162279,-0.024664782,0.025608402,0.019623668,-1.289755961,-0.582737123,-0.330124023
1783619434.489823580,-0.023603238,0.023815159,0.020744814,-1.293992496,-0.585576804,-0.316511862
1783619434.491452217,-0.025652058,0.026183147,0.023219758,-1.273011950,-0.576738320,-0.335099591
1783619434.493152618,-0.024619941,0.024374465,0.023150046,-1.283984785,-0.583237536,-0.321342565
1783619434.494819164,-0.023583766,0.024979363,0.018395158,-1.286822918,-0.593251144,-0.325390596
1783619434.496510744,-0.024590130,0.024223425,0.018430372,-1.284862975,-0.598787922,-0.334775566
1783619434.498149157,-0.025602316,0.024951890,0.018385756,-1.273896556,-0.580869079,-0.325199959
1783619434.499895573,-0.023607755,0.023645997,0.023194719,-1.294951217,-0.601156744,-0.330918179
1783619434.501469135,-0.025614602,0.023728198,0.020805493,-1.281452738,-0.573265899,-0.330433335
1783619434.503129244,-0.024636720,0.024198923,0.020824331,-1.291639547,-0.602462416,-0.335117362
1783619434.504818678,-0.024599230,0.023127999,0.017125194,-1.291604236,-0.591030232,-0.311299832
1783619434.506543159,-0.023519453,0.024909631,0.019571880,-1.273882163,-0.601425895,-0.325487873
1783619434.508216381,-0.024623485,0.025474772,0.025575090,-1.277141531,-0.598681042,-0.330855061
1783619434.509817123,-0.025670172,0.026121931,0.019634022,-1.279994043,-0.588137468,-0.334615171
1783619434.511514902,-0.023500014,0.024689570,0.018507074,-1.275190002,-0.617060120,-0.353518799
1783619434.513189316,-0.025624093,0.022477324,0.019485204,-1.289011896,-0.588756238,-0.306912247
1783619434.514806986,-0.024664782,0.025608402,0.019623668,-1.289755961,-0.582737123,-0.330124023
1783619434.516472578,-0.024533586,0.023099159,0.019576983,-1.278519694,-0.583779919,-0.325699908
1783619434.518220425,-0.022566504,0.024316764,0.023145368,-1.290706705,-0.607454252,-0.321485621
1783619434.519801140,-0.023503262,0.023649221,0.016011951,-1.281643726,-0.601547831,-0.329895035
1783619434.521477222,-0.025660218,0.024973167,0.023174536,-1.280427322,-0.576803594,-0.325881303
1783619434.523159742,-0.024678793,0.024343586,0.020768330,-1.297457385,-0.590556605,-0.321052834
1783619434.524895668,-0.024576895,0.025499271,0.023181187,-1.270364972,-0.595006913,-0.330513272
1783619434.526459932,-0.026575706,0.022955864,0.017171708,-1.272859869,-0.590553710,-0.325173711
1783619434.528109312,-0.027638970,0.025029911,0.020701157,-1.260336342,-0.560678645,-0.311238531
1783619434.529839754,-0.023559218,0.026209436,0.020751039,-1.272570695,-0.597209383,-0.320788740
1783619434.531429768,-0.023520426,0.023640163,0.019596740,-1.281684138,-0.601562329,-0.330381694
1783619434.533172607,-0.027697461,0.023615239,0.019604266,-1.282283573,-0.575959514,-0.330101832
1783619434.534794569,-0.024719531,0.024373922,0.021972349,-1.303947892,-0.586476526,-0.321247523
1783619434.536463737,-0.025652184,0.022347558,0.019554367,-1.296420865,-0.600241505,-0.321026599
1783619434.538126469,-0.025594156,0.026161870,0.018430977,-1.266481184,-0.580803805,-0.334418247
1783619434.539798021,-0.028805131,0.022984342,0.023097304,-1.292816046,-0.580950792,-0.311800832
1783619434.541456699,-0.023512628,0.026233935,0.018357137,-1.265794136,-0.593535255,-0.320446951
1783619434.543121338,-0.023504039,0.023660252,0.021907456,-1.274847300,-0.605586208,-0.316561556
1783619434.544791222,-0.024602777,0.024383525,0.019565285,-1.283944526,-0.583222942,-0.320855910
1783619434.546456337,-0.023543028,0.024949027,0.017191139,-1.280332411,-0.597331223,-0.325195907
1783619434.548119545,-0.027683020,0.021096153,0.021964707,-1.291052156,-0.580256286,-0.326070260
1783619434.549782753,-0.024591846,0.024349009,0.023065892,-1.277392285,-0.595003431,-0.307184638
1783619434.551452160,-0.021449237,0.025027472,0.021892917,-1.272949321,-0.606417731,-0.311856131
1783619434.553097963,-0.024537872,0.025594522,0.026612631,-1.256403762,-0.595302136,-0.302727648
1783619434.554854155,-0.023510087,0.022324678,0.017226699,-1.289733225,-0.609438498,-0.334936879
1783619434.556456566,-0.026716420,0.023152139,0.023108591,-1.291699146,-0.570502604,-0.311985228
1783619434.558119059,-0.023577914,0.025034202,0.017205219,-1.286536852,-0.585496570,-0.325243489
1783619434.559827089,-0.023578690,0.025045232,0.023100695,-1.279740273,-0.589535044,-0.311910006
1783619434.561450720,-0.025597828,0.023581809,0.017205593,-1.282230223,-0.596499430,-0.329901321
