source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1782429399.224309683,0.229116035,-0.192378321,0.040226917,-0.110316383,0.207350732,7.982512173
1782429399.225584507,0.223670142,-0.192935880,0.043973339,-0.136663102,0.204106294,8.000980702
1782429399.227690697,0.232797139,-0.190737941,0.043909382,-0.155892074,0.160940021,7.997566935
1782429399.229007006,0.231401026,-0.189905367,0.041532178,-0.102023937,0.173360649,7.977960459
1782429399.230687618,0.227002676,-0.197641944,0.046525443,-0.185837178,0.203405957,7.977083043
1782429399.237636089,0.228140345,-0.194374493,0.045064302,-0.129884901,0.216183805,8.011662705
1782429399.238958597,0.236183881,-0.192814508,0.044908932,-0.146551986,0.094101891,8.026781330
1782429399.240695715,0.222551070,-0.198694822,0.043610844,-0.143292251,0.209004591,8.044318373
1782429399.243104458,0.232797339,-0.194653313,0.049861793,-0.137781797,0.141803497,8.041257179
1782429399.243949652,0.231606879,-0.190009097,0.043876475,-0.123743269,0.143397514,8.006992404
1782429399.250402451,0.228126073,-0.194373706,0.042652866,-0.144035099,0.184671822,7.996672804
1782429399.251259089,0.224749515,-0.190978313,0.042712684,-0.110097660,0.230059711,8.001500167
1782429399.252351761,0.229607780,-0.193944150,0.049855279,-0.169103207,0.198717728,8.050875335
1782429399.253884792,0.228054122,-0.192978296,0.038845488,-0.113812047,0.221866974,8.001822663
1782429399.255732536,0.232548435,-0.194585270,0.045392469,-0.166025596,0.153855270,7.953505512
1782429399.262622118,0.224872965,-0.194939659,0.046159099,-0.127181547,0.190960383,8.044899046
1782429399.263934374,0.231226562,-0.191140372,0.040464588,-0.102716383,0.194980993,7.943946826
1782429399.265578508,0.230341342,-0.195784784,0.042824208,-0.180506497,0.171752210,7.962804458
1782429399.270926714,0.222569526,-0.192235441,0.045097499,-0.111457393,0.214160826,8.025301973
1782429399.274550915,0.235865662,-0.190108597,0.046583177,-0.102518149,0.185718661,7.964500353
1782429399.275713205,0.223707677,-0.195521137,0.046132079,-0.116930006,0.197728990,8.049586349
1782429399.277293444,0.227270506,-0.191203145,0.047363913,-0.118035805,0.144208364,8.059784034
1782429399.284146547,0.228076411,-0.195628611,0.043807599,-0.130290377,0.236750077,8.006858564
1782429399.285722733,0.231673657,-0.191329913,0.046210211,-0.124564604,0.162238127,8.031530014
1782429399.287394285,0.229221011,-0.195017933,0.040152362,-0.154177602,0.231123391,7.987424881
1782429399.288990498,0.231586227,-0.190008975,0.045214430,-0.130763157,0.196371155,7.992894421
1782429399.296112776,0.222534456,-0.196129351,0.045126133,-0.149179485,0.238562505,8.010674812
1782429399.297219515,0.230441983,-0.193286949,0.050352343,-0.165877147,0.194641003,7.973173678
1782429399.299093485,0.224859184,-0.191093239,0.052596897,-0.097419814,0.235378953,8.031143627
1782429399.301291943,0.228196385,-0.193147557,0.045261234,-0.158062292,0.180567043,7.987050716
1782429399.302383423,0.232657452,-0.195868674,0.045017390,-0.151966441,0.164038727,8.007101912
1782429399.308683157,0.222498007,-0.193536850,0.047712163,-0.119701607,0.246715462,8.006128511
1782429399.309520483,0.230414130,-0.190610389,0.048872410,-0.099883507,0.189864926,8.012224938
1782429399.310626507,0.229453266,-0.195236153,0.052575470,-0.170708660,0.195343954,8.016778256
1782429399.312386990,0.227087088,-0.189854911,0.048879610,-0.096242797,0.186114581,8.021327265
1782429399.314031601,0.231624537,-0.191357739,0.047664660,-0.139350936,0.154904126,8.002283332
1782429399.317184448,0.227981546,-0.194385376,0.051460862,-0.095957408,0.187356996,7.997050172
1782429399.321019650,0.232820205,-0.193360903,0.048685124,-0.143903558,0.150559922,8.031615371
1782429399.322344542,0.229297149,-0.191162316,0.042557100,-0.109928273,0.177399015,8.016497991
1782429399.323974133,0.227027762,-0.198982232,0.051389852,-0.173282336,0.181317995,8.001358690
1782429399.326350212,0.233760184,-0.188744431,0.046328244,-0.080308471,0.173732003,8.012748364
1782429399.327437639,0.225706085,-0.195498842,0.041433534,-0.116378740,0.194934529,7.991367314
1782429399.332983017,0.230388703,-0.193174780,0.045037498,-0.115282380,0.141454979,8.016377017
1782429399.334025860,0.225870598,-0.195573249,0.041433529,-0.158753642,0.219086957,7.991554896
1782429399.335980654,0.229252425,-0.192501230,0.045193701,-0.125795447,0.149118973,7.996780577
1782429399.337302923,0.223701333,-0.194313106,0.050278484,-0.152669262,0.223272692,7.996431705
